,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2018-04-05 20:13:02,Sears and Delta Air Lines say some customer credit card information may have been exposed in a data breach last year    ,1,1,1,41,180,162,0.00913567,0.9513126,0.03955163,Neg,-0.94217694,cnnbrk
8,2018-04-05 01:32:04,"A sterilization breach at a Denver hospital may have put patients at risk for infection of HIV, hepatitis B or hepatitis C, state warns    ",1,0,1,57,278,243,0.013228178,0.9443328,0.042439107,Neg,-0.9311046,cnnbrk
10,2018-04-04 20:41:04,"President Trump will deploy National Guard troops to the US-Mexico border, Homeland Security secretary says    ",0,1,1,216,183,342,0.123123944,0.048798133,0.8280779,Neu,0.074325815,cnnbrk
11,2018-04-04 20:35:03,"Facebook says Cambridge Analytica may have improperly shared information on up to 87 million users, sharply revising its earlier estimate of 50 million    ",1,1,1,126,392,478,0.00805209,0.96599054,0.025957387,Neg,-0.95793843,cnnbrk
15,2018-04-04 16:43:03,"Planned Parenthood president says Jared Kushner and Ivanka Trump offered a ""bribe"" of increased funding if they'd stop performing abortions    ",1,1,1,1099,3650,4450,0.6949234,0.06233615,0.24274053,Pos,0.63258725,cnnbrk
16,2018-04-04 15:57:01,A lawyer who prosecuted Nazis and an activist against life sentences for minors will receive the MLK Nonviolent Peace Prize. Follow live updates    ,1,0,1,9,131,641,0.043209955,0.030851347,0.92593867,Neu,0.012358608,cnnbrk
17,2018-04-04 14:26:03,"The White House has decided on whether the US will withdraw from Syria, Trump's intel chief says. He does not give a timeline for an announcement.    ",1,1,1,61,67,120,0.028220477,0.05209527,0.91968423,Neu,-0.023874795,cnnbrk
18,2018-04-04 13:37:00,Facebook CEO Mark Zuckerberg will appear before a Congressional panel regarding the company's use and protection of user data on April 11    ,0,1,1,83,321,823,0.029661583,0.038310826,0.9320276,Neu,-0.008649243,cnnbrk
29,2018-04-03 18:29:02,President Trump says the US military will be used to guard the border with Mexico until a wall is built    ,1,1,1,536,268,662,0.10956009,0.02034718,0.8700927,Neu,0.08921291,cnnbrk
39,2018-04-03 02:28:02,Dating app Grindr says it will stop sharing the HIV status of its users with other companies    ,0,1,1,60,125,228,0.020291068,0.393762,0.585947,Neu,-0.37347093,cnnbrk
