,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
11,2021-07-20 21:12:03,"If I could pick two companies that would take me through their internal financial analyses, they would be $NFLX and $AMZN.",0,0,1,0,0,8,0.045404308,0.01526396,0.9393317,Neu,0.030140348,ivanthek
23,2021-07-13 19:09:00, At least Maria doesn't have kids who could grow up to be ashamed of her in the future.,1,1,1,1,0,9,0.0661905,0.21229988,0.7215096,Neu,-0.14610937,ivanthek
29,2021-07-04 14:14:03,"“Some might even argue that barbecue, not apple pie, best symbolizes our nation’s pride. What’s more, few foods rival barbecue’s ability to bring people together.” —Costco Connection magazine, 2021  cc: Grilling haters",1,1,1,3,3,32,0.05693868,0.032509316,0.910552,Neu,0.024429366,ivanthek
32,2021-06-30 15:25:01,"  No, it was never called manipulation, that I can recall.",1,0,1,1,0,0,0.034321304,0.07436952,0.8913092,Neu,-0.040048216,ivanthek
34,2021-06-29 16:13:03,"CNBC guest (former $FB counsel): ""We have 100 years of antitrust enforcement, and that can't just be simply overturned by an act of Congress.""  Wut?  ",1,1,1,2,1,9,0.055569287,0.11401479,0.83041596,Neu,-0.058445502,ivanthek
42,2021-06-22 15:29:00,"  Think about what you're ""spending"" it on. Would you say the same if we were talking about ""spending"" it on Apple stock?",1,1,1,1,0,0,0.033821806,0.03233425,0.9338439,Neu,0.0014875568,ivanthek
45,2021-06-20 21:55:03," Sure, but Amazon could have provided that feature without broadcasting the most popular highlights.",1,1,1,1,0,0,0.03726131,0.07557238,0.8871663,Neu,-0.038311068,ivanthek
48,2021-06-18 23:57:00,"I wonder what Louis Rukeyser would say about the current stock market.   (Google it, kids.)",0,1,1,13,1,38,0.020852657,0.07600203,0.9031453,Neu,-0.055149376,ivanthek
49,2021-06-17 21:59:05,Someone should tell Facebook users about this.,0,0,1,0,2,12,0.03494569,0.04195827,0.92309606,Neu,-0.0070125796,ivanthek
68,2021-05-26 13:56:05,Amazon keeps building up a Prime bundle that would make any moves to break them up on antitrust grounds very unpopular. $AMZN,0,1,1,4,1,19,0.06104465,0.7051668,0.23378861,Neg,-0.6441222,ivanthek
88,2021-05-05 14:19:05,"Facebook and the ""board"" can do this every six months until he dies.",0,1,1,4,0,18,0.019163605,0.062642045,0.91819435,Neu,-0.04347844,ivanthek
92,2021-05-03 19:52:04,That's just what a spy would say.,0,1,1,1,3,21,0.034041636,0.15170401,0.81425434,Neu,-0.11766238,ivanthek
97,2021-04-28 20:13:05,I can see that it would be a lot easier for some of you if Powell just gave a price target for the S&P 500.,1,0,1,0,1,15,0.07281198,0.020505175,0.90668285,Neu,0.05230681,ivanthek
110,2021-04-06 20:49:00,"  Don't know of a publicly available one. But Since Google started getting the Twitter firehose, I'll bet they have it internally.",1,1,1,0,0,6,0.05094938,0.01937656,0.929674,Neu,0.03157282,ivanthek
112,2021-04-05 14:51:01,"*FACEBOOK EXTENDS RALLY, HITS FIRST INTRADAY RECORD SINCE AUGUST  This is after disclosure of a data breach covering half a billion accounts. Zuck must be like: ""You want me to breach some more?""  ",0,1,1,4,3,22,0.076260485,0.7622319,0.16150768,Neg,-0.6859714,ivanthek
120,2021-03-25 19:07:00,Why would Amazon get special access from the federal government?,0,0,1,4,1,6,0.034662962,0.029015502,0.93632156,Neu,0.00564746,ivanthek
121,2021-03-24 11:00:00,"  It doesn't; that's my point. But some people are screaming that Twitter, FB, et al, have been attacking their 1A rights. They will incorrectly use Sanders' comments to promote that.",1,1,1,1,0,4,0.014386878,0.86830574,0.11730739,Neg,-0.85391885,ivanthek
132,2021-03-02 22:09:00,"PSA. If you're an Amazon customer, you might want to check out this area once in a while, You might be surprised by what you've signed up for.  ",1,1,1,4,0,10,0.15786475,0.0114915855,0.83064365,Neu,0.14637317,ivanthek
154,2021-01-28 22:58:00, Gruntled employee and ruly passenger would make for a boring Netflix series.,1,0,1,0,0,2,0.019129962,0.5218208,0.4590492,Neg,-0.5026908,ivanthek
155,2021-01-28 14:28:02,"Google ""Dram Shop laws"" and see if you can find any parallels to current events.",0,0,1,0,1,2,0.03240346,0.025215337,0.9423812,Neu,0.0071881246,ivanthek
159,2021-01-22 22:08:05,"When I told Amazon the $15 thermostat wall plate they sent me didn't properly line up with the thermostat base, they said they would refund me, and told me not to send it back. Imma drill some holes in it now. No downside. $AMZN",1,0,1,6,0,24,0.09438763,0.12812537,0.777487,Neu,-0.03373774,ivanthek
160,2021-01-22 14:33:00,  The question is would controlling breakevens shape actual inflation expectations?,0,1,1,1,0,0,0.032655004,0.080243826,0.8871012,Neu,-0.04758882,ivanthek
165,2021-01-19 22:27:04,"Just bought a Google Nest thermostat, so that Larry Page can keep my house at the right temperature.",1,0,1,4,0,15,0.08196094,0.013933536,0.9041055,Neu,0.06802741,ivanthek
180,2021-01-08 17:58:01,  I think the insider accounts on this will be breathtaking.,0,1,1,1,0,2,0.122624286,0.012587994,0.86478776,Neu,0.11003629,ivanthek
