,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
15,2018-03-15 12:55:02,"$DDD is likely to still get squeezed, but remember $0.03 to $0.05 should not have been a surprise to anyone inline      ",1,1,1,0,1,7,0.08160535,0.21919231,0.69920236,Neu,-0.13758695,ewhispers
205,2017-11-02 13:25:02,"yeah, those were good numbers from $EXEL but you can't ignore the selling at $30  gapfill      ",1,0,1,0,0,2,0.34712797,0.0482741,0.6045979,Neu,0.29885387,ewhispers
211,2017-11-01 11:30:00,You should probably watch $NTAP and $45 ahead of its earnings mid-month    expectedbeat              ,0,0,1,0,1,5,0.045201413,0.035534486,0.91926414,Neu,0.009666927,ewhispers
214,2017-10-31 13:25:02,The short-term move in $ALSN may be over but there are still a lot on the wrong side of this shortsqueeze             ,0,1,1,1,0,0,0.04400709,0.719991,0.23600191,Neg,-0.67598397,ewhispers
215,2017-10-30 23:09:04,          Should be PM tomorrow with conference call the next morning.  Thanks,0,0,1,0,0,0,0.038594678,0.031344157,0.9300612,Neu,0.0072505213,ewhispers
217,2017-10-30 14:29:01,"  Jeff, you should note the image you took actually has Earnings Whispers' watermark on it.  theystoleit",1,1,1,2,1,3,0.05691559,0.022208802,0.92087567,Neu,0.034706786,ewhispers
219,2017-10-29 22:10:02,  except if you look closely you can even see Earnings Whispers' logo ,0,1,1,0,0,1,0.09939796,0.036340747,0.86426127,Neu,0.063057214,ewhispers
223,2017-10-26 15:40:01,"As discussed on Monday, the 1 reason to buy $TWTR is none of the analysts think you should  sentiment               ",1,1,1,1,3,10,0.03825391,0.030851947,0.93089414,Neu,0.0074019637,ewhispers
244,2017-10-12 20:11:01,"All the recent short sellers in $FHN are in below $19.34, so positive earnings could force a squeeze tomorrow        ",0,1,1,0,3,9,0.016991783,0.9587796,0.024228709,Neg,-0.9417878,ewhispers
388,2017-04-28 14:26:01,"The short-term move for $ESS may be over, but as long as ~$235 holds, then watch for a squeeze    beatandraise  ",0,1,1,0,4,4,0.106294766,0.064144425,0.82956076,Neu,0.04215034,ewhispers
419,2017-04-10 14:22:03,"with $RCII 2019 estimates now going above $2.00 & an average PE of 9.9, the stock should double in 2 years      ",0,1,1,0,6,4,0.9275589,0.011470564,0.060970478,Pos,0.91608834,ewhispers
493,2017-02-03 14:23:05,"_if_ $PCTY can get to and hold $34, there is room to run to the $42 area following its beat and raise     ",0,1,1,0,2,2,0.15092263,0.014248472,0.8348289,Neu,0.13667415,ewhispers
515,2017-01-23 20:20:03,"The average 90-day PEAD for $YHOO & $VZ after beating their Earnings Whisper, but the hacks will be the focus now      ",0,1,1,0,2,1,0.2277271,0.0641298,0.7081431,Neu,0.1635973,ewhispers
