,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-04-02 02:51:01, Fair enough. Should have noted the large lot.,1,0,1,0,0,1,0.18231378,0.028270245,0.78941596,Neu,0.15404354,footnoted
3,2018-03-28 22:19:05,"Ah! LA, where you can spend $550k for a literal shack!  ",0,0,1,2,0,1,0.060632873,0.019960616,0.91940653,Neu,0.040672258,footnoted
10,2018-03-16 23:14:04," I will, but now that my blood has thinned from being in LA, it might have to wait until late spring!",1,1,1,1,0,0,0.047708046,0.4864286,0.46586338,Neg,-0.43872055,footnoted
19,2018-03-14 16:43:01,"SEC been on a bit of a spree this week. Wondering what tomorrow will bring! RT  File under, “If it appears to be too good to be true…”",1,1,1,1,0,4,0.029077731,0.37959576,0.5913265,Neu,-0.35051802,footnoted
21,2018-03-11 18:46:05,Interesting story by  on CEO pay ratios. Am guessing this rule will disappear soon.  ,0,1,1,2,9,15,0.03081771,0.49535704,0.47382528,Neg,-0.46453932,footnoted
27,2018-03-06 19:50:05,Managed to read the first 2 pages of  story before  was forcing me to register. Would like to see pg. 3.  ,1,1,1,0,0,1,0.030962199,0.07787225,0.89116555,Neu,-0.046910048,footnoted
31,2018-03-02 21:37:03,"Live tweeting the fridaynightdump over  This is a paid service, but you can get a free month trial by signing up here:  ",0,1,1,0,0,0,0.03308336,0.02357662,0.94334006,Neu,0.009506742,footnoted
43,2018-03-01 19:14:02," Yeah. The problem with searching the NT10Ks is that some companies file those, thinking they will miss the deadline, but then manage to get their 10Ks in on time. So not foolproof and I don’t want to be wrong, saying someone is late when they aren’t. Hey fintech folks: help!",1,1,1,1,0,1,0.035503052,0.3491751,0.61532176,Neu,-0.31367204,footnoted
44,2018-03-01 16:40:02," yes. Have seen the claims, but not the goods. Seems like a tool that people would pay for.",1,1,1,1,0,0,0.07278308,0.02996345,0.8972535,Neu,0.042819634,footnoted
46,2018-03-01 15:33:04, Am sure that’s the reason for today’s press release. A more lawyerly version will be in the 10-K. $EFX.  ,1,0,1,1,0,1,0.052322756,0.013170967,0.9345063,Neu,0.039151788,footnoted
47,2018-03-01 15:31:00,Happy Thursday! There’s 7 hours until today’s 10-K deadline for large filers. Should be some juicy ones coming in right around 5 pm today.,1,1,1,4,3,9,0.05315449,0.03737926,0.9094663,Neu,0.01577523,footnoted
52,2018-02-26 20:31:04,Would think that   or  or some other provider would want to offer a better solution that what existed in 2000.  ,1,0,1,1,0,6,0.2581581,0.009833777,0.7320081,Neu,0.2483243,footnoted
57,2018-02-22 00:53:01, was nice enough to invite me on his podcast. You can catch it here:  ,1,0,1,1,1,2,0.045738477,0.023758087,0.9305035,Neu,0.02198039,footnoted
64,2018-02-15 02:30:04,"Trying to get a total number of filings today, but EDGAR showing some errors. Best I can come up with is 2,100 filings made after 4:30 today. Anyone else have the answer?",1,1,1,0,0,0,0.03220672,0.24058327,0.72721,Neu,-0.20837656,footnoted
