,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2018-04-06 21:21:00,"Macro Review/Preview out in a short bit, Tribe home opener just started, can watch while you wait, have a great weekend!",1,1,1,0,0,1,0.114931434,0.017034667,0.8680338,Neu,0.09789677,harmongreg
7,2018-04-06 16:14:00," its over when its over, thought it odd Tome Lee would essentially stick a short term date on it.",1,1,1,1,1,1,0.026168495,0.5586644,0.41516712,Neg,-0.53249586,harmongreg
8,2018-04-06 16:00:04," it means it could stop here, or could keep going",0,1,1,0,0,1,0.041430794,0.076062806,0.8825064,Neu,-0.034632012,harmongreg
10,2018-04-06 15:51:05, so should end next week then.....,1,0,1,1,1,1,0.05140005,0.056156047,0.89244395,Neu,-0.004755996,harmongreg
16,2018-04-06 02:36:00,If  lose tonight can we fire Tye Lue?,0,0,1,0,0,2,0.02732895,0.42632294,0.54634815,Neu,-0.398994,harmongreg
28,2018-04-05 16:41:02,$KEY has simplified the 2 click online billpay by adding 2 more clicks..... will continue to hold calls anyway,1,1,1,1,0,4,0.40301502,0.016426623,0.5805583,Neu,0.3865884,harmongreg
30,2018-04-05 16:06:00,added $GWW with a Apr 292.5/272.5 PS and sold a may 310 call (collar) for 292.40. collar covers earnings,1,0,1,0,1,0,0.12117425,0.016802501,0.8620232,Neu,0.10437176,harmongreg
45,2018-04-04 21:38:01," not at this point, over 161.75 (15 min) will give a bit of clarity",0,0,1,0,0,1,0.060378004,0.02094563,0.91867644,Neu,0.039432377,harmongreg
81,2018-04-04 04:17:01,    We will do it in 2 weeks ,0,0,1,0,0,0,0.05485857,0.0134378895,0.93170357,Neu,0.04142068,harmongreg
83,2018-04-04 03:57:01,    Can be arranged,1,0,1,0,0,0,0.025450516,0.04637673,0.9281727,Neu,-0.020926215,harmongreg
86,2018-04-04 03:45:04,So Josh Tomlin must be distracted with his bitcoin losses,1,0,1,0,0,2,0.023138927,0.6455037,0.33135733,Neg,-0.62236476,harmongreg
90,2018-04-03 21:16:01,"I'll be presenting at Wealth365, an online conference, April 13th. Totally free and you can register here    gives you access to presenters all week",0,1,1,0,0,3,0.08930884,0.011990465,0.8987007,Neu,0.07731838,harmongreg
94,2018-04-03 20:35:01,"can someone give me a good novel, that uses artificial intelligence as a theme (robots taking over, machines stopping responding to humans or something like that)",0,1,1,6,0,1,0.03861562,0.04467708,0.91670734,Neu,-0.006061457,harmongreg
113,2018-04-02 20:30:01,  would invalidate on a lower low in price,0,0,1,0,0,0,0.3427742,0.50145465,0.15577118,Neg,-0.15868044,harmongreg
121,2018-04-01 19:02:03, Having a malignant melanoma will do that to you.,0,1,1,1,0,0,0.025431968,0.56877905,0.40578896,Neg,-0.54334706,harmongreg
128,2018-04-01 00:07:04,  So who is Mallory? Can we have Mila Kunis?,0,1,1,0,0,1,0.053151723,0.023738723,0.9231095,Neu,0.029413,harmongreg
140,2018-03-30 16:51:04, I'd be more comfortable if price closes the gap,0,1,1,0,0,0,0.18398519,0.024095576,0.79191923,Neu,0.15988961,harmongreg
157,2018-03-30 01:45:02,"DCMA clients slightly negative on the year. Without our XIV hiccup (right idea, flawed security) would be well ahead of market",1,0,1,0,1,5,0.060456198,0.9089513,0.030592497,Neg,-0.84849507,harmongreg
158,2018-03-29 23:53:01, its 4:00 close today that counts. So you will be called away.  Stock lower after hours you could buy back cheaper if want to stay in,1,1,1,0,0,0,0.035200037,0.73083085,0.23396917,Neg,-0.6956308,harmongreg
175,2018-03-29 14:28:01,I'd go broke  ,1,0,1,0,0,0,0.07136105,0.025026035,0.9036129,Neu,0.046335015,harmongreg
186,2018-03-29 12:46:04,"looks like no earnings trades today, or all of next week.... will continue to look Monday",0,0,1,0,0,0,0.14754625,0.20065188,0.6518019,Neu,-0.053105637,harmongreg
189,2018-03-28 22:20:01,"  I see higher lows so far, with declining volume. Promising for an end soon, but that could change tomirrow.",0,1,1,1,0,1,0.014675197,0.9581243,0.027200554,Neg,-0.9434491,harmongreg
209,2018-03-28 04:15:05, They still might do well with non-Ohio residents who wan to come to Clinic for treatment. I also do not know about if they have corporate plans that are different,0,1,1,0,0,0,0.11136948,0.026201893,0.86242867,Neu,0.08516759,harmongreg
213,2018-03-27 21:25:05, will tell you tomorrow after the close,0,0,1,0,0,0,0.03554934,0.026900982,0.9375497,Neu,0.008648356,harmongreg
221,2018-03-27 16:13:02," that was a good one, could apply to State Pension as well",1,0,1,0,0,0,0.22385933,0.0107068,0.7654338,Neu,0.21315253,harmongreg
305,2018-03-22 21:22:03,  All macro indicators that might play a role vs actual specific company facts.,0,1,1,1,0,1,0.02887804,0.0328517,0.9382703,Neu,-0.003973659,harmongreg
306,2018-03-22 20:45:00, actually this is exactly how you would expect him to approach it,0,1,1,0,0,1,0.042847883,0.03054494,0.9266072,Neu,0.012302943,harmongreg
311,2018-03-22 19:42:00,"adding $JPM Apr 100 Puts to my monitor.  Will be selling them, hopefully very soon",0,1,1,1,0,2,0.14939207,0.0128428275,0.8377651,Neu,0.13654923,harmongreg
313,2018-03-22 19:27:04,"tweet once every 2 wks, we will shake that one off, but following 0? That is not social media, that is just shouting  ",0,1,1,0,0,4,0.024579007,0.11358944,0.86183155,Neu,-0.08901043,harmongreg
325,2018-03-22 13:40:05,Calls just 1 and 2 weeks out not dropping in price comparatively to what I see short term....some is IV bump but should be lower,0,1,1,1,0,0,0.42338666,0.46230814,0.11430517,Neg,-0.038921475,harmongreg
327,2018-03-22 13:26:04,"$CCL "" Trade Idea 1: Buy the March 23 Expiry 67.5/66.5-66 1×2 Put Spread for free "" can try STC a 67.5/66.5 PS at the open for a few shekels",0,0,1,0,0,0,0.06752901,0.015443156,0.9170279,Neu,0.052085854,harmongreg
350,2018-03-21 13:28:00,"$GIS "" Trade Idea 2: Buy the April/May 55 Call Calendar for 20 cents. "" nothing to do today, can try STC",0,0,1,1,0,1,0.066365935,0.01837635,0.91525775,Neu,0.047989585,harmongreg
