,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-05 16:00:00,"Encouraging investment in frontier markets can be challenging due to their volatility. To address this, some countries are introducing production sharing contracts to lessen the risk for prospective oil companies    ",0,1,1,0,0,0,0.2180608,0.03257355,0.7493656,Neu,0.18548726,worldfinance
9,2018-03-29 16:00:00,"Increased collaboration between EU member states continues to reduce tax competition, but there are still an array of further methods that can be used to reduce complexity and optimise returns    ",1,1,1,0,0,0,0.82883704,0.007961913,0.16320111,Pos,0.8208751,worldfinance
11,2018-03-28 16:00:00,"Many believe that to achieve a truly sustainable pension system and a stable European economy, institutional capital must be more actively managed    ",1,1,1,0,0,0,0.66474205,0.010355814,0.32490212,Pos,0.6543862,worldfinance
13,2018-03-27 16:00:00,"The language used by central banks is ill-suited to the needs of the average consumer. To successfully manage expectations, banks must learn to communicate more effectively    ",1,1,1,1,1,2,0.039883804,0.26743746,0.6926787,Neu,-0.22755365,worldfinance
16,2018-03-23 16:50:00,"As more Filipinos find long-term employment, the demand for insurance products will grow exponentially. Insurance players must use innovative tools to communicate with this huge pool of potential    ",0,1,1,0,0,0,0.60174924,0.012184016,0.3860668,Pos,0.5895652,worldfinance
24,2018-03-19 16:55:04,"The language used by central banks is ill-suited to the needs of the average consumer. To successfully manage expectations, banks must learn to communicate more effectively   ",1,1,1,0,0,0,0.039883804,0.26743746,0.6926787,Neu,-0.22755365,worldfinance
27,2018-03-19 11:16:03,The company  intends to deliver relevant information to its clients in concise segments so they can respond to financial and political news without getting bogged down by extraneous information    ,1,1,1,1,2,3,0.1444669,0.010235917,0.84529716,Neu,0.13423099,worldfinance
28,2018-03-16 17:16:01,The Thai insurance sector is rapidly changing in the face of technological developments. Companies like Viriyah Insurance acknowledge they must be willing to adapt to stay relevant    ,0,1,1,0,2,1,0.15806085,0.0852054,0.7567337,Neu,0.07285545,worldfinance
29,2018-03-16 11:44:04,Infinox Capital intends to deliver relevant information to its clients in concise segments so they can respond to financial and political news without getting bogged down by extraneous information   ,1,1,1,0,1,0,0.1296008,0.009955069,0.86044407,Neu,0.11964572,worldfinance
35,2018-03-12 14:25:03,"While evidence shows automation’s net effect on employment is negligible, its structural effects on the job market are very real and must be dealt with    ",1,1,1,0,1,3,0.0362487,0.5963815,0.3673699,Neg,-0.5601328,worldfinance
38,2018-03-08 16:12:05,"Free trade zones are proving to be ideal places for new companies to establish themselves, providing an environment where businesses can prosper   ",0,1,1,0,0,1,0.8525067,0.008405614,0.1390876,Pos,0.8441011,worldfinance
44,2018-02-28 18:18:00,"In this digital age, the importance of viral videos and trending content has changed the rules of branding: emotive storytelling can be the most effective advertising vehicle     ",1,1,1,0,0,0,0.09689491,0.022902677,0.8802024,Neu,0.07399224,worldfinance
47,2018-02-23 16:12:03,"The Egyptian economy may have been hit by two revolutions but it is bouncing back stronger, thanks in large part to its steel industry    ",1,1,1,0,0,0,0.94918454,0.021557609,0.02925786,Pos,0.9276269,worldfinance
49,2018-02-22 16:14:02,"Offshore industries in Nigeria are threatened by piracy, sea robbery and kidnapping. In this environment, security firms must be equipped to deliver crucial protection services   ",1,1,1,0,0,0,0.07162404,0.27613273,0.65224326,Neu,-0.20450869,worldfinance
50,2018-02-21 16:32:01,Free trade zones can attract lucrative investment and enable meaningful development in host countries   ,0,0,1,0,1,1,0.85012805,0.008052358,0.14181958,Pos,0.8420757,worldfinance
62,2018-02-06 15:15:03,"Ana Botín may have followed in her father’s footsteps by taking the reins at Santander Group, but she’s made it clear that she’s forging her own path, says    ",1,1,1,0,0,0,0.62225527,0.013372706,0.3643721,Pos,0.60888255,worldfinance
72,2018-01-31 14:04:02,"VIDEO: As the Greek economy slowly recovers, local banks have a lot of work to do. Eurobank Ergasias explains how this can be achieved  ",1,1,1,0,0,0,0.2584118,0.010064136,0.73152405,Neu,0.24834765,worldfinance
76,2018-01-29 16:05:04,"Millennials are going freelance in their droves. Companies will have to transform beyond recognition to lure modern workers away from the freedom of being their own boss, says    ",0,1,1,0,0,0,0.035897065,0.3910135,0.5730894,Neu,-0.35511643,worldfinance
78,2018-01-26 14:38:03,"fintech companies are often seen as a threat to established banks, but partnerships between the two can drive innovation. The Bank of Montreal is embracing industry disrupters   ",1,1,1,0,0,1,0.059251536,0.110690765,0.8300577,Neu,-0.05143923,worldfinance
81,2018-01-24 16:44:03,"Used well, bodylanguage can be an effective tool for influence or even manipulation. However, even the masters sometimes slip up, writes     ",1,1,1,0,0,0,0.052650552,0.21827608,0.7290733,Neu,-0.16562553,worldfinance
85,2018-01-19 16:13:03,"Technology is revolutionising banking, improving the experience for clients. To make the most of this transformation, banks must be willing to collaborate with technology start-ups   ",0,1,1,0,1,2,0.793242,0.0087233065,0.19803467,Pos,0.78451866,worldfinance
88,2018-01-16 16:15:01,"The Internet of Things is set to bring a seismic shift to the way we use technology. But first, cities must work out how to power the new masses of internet-dependent devices, says Rachel Connolly   ",1,1,1,0,0,0,0.2518125,0.009208432,0.73897904,Neu,0.24260406,worldfinance
90,2018-01-16 10:31:00,As the 2018 WorldEconomicForum convenes in Davos there are more issues to address than ever before. Can the convocation chart a course that will successfully restore a skeptical world’s faith in globalisation?   ,0,1,1,0,1,0,0.34241313,0.011113576,0.6464733,Neu,0.33129954,worldfinance
96,2018-01-10 15:21:02,"Offshore industries in Nigeria are threatened by piracy, sea robbery and kidnapping. In this environment security firms must be equipped to deliver crucial protection services   ",1,1,1,0,1,0,0.06551663,0.25809303,0.67639035,Neu,-0.19257641,worldfinance
99,2018-01-09 15:36:04,"Saudi Arabia’s Vision 2030 programme will drive growth across the country, most notably in its asset management, tourism and insurance sectors    ",0,0,1,0,0,0,0.842156,0.0070799533,0.15076402,Pos,0.83507603,worldfinance
101,2018-01-08 16:15:00,Samsung’s success in the wake of a series of scandals shows that the smartphone maker truly could be too big to fail   ,0,0,1,0,0,0,0.030681657,0.8745285,0.09478983,Neg,-0.84384686,worldfinance
102,2018-01-08 16:00:00,VIDEO: Neo is the new full-service digital-only bank for customers in the UAE. How will its offerings differ to its predecessors'?    ,0,1,1,0,1,0,0.11828596,0.00928962,0.8724244,Neu,0.10899634,worldfinance
104,2018-01-08 09:11:01,"With banks failing to differentiate themselves from the rest,  's unique approach to branding shows that banks can make emotional connections with their customers   ",0,1,1,0,0,0,0.3653269,0.016979055,0.6176941,Neu,0.34834784,worldfinance
110,2018-01-01 14:00:00,"In a bid to generate a ‘sincerity culture’, the Chinese Government is in the process of providing every citizen with a trustworthiness rating. But can you force trust?   ",0,1,1,0,0,0,0.26365566,0.008259068,0.72808534,Neu,0.2553966,worldfinance
111,2017-12-29 14:00:00,"Finance is changing, as are the expectations of customers. The industry must push for innovation and personalisation in customer services in order to thrive   ",0,1,1,0,1,1,0.21876574,0.013386529,0.7678478,Neu,0.2053792,worldfinance
113,2017-12-27 14:00:00,"Going into business with friends can be a recipe for disaster. But, with the right mentality and preparation, it can also be an incredible success   ",0,1,1,0,0,1,0.13056713,0.020582018,0.84885085,Neu,0.10998511,worldfinance
115,2017-12-25 14:00:00,"With economists taking a reductionist approach to economics, another financial crisis is inevitable. They must learn from the mistakes of weather forecasters and changing their predictive models, says David Orrell    ",0,1,1,1,1,1,0.04681686,0.50428385,0.4488994,Neg,-0.457467,worldfinance
118,2017-12-18 15:29:03,"Finance is changing, as are the expectations of customers. The industry must push for innovation and personalisation in customer services in order to thrive   ",0,1,1,0,0,0,0.21876574,0.013386529,0.7678478,Neu,0.2053792,worldfinance
131,2017-12-08 10:11:03,"While turbulent markets and digital disruption have proved a headache in the banking industry, change can confirm the effectiveness of the correct long-term approach    ",1,1,1,0,1,0,0.8694746,0.014193241,0.11633219,Pos,0.85528135,worldfinance
138,2017-12-06 14:58:01,"The key to microfinance is to balance social performance, environmental impact and profitability. While this may not be easy, it’s an extremely worthwhile endeavour   ",1,1,1,0,0,0,0.5360477,0.008922837,0.4550295,Pos,0.5271249,worldfinance
143,2017-12-04 17:12:05,"While Sri Lanka’s larger economy is stumbling, its banks are flourishing. Sampath Bank exemplifies how banks can succeed in a shaky economy   ",0,1,1,0,0,0,0.61168045,0.019346496,0.368973,Pos,0.592334,worldfinance
145,2017-12-04 12:14:05,"In an effort to clamp down on tax havens, the EU will release a blacklist of countries failing to meet transparency, tax fairness and data-sharing regulations    ",0,1,1,0,0,0,0.012413606,0.9067545,0.080831885,Neg,-0.8943409,worldfinance
158,2017-11-17 15:04:01,"Falling commodity prices have caused Chile’s economy to stagnate in recent years, but the upcoming elections should herald a return to growth in the medium and long term    ",1,1,1,0,1,0,0.9497554,0.024150604,0.026093923,Pos,0.92560476,worldfinance
160,2017-11-16 15:31:04,"Applying psychology to finance can help investors reduce the impact of their emotions on investment decisions, improving gains and reducing losses   ",0,1,1,0,0,1,0.32983598,0.013807022,0.65635693,Neu,0.31602895,worldfinance
161,2017-11-15 15:35:01,"To harness the opportunities of the digital age, banks need more than a cosmetic overhaul. Front-end development must be supported by a back-end revolution  ",1,1,1,0,1,0,0.16152364,0.010114429,0.82836187,Neu,0.15140921,worldfinance
170,2017-11-10 11:22:02,"With Indonesia 's millennials entering the workforce, the housing market must adapt, says    ",0,1,1,0,2,0,0.49158067,0.023862038,0.4845572,Pos,0.46771863,worldfinance
172,2017-11-09 16:24:03,With less than 200 days until the deadline to comply with GDPR Brickendon takes a look at how the legislation will affect the financial services industry   ,0,1,1,0,3,1,0.025763758,0.056450572,0.9177857,Neu,-0.030686814,worldfinance
183,2017-11-02 16:44:03,"Material cooperation would benefit both the UK and the EU, but it’s up to TheresaMay 's government to push for it   ",0,1,1,0,1,0,0.71451354,0.00939101,0.2760955,Pos,0.70512253,worldfinance
190,2017-10-31 11:55:05,"By introducing retraining opportunities and workforce training, the US can begin to deal with its skillsgap    ",0,1,1,0,0,0,0.85625327,0.008946319,0.13480043,Pos,0.84730697,worldfinance
198,2017-10-24 09:00:00,World Finance's media partner  will be at  today & the rest of the week; discover their work here   ,0,0,1,0,1,2,0.05053612,0.014319481,0.93514436,Neu,0.03621664,worldfinance
201,2017-10-22 14:00:00,Our media partner  will be at  this coming week; discover more about them here  ,0,1,1,0,2,4,0.05049427,0.014873367,0.9346324,Neu,0.0356209,worldfinance
212,2017-10-16 14:30:05,International central bank leaders warned that emergency fiscal policies still can’t be relaxed    ,1,0,1,0,1,2,0.08158797,0.7236612,0.19475086,Neg,-0.6420732,worldfinance
215,2017-10-13 12:16:03,The EC has launched an investigation into whether Bayer 's deal would negatively affect agriculture competition   ,1,1,1,0,2,2,0.025795678,0.6007959,0.37340838,Neg,-0.5750002,worldfinance
220,2017-10-10 14:10:01,An OECD indicator revealed that the largest economies worldwide will continue to grow at a strong pace next year   ,1,1,1,1,0,2,0.94222367,0.014859223,0.042917028,Pos,0.92736447,worldfinance
221,2017-10-10 12:32:00,thaler - a pioneer in the behavioural economics field - says he'll spend his money “as irrationally as possible”   ,0,1,1,0,2,4,0.08291822,0.038865726,0.878216,Neu,0.044052493,worldfinance
227,2017-10-05 12:01:00,The EC has announced it will take Ireland to court for failing to recover €13bn ($15bn) in unpaid taxes from Apple   ,1,1,1,1,2,3,0.016877657,0.9469648,0.036157593,Neg,-0.93008715,worldfinance
