,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-06 22:37:04,"Premium Users: Macro Week in Review/Preview April 6, 2018, on the blog and here  ",0,0,0,0,0,0,0.021548992,0.036966212,0.9414848,Neu,-0.01541722,harmongreg
1,2018-04-06 21:27:02,"Just starting to get to the second step now - ""More tariffs"", ""that sucks this much"", ""um, well maybe not so much tariffs"", ""hooray""....rinse repeat.",0,1,0,0,0,2,0.07795403,0.03068917,0.8913568,Neu,0.04726486,harmongreg
3,2018-04-06 21:21:00,"Macro Review/Preview out in a short bit, Tribe home opener just started, can watch while you wait, have a great weekend!",1,1,1,0,0,1,0.114931434,0.017034667,0.8680338,Neu,0.09789677,harmongreg
4,2018-04-06 21:17:04,"3 names on the bullscan for Monday, all Services Sector: AMC Entertainment $AMC, Cheesecake Factory $CAKE & Urban Outfitters $URBN",0,0,0,0,0,5,0.030831201,0.025281865,0.94388694,Neu,0.005549336,harmongreg
5,2018-04-06 21:12:01,Dragonfly Capital Premium Top 10 Equal Weight crushed the Indexes delivering +43bp  this week $GWW $ABC $SPY    ,1,1,0,0,1,4,0.26421148,0.017887697,0.7179008,Neu,0.24632378,harmongreg
6,2018-04-06 19:25:03, I have not sold,1,1,0,1,0,0,0.04735694,0.057521086,0.895122,Neu,-0.010164145,harmongreg
7,2018-04-06 16:14:00," its over when its over, thought it odd Tome Lee would essentially stick a short term date on it.",1,1,1,1,1,1,0.026168495,0.5586644,0.41516712,Neg,-0.53249586,harmongreg
8,2018-04-06 16:00:04," it means it could stop here, or could keep going",0,1,1,0,0,1,0.041430794,0.076062806,0.8825064,Neu,-0.034632012,harmongreg
10,2018-04-06 15:51:05, so should end next week then.....,1,0,1,1,1,1,0.05140005,0.056156047,0.89244395,Neu,-0.004755996,harmongreg
11,2018-04-06 15:08:02, not me,0,0,0,1,0,0,0.08083377,0.087197796,0.8319684,Neu,-0.006364025,harmongreg
12,2018-04-06 14:39:00," you and I seem to be the only one's out here ok with that, LOL",0,1,0,0,1,0,0.13667282,0.027891155,0.835436,Neu,0.108781666,harmongreg
13,2018-04-06 13:15:02,Dragonfly Capital - Emerging Markets as a Store of Wealth   $EEM  ,0,1,0,0,0,1,0.11432932,0.011030031,0.8746406,Neu,0.10329929,harmongreg
14,2018-04-06 13:15:01,Dragonfly Capital - Emerging Markets as a Store of Wealth   $EEM,0,1,0,0,0,0,0.11432932,0.011030031,0.8746406,Neu,0.10329929,harmongreg
15,2018-04-06 02:38:01,Why do you all think talk about trade  is about poll numbers or the market and not trade negotiations?  ,0,1,0,4,1,5,0.0316212,0.16950561,0.7988732,Neu,-0.13788441,harmongreg
16,2018-04-06 02:36:00,If  lose tonight can we fire Tye Lue?,0,0,1,0,0,2,0.02732895,0.42632294,0.54634815,Neu,-0.398994,harmongreg
17,2018-04-06 01:56:05,"My coffee maker is cleaning itself, just like I did this morning.",1,1,0,0,0,1,0.09134398,0.1499971,0.75865895,Neu,-0.058653124,harmongreg
19,2018-04-06 01:50:03, You need orange bro,0,1,0,0,0,1,0.072958075,0.027165052,0.89987683,Neu,0.045793023,harmongreg
20,2018-04-06 01:23:05,"""More tariffs"", ""that sucks this much"", ""um, well maybe not so much tariffs"", ""hooray""....rinse repeat.",0,1,0,0,2,6,0.046997357,0.05290953,0.90009314,Neu,-0.0059121735,harmongreg
21,2018-04-06 01:02:04,"My week on Twitter 🎉: 91 Mentions, 7.9K Mention Reach, 244 Likes, 27 Retweets, 40.8K Retweet Reach. See yours with    ",0,0,0,0,0,0,0.044091504,0.029754378,0.92615414,Neu,0.014337126,harmongreg
22,2018-04-05 21:25:02,"22 names on the bull scan for Friday including 6 Services, 6 Basic Materials, and 4 Healthcare  $XLB $XLV  ",0,1,0,0,1,4,0.028487407,0.029955113,0.9415575,Neu,-0.0014677066,harmongreg
23,2018-04-05 21:17:03,"1 week from tomorrow I speak at Wealth365, but 69 others start at this online conference Monday, register for free    ",0,1,0,0,1,1,0.028996542,0.026129382,0.94487405,Neu,0.0028671604,harmongreg
24,2018-04-05 21:10:04,  I don't care if you are Muslim,0,1,0,0,0,1,0.031861145,0.1105443,0.85759455,Neu,-0.07868315,harmongreg
25,2018-04-05 20:59:03,  why don't you just go tack starboard,0,1,0,1,0,0,0.031557236,0.07886162,0.88958114,Neu,-0.04730438,harmongreg
26,2018-04-05 20:56:05, Party like its early January,0,0,0,1,0,1,0.079731636,0.042714506,0.8775538,Neu,0.03701713,harmongreg
27,2018-04-05 20:41:04, or Crazy Horse,0,0,0,1,0,2,0.03594111,0.1393717,0.82468724,Neu,-0.103430584,harmongreg
28,2018-04-05 16:41:02,$KEY has simplified the 2 click online billpay by adding 2 more clicks..... will continue to hold calls anyway,1,1,1,1,0,4,0.40301502,0.016426623,0.5805583,Neu,0.3865884,harmongreg
29,2018-04-05 16:14:03,"$SPY $IWM above Mar 29 high now, $QQQ on a second attempt",0,0,0,0,1,3,0.8704126,0.038457822,0.09112959,Pos,0.8319548,harmongreg
30,2018-04-05 16:06:00,added $GWW with a Apr 292.5/272.5 PS and sold a may 310 call (collar) for 292.40. collar covers earnings,1,0,1,0,1,0,0.12117425,0.016802501,0.8620232,Neu,0.10437176,harmongreg
31,2018-04-05 15:23:05,Adjusting scale to see early changes in the Nasdaq 100   $QQQ &lt;== initial push stalled at 3/29 high  ,1,1,0,0,2,2,0.098187424,0.12727763,0.7745349,Neu,-0.029090203,harmongreg
