,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-03 23:52:01,Good jobs in black communities have disappeared and extreme poverty is rising. Cities should be exploding—but they aren’t. Where Have the Rioters Gone? KingLegacy  ,1,1,1,0,0,0,0.018483529,0.79203886,0.18947761,Neg,-0.77355534,dcdaytrader
1,2018-04-03 23:47:04,. on why the US-China trade war will hurt America's heartland:   ,0,0,1,0,0,0,0.056907978,0.30869097,0.6344011,Neu,-0.25178298,dcdaytrader
11,2018-03-23 14:09:01," Trump will tout this  episode as the highest rated episode ever because of him ! (Sadly, it just may be).    StormyDaniels",0,0,1,0,0,0,0.06752592,0.034447137,0.89802694,Neu,0.033078786,dcdaytrader
15,2018-03-20 20:33:00," I sure wish  would air this segment so their idiots, errh I mean audience could learn they’ve been hoodwinked, bamboozled, taken for a ride! I doubt it matter to that crowd though.",1,1,1,0,0,0,0.054986525,0.07771957,0.8672939,Neu,-0.022733044,dcdaytrader
17,2018-03-19 23:21:03, Idiots ! So the atty thought it was a good to provide a written account of “key moments” which will surely be used against him because we all know how this administration “forgets” to disclose key facts!! Just plain ole stupid!  & Co. are incompetent idiots.,1,1,1,0,0,1,0.02259974,0.5650574,0.41234285,Neg,-0.54245764,dcdaytrader
19,2018-03-19 13:31:01,What Michael Flynn could tell the Russia investigators   via ,0,0,1,0,0,0,0.027449641,0.06188619,0.91066414,Neu,-0.03443655,dcdaytrader
23,2018-03-18 19:16:01, Can you help me get business clients,0,0,1,0,0,0,0.086300984,0.016989455,0.8967096,Neu,0.06931153,dcdaytrader
24,2018-03-18 14:42:04,"  I’m so fuggin sick of hearing that lame azz argument. Yes, no one thought Trump would win - even he didn’t think he’d win (his words).  His fear is that his Presidency is illegitimate. It’s not. he won because he illegally stole personal data & was able to persuade stupid voters.",1,1,1,0,0,1,0.037116718,0.4781381,0.48474514,Neu,-0.44102138,dcdaytrader
29,2018-03-17 21:34:02,"  When the full extent of your venality, moral turpitude, and political corruption becomes known, you will take your rightful place as a disgraced demagogue in the dustbin of history. You may scapegoat Andy McCabe, but you will  not destroy America...America will triumph over you.",1,1,1,0,0,0,0.04271647,0.21225458,0.745029,Neu,-0.16953811,dcdaytrader
30,2018-03-17 21:31:05, FCK45 and may he rot in prison  ,0,0,1,0,0,0,0.032641243,0.29632524,0.6710335,Neu,-0.263684,dcdaytrader
34,2018-03-17 18:38:00," I would be willing to bet, McCabe has damaging info on Trump.  Bet. Not to mention, Dumb Donald likes a show, so this is all his attempt to publicly damage McCabe’s rep before he drops damaging info against Trump.  FCK45 and anyone who supports his corrupt ass.  ",1,1,1,0,0,0,0.033235986,0.40095392,0.5658101,Neu,-0.36771792,dcdaytrader
35,2018-03-17 18:35:03," For all the “McCabe should have been fired” supporters here, please one of you “bots” explain to me what he did that would warrant his termination hours before he was to receive his pension? And please don’t say the IG recommended it. Did u read he report? Why wait until now?",1,1,1,0,0,0,0.022693103,0.64987034,0.32743657,Neg,-0.62717724,dcdaytrader
47,2018-03-10 22:48:04,"Mining asteroids mining might sound like science fiction, but it's inching closer to reality—and it could be incredibly lucrative   via ",0,1,1,0,0,0,0.109502785,0.022281136,0.86821604,Neu,0.08722165,dcdaytrader
61,2018-03-04 01:11:05," Donald Trump, you are a fuggin disgrace and an idiot!  You have the time and attention to atttack a fictional character, but the real threat (Putin) is in your face and telling you he will fukk you up if you mess with him and you say nothing?  Smh. Punk ass.",0,1,1,0,0,0,0.021484638,0.69259953,0.28591588,Neg,-0.6711149,dcdaytrader
69,2018-02-22 04:27:04," So in one class they are taught about their rights as citizens, but the Superintendent is saying in the real world your right to protest as a citizen is unlawful! GTFOH!! Everyone of those students and parents in that district should walk out and protest!!!!",0,1,1,0,0,0,0.024025435,0.6577173,0.3182573,Neg,-0.63369185,dcdaytrader
76,2018-02-21 02:14:04,  So when are you going to talk about the “real threat” to our democracy from the Russians?    is a FAILURE. This entire Administration is a huge failure and anyone that voted for you should take the blame.  Huge Failure Potus,1,1,1,0,0,0,0.010579257,0.9289632,0.06045759,Neg,-0.91838396,dcdaytrader
110,2018-02-02 18:06:05, How the fukk are you suggesting people should be “ashamed” when you’re the one fuggin a porn star while your stipper immigrant wife is nursing a newborn; then you tried to pay her hush money. GTFOH! If anything YOUR MAMA should be ashmaned & your daddy should’ve had a vasectomy,1,1,1,0,0,0,0.036951527,0.5050889,0.45795947,Neg,-0.46813738,dcdaytrader
111,2018-02-02 18:05:01, How the fukk are you suggesting people should be “ashamed” when you’re the one fuggin a porn star while your stipper immigrant wife is nursing a newborn; then you tried to pay her hush money. GTFOH! If anything YOUR MAMA should be ashmaned & your daddy should’ve had a vasectomy,1,1,1,0,0,0,0.036951527,0.5050889,0.45795947,Neg,-0.46813738,dcdaytrader
116,2018-01-31 00:41:03," I hope McCabe stepped down so he could be become “deep throat”. Destroy this fat muthafukka!! FCK45 and if you voted for him, FCKu2!",1,1,1,0,0,0,0.0350624,0.2312188,0.7337188,Neu,-0.1961564,dcdaytrader
120,2018-01-31 00:38:00,   So  what’s your “kiss trumps ass” response gonna be when the economy tanks and you’re out of a job? Can’t wait to hear you and the other deplorables come up with a defense dumb Donald then.,0,1,1,0,0,0,0.04518919,0.1547799,0.8000309,Neu,-0.10959071,dcdaytrader
138,2018-01-22 22:56:05," And this is News why? C’mon BAW, y’all can do better. Dayyum.",0,1,1,0,0,0,0.22055547,0.016571052,0.7628735,Neu,0.20398441,dcdaytrader
151,2018-01-20 17:07:01,"   I guess you were in the room during the negotiations? Funny how the general public seems to know everything because they watch 18minutes of  .  Both sides are to blame and yes, I will “go there”",1,1,1,0,0,0,0.052745085,0.14175332,0.8055016,Neu,-0.08900823,dcdaytrader
162,2018-01-19 14:28:01," Do you see the look on my face! Actually, as someone who does international business, suffering might not be the correct word, but embarrassed sure is!  This whole thing is a shit show! Right-Left, doesn’t matter. It’s disgraceful",1,1,1,1,0,0,0.018906303,0.7212387,0.25985506,Neg,-0.7023324,dcdaytrader
166,2018-01-19 13:25:05,  To you  supporters: is there anything he can do that will make you stop supporting him?  Serious question. I mean nothing he does benefits you all (you all = working class.  you definitely don’t look like you’re in the 1%).,0,1,1,2,0,1,0.09365841,0.095604554,0.81073695,Neu,-0.0019461438,dcdaytrader
169,2018-01-18 02:55:02,"     Just curious, something I’ve always wanted to ask a trump supporter: is there anything  can do that would cause you to drop your support for him? Seriously question. Is there one thing (or a few) that would compel you to drop your suppprt? ",1,1,1,0,0,2,0.046238456,0.3620893,0.59167224,Neu,-0.31585085,dcdaytrader
170,2018-01-18 02:54:03,"  Just curious, something I’ve always wanted to ask a trump supporter: is there anything he can do that would cause you to drop your support for  ?Seriously question. Is there one thing (or a few) that would compel you to drop your suppprt? ",1,1,1,1,0,0,0.04820079,0.31399697,0.6378022,Neu,-0.26579618,dcdaytrader
174,2018-01-18 01:13:04,"      So now the president of the United Steelworkers Union is lying ? Geez, you trump supporters will deny existence if if goes against trump.  FCK45  ",0,1,1,0,1,1,0.03212311,0.3023229,0.665554,Neu,-0.27019978,dcdaytrader
178,2018-01-17 22:46:00," This kid is dumb!! He actually said all he cares about is “money” , during the height of an investigation that will prove he laundered money. Why? Bcuz all he cares about is MONEY!! Admitted by none other than Eric “you big dummy, you stupid kids are why I’m in this mess” Trump!",1,1,1,0,0,0,0.031331893,0.4206141,0.548054,Neu,-0.3892822,dcdaytrader
185,2018-01-16 05:09:02, He’s also listed as one of the 10 worst Presidents in US History. Jus sayin’,1,0,1,0,0,0,0.025113337,0.6039265,0.37096015,Neg,-0.57881314,dcdaytrader
193,2018-01-13 23:33:05,"   So as US citizens, we should accept hateful outbursts, name calling, & hateful rhetoric from our politicians (leaders) as  “being real” ? GTFOH.  Basically you’re saying it’s time to take off the white hoods and be real. Anyone that defends  is a racist. Period!",1,1,1,0,0,0,0.039387196,0.26321712,0.6973957,Neu,-0.22382993,dcdaytrader
194,2018-01-13 23:30:01,"   That’s a dumb bullish!t defense of an idiot.  You’re a phony. Your mother should be a shamed and your should’ve had a vasectomy! Come to think of it, your grandfather should’ve had one too.  FCK45 and FCK you!  ",1,1,1,0,0,0,0.028582625,0.5445348,0.4268826,Neg,-0.51595217,dcdaytrader
205,2018-01-13 01:57:03,"“If you can convince the lowest white man he’s better than the best colored man, he won’t notice you’re picking his pocket. Hell, give him somebody to look down on, and he’ll empty his pockets for you.” ~ Lyndon Johnson to Bill Moyers circa 1960’s",1,1,1,0,0,0,0.05215975,0.06581407,0.8820262,Neu,-0.013654321,dcdaytrader
207,2018-01-12 19:36:02," He’s a “public official” having a cabinet meeting. All official accounts are considered “public”.  Nice try though. Well, not exactly - not sure how you can muster the decency to continually defend this asshole.  FCK45  ",1,1,1,0,0,0,0.031406723,0.042236254,0.926357,Neu,-0.010829531,dcdaytrader
224,2018-01-09 02:05:04, I guess I could say his belly responded the worst to that pork. Fat bald headed ignorant non-speaking azz muthafukka,1,1,1,0,0,0,0.052299537,0.11700726,0.83069324,Neu,-0.064707726,dcdaytrader
229,2018-01-07 22:29:04, If you & your stooges wouldn’t give so much material to the media then maybe they would focus on something other than your stupidity! Since Day One in office you’ve given “material” for the media to exploit you with; and it’s not hard. Still waiting on you to act “presidential”.,1,1,1,0,0,0,0.05572953,0.061460152,0.8828103,Neu,-0.0057306215,dcdaytrader
255,2017-12-30 22:26:04, “Republicans have insisted that the corporate tax cut would yield higher wages and more jobs for U.S. workers.”      - guess we’ll see how this works out.,1,1,1,0,0,0,0.4467968,0.14255221,0.41065106,Pos,0.30424458,dcdaytrader
258,2017-12-27 00:14:01,Must read: RedNotice by   I wish I knew him in 1994/1995 $$$ &lt;smile&gt;. Would be honored to meet him now.  Phenomenal story. Great work Sir.,1,1,1,0,0,0,0.3157448,0.013885412,0.67036986,Neu,0.30185938,dcdaytrader
264,2017-12-20 00:27:05," He should’ve been given a job at a marketing firm, not arrested! He’s already proved he can sell...",1,1,1,0,0,0,0.33525744,0.026382826,0.6383597,Neu,0.3088746,dcdaytrader
265,2017-12-19 02:27:05," I’m convinced, this is all a practical joke.  None of this can be real.",1,1,1,0,0,0,0.040184237,0.18018371,0.7796321,Neu,-0.13999948,dcdaytrader
271,2017-12-16 13:55:02," If touching the back or knee is considered inappropriate, I think the male workforce will be extinct in 60 days.  Wonder if delusion has become a factor in some of the claims? Not saying that’s the case here... just wondering.",1,1,1,0,0,0,0.023643555,0.5806676,0.39568883,Neg,-0.55702406,dcdaytrader
285,2017-12-11 20:44:04," Between the Mueller investigation, the Congressional Investigations, the NYAG investigation and now the sexual harassment complaints surfacing again coupled with his Big Mac diet, I think we need to see the  ‘s health evaluation. His heart can’t take much more!",1,1,1,0,0,0,0.10059865,0.08489489,0.8145065,Neu,0.01570376,dcdaytrader
286,2017-12-11 20:41:05, The strategy here is to support Moore because he knows the accusations against him are surfacing again.  He can’t be hypocritical and denounce Moore when he’s gonna need the same support.,1,1,1,1,0,4,0.09960908,0.14499061,0.7554003,Neu,-0.04538153,dcdaytrader
287,2017-12-11 20:39:00," Between the Mueller investigation, the Congressional Investigations, the NYAG investigation and now the sexual harassment complaints surfacing again coupled with his Big Mac diet, I think we need to see the  ‘s health evaluation. His heart can’t take much more!",1,1,1,1,0,1,0.10059865,0.08489489,0.8145065,Neu,0.01570376,dcdaytrader
288,2017-12-11 20:36:05,"  Between the Mueller investigation, the Congressional Investigations, the NYAG investigation and now the sexual harassment complaints surfacing again coupled with his Big Mac diet, I think we need to see the  ‘s health evaluation. His heart can’t take much more!",1,1,1,4,1,9,0.10059865,0.08489489,0.8145065,Neu,0.01570376,dcdaytrader
