,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2021-07-29 14:49:03,$VRAR HOTTHEME PUREPLAY LOWFLOAT   $FC Mark Zuckerberg wants you to inhabit an alternate universe. Facebook's spending billions on a metaverse where users can interact with each other virtually.,0,1,1,2,1,17,0.053673368,0.016782314,0.9295443,Neu,0.036891054,super_trades
10,2021-06-10 20:02:03, $EGLD could be like the amazon web services of blockchain imo  (Not investment advice as always do own DD and have own trade plan),1,1,1,1,7,8,0.04012817,0.014282949,0.9455888,Neu,0.025845222,super_trades
13,2021-05-12 20:24:01,"$TDAC -&gt; ""If the vision for the company plays out,   could potentially become the Uber or Amazon of gambling and in the long run could become worth over $100bil. ""   Building A Gambling Conglomerate  ",0,1,1,7,17,39,0.18370765,0.0078088343,0.8084835,Neu,0.17589882,super_trades
14,2021-04-26 16:40:01,$TDAC CEO - they will be “global gaming center”. the $AMZN of games of chance….  very LOW customer acquisition costs,0,0,1,1,4,34,0.116074264,0.008954093,0.8749717,Neu,0.10712017,super_trades
18,2021-03-25 23:37:03,$MSFT $10B for Discord ?  What could go wrong ?  Who makes these decisions ?,0,1,1,9,2,36,0.022107642,0.47556168,0.5023306,Neu,-0.45345405,super_trades
24,2021-02-23 19:15:02,$NGAC solid name imo if $AMZN were confirmed would be big,1,0,1,0,6,31,0.04878286,0.015737178,0.93548,Neu,0.03304568,super_trades
30,2021-02-16 19:22:05,$TDAC it is mid-feb AH tonight or I would expect this week based on their own press release comments…. global lottery $AMZN type player and blockchain and crypto and revolutionizing the philanthropy markets as well,1,1,1,5,11,59,0.10766965,0.009296292,0.88303405,Neu,0.09837336,super_trades
32,2021-02-01 23:53:03, there is a press release out there you can google or find,0,1,1,0,0,1,0.031343386,0.018250499,0.9504062,Neu,0.013092887,super_trades
37,2020-12-04 19:24:00, $IPOB called the $AMZN of real estate.  seems like story Wall Street will chase to crazy heights ?  $TRNE also same sexy story ?,1,1,1,1,0,7,0.064424545,0.022695608,0.9128798,Neu,0.041728936,super_trades
42,2020-08-13 22:00:04,$EVSI  will power drones also  $AMZN biggest drone fleet of the future and loves EV …….,0,1,1,0,5,17,0.17093514,0.008933396,0.8201315,Neu,0.16200174,super_trades
45,2020-07-29 16:06:00,$EVSI silly shorts and trolls this may be the $AAPL of sustainable EV charger tech imo,0,1,1,2,2,17,0.08890838,0.012952634,0.89813894,Neu,0.07595575,super_trades
47,2020-07-25 21:25:05, $EVSI solar EV chargers and wireless patents .   The big spending will be in charger infrastructure and this to me is the $AAPL of it at the ground floor 🦸🏻‍♂️ in 100 municipalities already and NY biggest customer .  Tip of iceberg .,0,1,1,0,3,8,0.0965182,0.010167365,0.8933145,Neu,0.086350836,super_trades
59,2018-12-19 22:46:00," imo $CWBHF will make run like $CGC $TLRY did once FB signed and news can flow.  Uplist, retail deals ..etc........they are the largest ,leader and most trusted brand / company.  Also super profitable high margins. With right moves this can have $3-$10B cap imo.",1,1,1,0,1,5,0.7759671,0.009611728,0.21442114,Pos,0.7663554,super_trades
61,2018-06-07 01:44:00,$IFON might be low float in play tomorrow …working with $AAPL  per PR,0,1,1,0,0,4,0.15872478,0.034244422,0.8070308,Neu,0.12448037,super_trades
62,2018-04-11 03:18:02,"If $FB never bought Instagram, their stock would probably be under $100 right now.  $FB site has been dead for a while.  Definitely on the decline.  IG could follow also somepoint.",1,1,1,3,2,18,0.012876481,0.8630186,0.12410501,Neg,-0.8501421,super_trades
