,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
43,2018-04-05 16:26:03,China will win any trade war with U.S.- state media    ,0,0,1,3,13,19,0.7605845,0.018062063,0.22135353,Pos,0.7425224,reutersbiz
47,2018-04-05 15:43:00,Escalating U.S.-China trade tensions could hit German automakers with exports from Tesla and Ford also vulnerable   by  Norihiko Shirouzu $TSLA $F $BMWG $DAIGn  ,0,1,1,3,4,2,0.016823452,0.95570934,0.027467176,Neg,-0.93888587,reutersbiz
48,2018-04-05 15:27:03,China will win any trade war with U.S.: state media  ,0,0,1,2,24,22,0.11885753,0.019954495,0.86118793,Neu,0.09890304,reutersbiz
54,2018-04-05 15:02:05,Peugeot boss says CO2 fines will create Chinese 'Trojan Horse'  ,0,1,1,0,0,4,0.025433578,0.7976998,0.17686664,Neg,-0.7722662,reutersbiz
63,2018-04-05 14:23:00,Facebook says personal information of up to 87 million users may have been improperly shared with political consultancy Cambridge Analytica   by  $FB  ,1,1,1,4,8,11,0.010620215,0.90118206,0.088197716,Neg,-0.8905618,reutersbiz
79,2018-04-05 12:18:00,"U.S.-China trade war could hit German automakers, plus Tesla, Ford   by  Norihiko Shirouzu $TSLA $F $BMWG $DAIGn  ",0,0,1,0,12,10,0.028172797,0.7729133,0.1989139,Neg,-0.7447405,reutersbiz
107,2018-04-05 08:39:00,Escalating U.S.-China trade tensions could hit German automakers with exports from Tesla and Ford also vulnerable   by  Norihiko Shirouzu $TSLA $F $BMWG $DAIGn  ,0,1,1,0,7,9,0.016823452,0.95570934,0.027467176,Neg,-0.93888587,reutersbiz
111,2018-04-05 08:03:00,Asian shares bounce from two-month lows as investors hope a full-blown trade war between the world’s two biggest economies can be averted    ,1,1,1,2,5,6,0.092758834,0.8329416,0.07429962,Neg,-0.74018276,reutersbiz
116,2018-04-05 07:19:00,Facebook says personal information of up to 87 million users may have been improperly shared with political consultancy Cambridge Analytica   by  $FB  ,1,1,1,4,18,14,0.010620215,0.90118206,0.088197716,Neg,-0.8905618,reutersbiz
128,2018-04-05 04:55:02,Delta Air says breach at tech firm may have exposed some customer data  ,1,1,1,0,7,7,0.012497594,0.95895606,0.028546313,Neg,-0.94645846,reutersbiz
153,2018-04-04 22:40:01,U.S. must 'mitigate' trade damage on American farmers: senator    ,0,0,1,1,6,5,0.24865323,0.21392895,0.53741777,Neu,0.03472428,reutersbiz
157,2018-04-04 22:26:05,"U.S.-China trade war could hit German automakers, plus Tesla, Ford  ",0,0,1,1,7,10,0.01015761,0.95171314,0.038129255,Neg,-0.94155556,reutersbiz
168,2018-04-04 21:11:02,"Massachusetts can sue Equifax over data breach, judge rules  ",0,0,1,3,12,9,0.01699596,0.787567,0.19543698,Neg,-0.77057105,reutersbiz
