,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
6,2018-04-02 22:05:00,Your Crock-Pot can crack while cooking—here's what you should do if it happens    ,0,1,1,1,0,0,0.03186217,0.10839842,0.8597394,Neu,-0.07653625,usatodaymoney
11,2018-04-02 20:43:05,10 affordable storage bins that will make your home look like Pottery Barn    ,0,0,1,0,0,0,0.14973927,0.011148762,0.83911204,Neu,0.1385905,usatodaymoney
12,2018-04-02 20:28:00,"Iowa town asks: If you give them free land, will they come?    ",0,1,1,0,1,1,0.068396434,0.016881688,0.9147219,Neu,0.051514745,usatodaymoney
21,2018-04-02 18:12:05,"Here's when the Dow could hit 50,000, 100,000, or 1 million    ",0,1,1,1,0,0,0.028930934,0.042672534,0.9283966,Neu,-0.013741599,usatodaymoney
22,2018-04-02 17:56:05,High tech 'TruthBrush' will translate to better toothbrushes    ,0,0,1,0,0,0,0.53821206,0.008874603,0.45291334,Pos,0.52933747,usatodaymoney
28,2018-04-02 16:19:00,Here are the 5 best Amazon deals you can find right now    ,0,1,1,3,0,1,0.061506268,0.017270643,0.9212231,Neu,0.044235624,usatodaymoney
33,2018-04-02 14:56:05,This cheap hack will make your bed sheets feel Like a million bucks    ,0,1,1,0,0,1,0.09030663,0.013307392,0.896386,Neu,0.07699924,usatodaymoney
38,2018-04-02 13:19:00,Can Elon Musk avoid the fate of John DeLorean? Tesla CEO may need to 'rethink' strategy    ,0,1,1,0,4,7,0.029326925,0.24854934,0.72212374,Neu,-0.21922241,usatodaymoney
40,2018-04-02 12:47:05,Why Millennials should invest cash from tax refund in stocks    ,0,0,1,0,3,0,0.055944476,0.019267907,0.92478764,Neu,0.03667657,usatodaymoney
53,2018-04-01 14:59:00,"Social Security's future: Millennials can count on program, despite the worries    ",0,0,1,0,2,1,0.31938583,0.009557443,0.67105675,Neu,0.30982837,usatodaymoney
56,2018-04-01 14:07:04,Job search: The best way to answer “why should i hire you?”    ,0,0,1,2,3,6,0.046954546,0.165122,0.78792346,Neu,-0.11816746,usatodaymoney
59,2018-03-31 20:22:00,On the Money: Robots predict how you'll spend your credit card rewards points    ,0,1,1,1,1,2,0.07465953,0.015058888,0.9102816,Neu,0.059600636,usatodaymoney
64,2018-03-31 13:16:00,30% of younger Americans might blow their tax refunds this year    ,0,1,1,1,1,0,0.013243876,0.9525489,0.034207147,Neg,-0.93930507,usatodaymoney
65,2018-03-31 11:38:04,A Foolish Take: What goes down must come up for the market    ,0,1,1,1,1,4,0.05029923,0.034612834,0.9150879,Neu,0.015686397,usatodaymoney
71,2018-03-30 20:12:03,7 Chrome extensions that'll help you stay focused    ,1,0,1,0,1,2,0.4462162,0.009377666,0.5444061,Neu,0.43683854,usatodaymoney
73,2018-03-30 19:38:05,Here are 5 Amazon deals you can steal before Easter    ,0,1,1,0,1,1,0.037374448,0.027640147,0.93498546,Neu,0.009734301,usatodaymoney
76,2018-03-30 18:49:00,Credit card companies: You can soon skip signing receipts for most card purchases    ,0,1,1,1,2,6,0.02740366,0.23893422,0.73366207,Neu,-0.21153057,usatodaymoney
78,2018-03-30 18:16:00,Should 401(k) stock investors fear Dow's first quarterly loss since 2015?    ,0,1,1,0,1,3,0.009527621,0.94317514,0.047297243,Neg,-0.9336475,usatodaymoney
80,2018-03-30 17:44:00,What stores are open Easter Sunday? You may be surprised    ,0,1,1,0,0,1,0.027782023,0.05843655,0.91378134,Neu,-0.030654527,usatodaymoney
81,2018-03-30 17:29:00,"You could spend $97,000 on rent before you turn 30 — that’s way more than your parents did    ",1,1,1,1,2,4,0.06837219,0.024147004,0.9074808,Neu,0.044225186,usatodaymoney
82,2018-03-30 17:08:04,California coffee could come with a cancer warning    ,0,0,1,0,1,2,0.05447454,0.39534393,0.5501815,Neu,-0.3408694,usatodaymoney
83,2018-03-30 16:50:04,16 delicious recipes you can make with matzo    ,0,0,1,0,1,0,0.067525536,0.018656626,0.9138178,Neu,0.04886891,usatodaymoney
88,2018-03-30 15:27:04,Will putting tape on your laptop camera stop people from spying on you?    ,0,1,1,1,1,7,0.029752385,0.2787665,0.69148105,Neu,-0.24901412,usatodaymoney
90,2018-03-30 14:54:05,Can Apple help save the American shopping mall? Apple's retail chief thinks so    ,0,0,1,0,0,0,0.14441131,0.012327834,0.8432608,Neu,0.13208348,usatodaymoney
93,2018-03-30 13:33:03,Judge rules coffee in California must have cancer warnings    ,0,0,1,0,2,2,0.030040475,0.13095748,0.8390021,Neu,-0.10091701,usatodaymoney
95,2018-03-30 13:01:05,"New York Auto Show: Hyundai Kona, Jaguar I-Pace SUVs could change electric-vehicle game    ",0,0,1,0,0,1,0.057614807,0.020742586,0.92164266,Neu,0.036872223,usatodaymoney
98,2018-03-30 12:28:03,Getting more take-home pay? What you should do with your paycheck increase    ,0,1,1,2,5,4,0.04597462,0.04643023,0.90759516,Neu,-0.00045561045,usatodaymoney
101,2018-03-30 06:20:00,"Coffee must carry cancer warning label, California judge rules    ",0,1,1,2,5,7,0.030025665,0.04445204,0.92552227,Neu,-0.014426377,usatodaymoney
108,2018-03-30 00:02:00,Buyer beware! Some online products may be harmful to your health    ,0,0,1,0,1,1,0.016645635,0.77142376,0.21193057,Neg,-0.75477815,usatodaymoney
115,2018-03-29 21:15:01,"Self-driving cars could kill hundreds but save tens of thousands, Toyota executive says    ",0,1,1,0,0,1,0.059723854,0.14476986,0.79550624,Neu,-0.08504601,usatodaymoney
119,2018-03-29 20:07:00,"This hidden threat can devour more than $100,000 of your wealth    ",0,0,1,0,1,2,0.026221516,0.15396152,0.81981695,Neu,-0.12774001,usatodaymoney
137,2018-03-29 15:09:00,Volkswagen: We'll buy your diesel car back if it's banned by a German city    ,1,1,1,1,0,0,0.055446353,0.053245883,0.8913078,Neu,0.0022004694,usatodaymoney
139,2018-03-29 14:35:00,Setting 401(k) goals: How Millennials can fix retirement investment mistakes    ,0,1,1,0,3,4,0.09236462,0.012609804,0.8950256,Neu,0.079754815,usatodaymoney
142,2018-03-29 13:33:00,Why 401(k) investors might be more vulnerable to tech stock rout than they think    ,0,1,1,0,0,1,0.033002432,0.65506333,0.31193426,Neg,-0.6220609,usatodaymoney
146,2018-03-29 12:08:03,Ask a Fool: When will my dividend stocks actually pay me?    ,0,0,1,1,1,0,0.041344155,0.05901098,0.89964485,Neu,-0.017666824,usatodaymoney
157,2018-03-29 00:10:00,New York Auto Show: Hyundai's Kona EV will get Tesla-like electric range    ,0,0,1,0,1,0,0.29565138,0.012351608,0.69199705,Neu,0.28329977,usatodaymoney
167,2018-03-28 20:52:00,America can now literally run on Dunkin'    ,0,0,1,0,0,0,0.07894184,0.10445451,0.8166036,Neu,-0.025512673,usatodaymoney
176,2018-03-28 18:22:05,Lending a hand by co-signing on a loan can backfire on you and your credit score    ,0,1,1,1,2,3,0.013921147,0.8826039,0.10347501,Neg,-0.86868274,usatodaymoney
181,2018-03-28 16:57:05,This is the green you’re not eating—but definitely should be    ,0,1,1,0,2,2,0.10704635,0.018453415,0.8745003,Neu,0.08859293,usatodaymoney
197,2018-03-28 12:17:05,Setting 401(k) goals: How Millennials can fix retirement investment mistakes    ,0,1,1,0,2,4,0.09236462,0.012609804,0.8950256,Neu,0.079754815,usatodaymoney
204,2018-03-28 03:01:05,GM says South Korean arm may file for bankruptcy    ,0,1,1,0,1,0,0.015897099,0.85009444,0.13400847,Neg,-0.83419734,usatodaymoney
205,2018-03-28 02:44:05,"Could ""cheating"" have affected Brexit result?    ",1,1,1,0,1,1,0.0143699255,0.8455059,0.1401242,Neg,-0.831136,usatodaymoney
217,2018-03-27 21:25:03,10 apps that block social media so you can stay focused and be more productive    ,0,1,1,0,1,3,0.054310203,0.01984479,0.925845,Neu,0.03446541,usatodaymoney
225,2018-03-27 18:56:00,Why put it off? Reasons to retire as early as you can    ,0,0,1,0,0,2,0.024914969,0.08941244,0.88567257,Neu,-0.06449747,usatodaymoney
229,2018-03-27 17:50:00,7 signals from trade talks that could move your 401(k)    ,0,0,1,2,0,0,0.7263519,0.033301562,0.24034648,Pos,0.6930504,usatodaymoney
236,2018-03-27 15:57:00,Dunkin' Donut running shoes will make you the talk of the track meet    ,0,1,1,2,0,5,0.03848868,0.034158107,0.9273532,Neu,0.0043305717,usatodaymoney
247,2018-03-27 12:38:05,"Ask HR: Tell the truth about dating at work. Also, can employers set smartphone rules?    ",0,1,1,0,1,3,0.02711962,0.052459292,0.92042106,Neu,-0.025339672,usatodaymoney
