,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
4,2018-03-23 19:31:01, This looks terrific.  Will try one this weekend.,0,1,1,0,0,1,0.1020499,0.014619556,0.88333046,Neu,0.08743034,fundylongshort
11,2018-02-25 21:59:01," Three, but mine are pretty young.  It should be awhile before we need that many...",0,1,1,1,0,0,0.06588407,0.03840711,0.89570886,Neu,0.027476959,fundylongshort
13,2018-02-22 21:42:04," Remember one of the junior analysts at the i-bank I used to work for referring to his bed as ""the workbench"".  Guy also wanted to know if he could keep his bass boat in the parking garage.",1,1,1,0,0,0,0.03260392,0.044968326,0.9224278,Neu,-0.012364406,fundylongshort
39,2017-11-17 14:34:03," As a Vanderbilt fan, I'm praying y'all hire Gruden.  He would not be a successful college coach.",0,1,1,2,0,0,0.062215906,0.09481723,0.8429669,Neu,-0.032601323,fundylongshort
42,2017-11-14 16:43:00,  Can y'all not read? That's a recycled version of an August letter from before the primary and prior to these allegations hit. No reason to think all those people would maintain endorsement.,0,1,1,0,0,0,0.045905843,0.09763147,0.85646266,Neu,-0.051725626,fundylongshort
48,2017-10-25 13:57:03, No question about it.  Yankees/Dodgers would have been insufferable.,1,0,1,0,0,0,0.025140587,0.57738054,0.39747882,Neg,-0.55223995,fundylongshort
51,2017-10-18 21:53:03, I can imagine.  Love the hell out of it.,0,0,1,0,0,1,0.13611189,0.012281497,0.8516066,Neu,0.123830386,fundylongshort
54,2017-10-13 18:28:03,  This will only continue as people see the light and migrate to the South.,0,1,1,0,0,1,0.15423086,0.036471285,0.80929786,Neu,0.11775958,fundylongshort
60,2017-09-13 23:23:02,   What time will you go on?,0,0,1,1,0,0,0.020755451,0.065362126,0.91388243,Neu,-0.044606674,fundylongshort
79,2017-07-21 19:22:03,  Weddings should be inside churches with AC.,0,0,1,1,0,0,0.028128278,0.040539972,0.9313318,Neu,-0.012411695,fundylongshort
86,2017-07-04 03:17:04, The trees of the field will clap their hands…,0,0,1,0,0,1,0.052222848,0.02759859,0.92017853,Neu,0.024624258,fundylongshort
93,2017-06-15 23:37:04,  Will check those out. Have never had any Tod’s.,1,1,1,0,0,0,0.04115171,0.03886846,0.9199798,Neu,0.002283249,fundylongshort
111,2017-05-23 17:07:00," I don't know because I hate non-iron fabric, but I would imagine some makers offer it.",0,1,1,1,0,0,0.04532917,0.045569915,0.90910095,Neu,-0.00024074689,fundylongshort
112,2017-05-23 16:58:00," You should just do custom. Get exact fit you want and still reasonable price, though maybe not as cheap as BB's 3-for-whatever pricing.",0,1,1,1,0,0,0.16209579,0.013260456,0.8246438,Neu,0.14883533,fundylongshort
114,2017-05-23 16:46:01,"  Looking back at the returns of great companies/stocks, how many times would you have sold at “fair” valuations? Then you have to get back in",1,1,1,1,0,1,0.054086428,0.037386943,0.9085266,Neu,0.016699485,fundylongshort
132,2017-05-01 21:46:04,What are some of the best questions you've gotten from allocators and/or what are some of your favorite questions you'd ask a manager?,1,1,1,1,0,2,0.03422075,0.042769387,0.9230099,Neu,-0.008548636,fundylongshort
135,2017-04-26 21:50:05," No idea. First thought maybe he's in an SMA and had seen something more recent, but he said they'd been in it a long time...weird.",1,1,1,0,0,0,0.06082025,0.12690598,0.8122738,Neu,-0.066085726,fundylongshort
146,2017-04-01 01:50:04, Just hoping you’re drunk and forget that you already own it. Can’t blame them for trying.,0,1,1,0,0,1,0.049034372,0.20078482,0.7501808,Neu,-0.15175045,fundylongshort
152,2017-03-22 00:12:03, I can’t do “math”,0,0,1,1,0,0,0.035908636,0.43917277,0.52491856,Neu,-0.40326414,fundylongshort
208,2017-01-14 02:24:04, That's good enough for me. I'd join you. Cheers.,0,1,1,0,0,0,0.42370337,0.01630514,0.55999154,Neu,0.40739822,fundylongshort
