,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
43,2018-03-27 14:28:00,Hemp proponents say legalization would brings jobs   via ,0,1,1,0,1,1,0.10284368,0.8502503,0.046906002,Neg,-0.7474066,super_trades
45,2018-03-27 14:04:01,Hemp bill $AOI should rip as only listed US hemp play and aiming to be US leader with more acquisitions  ,1,1,1,0,2,9,0.78301597,0.008028182,0.20895588,Pos,0.77498776,super_trades
54,2018-03-27 00:47:05,Hemp bill $AOI should rip as only listed US hemp play and aiming to be US leader with more acquisitions  ,1,1,1,2,5,12,0.78301597,0.008028182,0.20895588,Pos,0.77498776,super_trades
56,2018-03-26 18:05:05,Hemp McConnell’s office emails to say the bill will not only change hemp’s status under the law but will also set aside federal grant money for hemp farmers.,0,1,1,0,1,6,0.16063565,0.019435173,0.8199291,Neu,0.14120048,super_trades
58,2018-03-26 17:18:01,If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,0,2,2,0.10964386,0.016061286,0.8742948,Neu,0.09358258,super_trades
73,2018-03-25 17:27:00,Cannabis drug may help cocaine addicts overcome their cravings   via ,0,1,1,2,3,8,0.6045492,0.012095813,0.38335496,Pos,0.5924534,super_trades
79,2018-03-24 15:43:00,$ATOM thesis DD:   If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,0,3,4,0.14011502,0.011804218,0.8480808,Neu,0.1283108,super_trades
86,2018-03-23 14:56:01,$ATOM been holding strong this area.  DD from $5's  -&gt;   If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,1,1,1,0,2,7,0.9403643,0.020142645,0.03949307,Pos,0.9202217,super_trades
144,2018-03-15 17:04:03,added $AOI dip today  …started buying $19’s… 2m float getting cornered and will be global weed / hemp play beyond just Canada,1,1,1,4,4,14,0.5889308,0.013279425,0.39778984,Pos,0.57565135,super_trades
145,2018-03-15 16:39:01,$AOI from YMB -&gt; Pestando 3 hours ago a market cap of $5b would put this at $555/share.,0,0,1,1,2,3,0.15624662,0.018946055,0.82480735,Neu,0.13730057,super_trades
179,2018-03-14 12:14:03,Big run coming?  If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,1,1,0,2,2,0.17855944,0.016343351,0.8050972,Neu,0.16221608,super_trades
186,2018-03-13 17:37:05,$ATOM super runner  customer installed in their own fab under evaluation license……one license and this could be next $RMBS $WATT imo,1,0,1,0,2,6,0.06550197,0.011816513,0.9226815,Neu,0.05368546,super_trades
192,2018-03-13 14:09:05,"Low float  WEED MJ Compared with comps, $AOI  would have share price range of $213-457 per share    $TWMJF $WEED $CRON Cannabis",0,0,1,1,3,9,0.038359467,0.017347537,0.944293,Neu,0.02101193,super_trades
193,2018-03-13 14:06:03,If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,0,3,3,0.10964386,0.016061286,0.8742948,Neu,0.09358258,super_trades
200,2018-03-12 23:43:04, They should announce my guess near last week of March ...I have reduced my position greatly for now,1,1,1,1,0,1,0.01416203,0.9591693,0.02666865,Neg,-0.9450073,super_trades
205,2018-03-12 14:55:03,$AOI 2m float will be major global weed and hemp player.  $100  is only 900m cap.   CA weeds trade $2-$4B,0,1,1,2,4,9,0.09279301,0.009491338,0.8977157,Neu,0.08330167,super_trades
209,2018-03-12 14:29:01,"Low float  WEED MJ Compared with comps, $AOI  would have share price range of $213-457 per share    $TWMJF $WEED $CRON Cannabis",0,0,1,0,2,1,0.038359467,0.017347537,0.944293,Neu,0.02101193,super_trades
217,2018-03-11 23:14:05,"Weed stocks should have huge week $AOI   Jeff Sessions says prosecutors won't pursue ""small marijuana cases""  ",0,1,1,2,11,24,0.11140338,0.31763822,0.5709584,Neu,-0.20623484,super_trades
223,2018-03-10 21:30:03,If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,1,1,1,0.10964386,0.016061286,0.8742948,Neu,0.09358258,super_trades
224,2018-03-10 21:30:00,"Low float  WEED MJ Compared with comps, $AOI  would have share price range of $213-457 per share    $TWMJF $WEED $CRON Cannabis",0,0,1,1,3,6,0.038359467,0.017347537,0.944293,Neu,0.02101193,super_trades
231,2018-03-09 15:13:01,$RESN ran to near $20 in anticipation years back......If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,1,1,1,1,2,4,0.41246694,0.01668426,0.57084876,Neu,0.39578268,super_trades
236,2018-03-09 13:11:04,"$AOI  GAPPER Compared with comps, $AOI  would have share price range of $213-457 per share   Low float  WEED MJ    $TWMJF $WEED $CRON Cannabis",0,0,1,1,5,18,0.041430447,0.02192915,0.93664044,Neu,0.019501297,super_trades
248,2018-03-08 18:02:05,"Low float  WEED MJ Compared with comps, $AOI  would have share price range of $213-457 per share    $TWMJF $WEED $CRON Cannabis",0,0,1,0,1,1,0.038359467,0.017347537,0.944293,Neu,0.02101193,super_trades
252,2018-03-08 16:04:04,$AOI compared to other WEED MJ  stocks would have share price range of $213-457    $CRON $WEED $TWMJF,1,0,1,0,2,8,0.044141818,0.019802766,0.9360555,Neu,0.024339052,super_trades
265,2018-03-07 16:43:02,"This article all about what $ATOM tech can solve  $INTC and semis need -&gt;  Intel Needs New Strategies, ASAP | EE Times   via ",0,0,1,0,3,4,0.15729924,0.009538056,0.8331627,Neu,0.14776118,super_trades
280,2018-03-06 16:05:03,"$AOI has $LFIN type move potential imo _&gt; Compared with comps, $AOI  would have share price range of $213-457 per share    $TWMJF $WEED $CRON Cannabis",1,1,1,1,1,1,0.052027177,0.01636259,0.9316102,Neu,0.03566459,super_trades
283,2018-03-06 13:47:03,If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,0,1,7,0.10964386,0.016061286,0.8742948,Neu,0.09358258,super_trades
284,2018-03-06 13:26:05,"Low float  WEED MJ Compared with comps, $AOI  would have share price range of $213-457 per share    $TWMJF $WEED $CRON Cannabis",0,0,1,0,5,6,0.038359467,0.017347537,0.944293,Neu,0.02101193,super_trades
294,2018-03-05 18:02:03,$AOI HOD  2m float  new global cannabis co.  …..would be triple digits if comped out to other weed co’s.,1,1,1,0,2,5,0.15809639,0.009596678,0.832307,Neu,0.14849971,super_trades
295,2018-03-05 16:05:01,$CRON HOD new listed weed $AOI Compared to comps $AOI would have share price range of $213 to $457 dollars per share.   ,1,0,1,0,1,4,0.054783054,0.016304225,0.92891276,Neu,0.03847883,super_trades
303,2018-03-04 21:03:03,If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,0,2,11,0.10964386,0.016061286,0.8742948,Neu,0.09358258,super_trades
311,2018-03-02 19:57:02,  Agree exactly and $AOI hinted they will expand internationally / buy more,1,0,1,0,1,3,0.78493977,0.0073839347,0.20767629,Pos,0.7775558,super_trades
322,2018-03-01 14:16:03,$GSUM AI: $16 trillion GDP boost will mainly benefit China – PwC | Internet of Business   via ,0,0,1,0,2,7,0.79966277,0.006972983,0.19336426,Pos,0.7926898,super_trades
331,2018-02-28 15:21:05,$GSUM  would have a share price of $38-70 if it traded at the price to sales multiple of Veritone or Alteryx.   ,1,0,1,1,2,5,0.02551625,0.022629855,0.9518539,Neu,0.002886394,super_trades
359,2018-02-26 17:12:05,"$ATOM added this to website…..""The future of semiconductors will be dominated by More-than-Moore architectural and material innovations. Atomera has created a new material called MST® which delivers those advancements today.""  ",1,1,1,0,6,10,0.2752197,0.0079842005,0.7167961,Neu,0.26723552,super_trades
374,2018-02-24 20:34:02,  Just started intermittent fasting with Keto should have done IF long ago,1,1,1,0,0,1,0.097750686,0.02098663,0.88126266,Neu,0.076764055,super_trades
384,2018-02-23 14:46:02,Next $WATT $RMBS?  Friday big runner potential ......If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,0,1,0,0.6095837,0.014601704,0.3758146,Pos,0.59498197,super_trades
394,2018-02-22 18:08:05,$ATOM would board member who owns 380k  buy 25k more at $5.5 if he didnt think license very possible ?  If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,1,1,0,3,8,0.056168202,0.015250716,0.92858106,Neu,0.040917486,super_trades
396,2018-02-22 15:26:00,$ATOM HOD next potential $RMBS $WATT director 25k buy....If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,1,3,5,0.45746866,0.012583504,0.5299478,Neu,0.44488516,super_trades
413,2018-02-20 19:39:04,I’ve been saying this all along core $FB biz has peaked and on decline .  You can notice so many fewer people use it  ,1,1,1,0,2,1,0.0109130945,0.9638275,0.025259482,Neg,-0.9529144,super_trades
434,2018-02-19 18:43:00,$GSUM  would have a share price of $38-70 if it traded at the price to sales multiple of Veritone or Alteryx. It closed yesterday at $12.28. ,1,0,1,2,4,14,0.025327718,0.030154685,0.94451755,Neu,-0.0048269667,super_trades
435,2018-02-19 18:37:04,A solution to Moore's Law For Semiconductors -&gt; If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,0,4,1,0.17870466,0.018005852,0.80328953,Neu,0.16069882,super_trades
453,2018-02-16 14:19:03,If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,0,2,8,0.10964386,0.016061286,0.8742948,Neu,0.09358258,super_trades
461,2018-02-15 20:36:00,$ATOM could be another $RMBS $WATT addressing $4B market.  If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,1,1,1,3,7,0.1676222,0.014256441,0.8181213,Neu,0.15336575,super_trades
473,2018-02-15 01:55:03,If $ATOM (Atomera Inc.) Signs One Customer They Would Have Well Over $1.50 EPS Run Rate  ,0,0,1,0,4,8,0.10964386,0.016061286,0.8742948,Neu,0.09358258,super_trades
476,2018-02-14 20:50:05,$GSUM in coming days will re-test and conquer the battle of $14  GameOfTHrones,0,0,1,1,5,18,0.21284758,0.01461622,0.77253616,Neu,0.19823135,super_trades
491,2018-02-14 15:09:04,$GSUM  Marketing in China: Can Machine Learning Solve the ROI Problem? - eMarketer   via ,0,0,1,0,1,5,0.14979568,0.011209509,0.8389948,Neu,0.13858618,super_trades
495,2018-02-14 13:28:00,"$GSUM The marketing campaign will employ virtual reality (""VR"") and augmented reality (""AR"") technologies to create an immersive 360-degree advertising experience for users across multiple marketing channels including Baidu apps, Baidu Tieba, Weibo and WeChat.",1,1,1,0,5,11,0.17190972,0.007969833,0.8201204,Neu,0.1639399,super_trades
503,2018-02-13 22:35:03,$ATOM CEO on CC even a small customer license would make company profitable.  Working with 50% of the majors and some small ones.,0,1,1,0,3,4,0.23568901,0.0076539735,0.756657,Neu,0.22803505,super_trades
560,2018-02-08 22:43:02,Stock tip: Rebounds are brisk; missing out could cost you via the  App  ,0,1,1,0,1,4,0.027038336,0.8945311,0.078430705,Neg,-0.86749274,super_trades
561,2018-02-08 20:31:00,"Markets(with all the red): can’t see have to open my eyes, cut me Mick  ",0,1,1,0,5,19,0.034053367,0.50758535,0.45836133,Neg,-0.473532,super_trades
563,2018-02-08 19:58:02, Yes but have your own trade plan what I do should not guide you,0,1,1,0,0,0,0.04271033,0.03069759,0.9265921,Neu,0.012012741,super_trades
573,2018-02-07 15:56:05,$ATOM trying to be next $RMBS … If $ATOM (Atomera Inc.) Signs One Customer They Would Have Over $2 EPS    ,0,1,1,0,1,2,0.08967523,0.013470599,0.89685416,Neu,0.076204635,super_trades
576,2018-02-07 15:41:02,$GSUM undervalued tech star of China early innings.   3x sales…… 10x sales like comps would get $50+,1,0,1,0,3,7,0.8362855,0.038081244,0.12563333,Pos,0.79820424,super_trades
578,2018-02-07 15:20:04,$GSUM GSUM would have a share price of $38-70 if it traded at the price to sales multiple of Veritone or Alteryx.   ,1,0,1,0,2,5,0.024607835,0.024371982,0.95102024,Neu,0.00023585372,super_trades
579,2018-02-07 15:17:05,If $ATOM (Atomera Inc.) Signs One Customer They Would Have Over $2 EPS  ,0,0,1,0,2,3,0.10976489,0.01226001,0.8779751,Neu,0.09750488,super_trades
585,2018-02-07 13:58:03,$ATOM New SA article --&gt; If $ATOM (Atomera Inc.) Signs One Customer They Would Have Over $2 EPS  ,0,0,1,0,1,1,0.21928628,0.009393994,0.77131975,Neu,0.20989229,super_trades
587,2018-02-07 13:05:03,$ATOM New SA article -&gt;  If $ATOM (Atomera Inc.) Signs One Customer They Would Have Over $2 EPS  ,0,0,1,1,2,3,0.2511939,0.009564112,0.739242,Neu,0.2416298,super_trades
613,2018-02-05 15:09:01,$GSUM THEME IIOT AI  China will unveil a three-year plan to boost the development of the industrial internet.  ,0,0,1,0,2,6,0.7928791,0.007393688,0.19972713,Pos,0.7854854,super_trades
663,2018-01-31 20:43:03,if $ATOM had same  value of $RESN it would be $7.50    if it had value of $WATT it would be $31 ... and $ATOM probably closer to deal then both of them... one deal makes $ATOM profitable and 6 companies in final decision process,1,1,1,0,1,3,0.19344282,0.012745703,0.7938115,Neu,0.18069711,super_trades
666,2018-01-31 18:26:00,$GSUM valuation wise should be resting in the $20’s imo   ,0,1,1,0,2,7,0.12161262,0.02786976,0.85051763,Neu,0.09374286,super_trades
667,2018-01-31 18:16:03,Have your own trade plans and make your own decisions.  If you are trading stocks off of tweets you should not be trading with real money,0,1,1,3,4,32,0.024600547,0.07505046,0.90034896,Neu,-0.05044991,super_trades
680,2018-01-31 13:45:01,$GSUM would have a share price of $38-70 if it traded at the price to sales multiple of $VERI  or $AYX.  ,1,0,1,0,2,10,0.02347606,0.033852097,0.9426719,Neu,-0.010376036,super_trades
690,2018-01-30 21:06:03,$ATOM could be big swing this week  Atomera Continues to Grow Customer Pipeline  ,0,0,1,0,2,3,0.825765,0.01029083,0.16394417,Pos,0.8154742,super_trades
694,2018-01-30 18:13:03,‘Without this bitcoin price would collapse’   via ,0,0,1,1,4,1,0.06815667,0.5530698,0.37877354,Neg,-0.4849131,super_trades
696,2018-01-30 16:19:01, i agree huge news with $NVDA this could make $CASA type move imo,0,1,1,0,0,1,0.14060585,0.29006258,0.5693315,Neu,-0.14945672,super_trades
702,2018-01-30 14:14:01,$YTRA  nice beat and growth.  Should rebound and be another good swing in 2018 like it was 2017.,1,0,1,0,3,3,0.9468116,0.020381207,0.032807205,Pos,0.9264304,super_trades
703,2018-01-30 13:58:01,$GSUM would have a share price of $38-70 if it traded at the price to sales multiple of $AYX or $VERI.    ,1,0,1,1,8,13,0.02363534,0.032726437,0.94363827,Neu,-0.009091096,super_trades
709,2018-01-30 02:34:03, could be big momentum mover now on today’s news……undiscovered recent IPO,1,0,1,2,0,1,0.63518554,0.025127543,0.339687,Pos,0.610058,super_trades
715,2018-01-29 18:48:03,"$GSUM red to green,,,,when compared to comps $GSUM would be $38-$70 stock   ",1,0,1,1,6,23,0.03262347,0.034852147,0.9325244,Neu,-0.0022286773,super_trades
733,2018-01-26 16:27:05,"Chinese tech major bull market … $GSUM only undiscovered AI BigData trading 3X sales while $AYX trades 12 , and $VER trades 22X.   Chinese tech funds will  find this soon  imo",1,1,1,2,5,13,0.110824704,0.01604345,0.8731318,Neu,0.09478125,super_trades
750,2018-01-25 15:31:00,If $GSUM had price to sales of $AYX or $VERI it would be $38-$70,1,0,1,1,6,15,0.025604324,0.051621445,0.9227742,Neu,-0.02601712,super_trades
811,2018-01-19 23:59:04,"🧐 US stocks will likely run higher for another 11 years, Wall Street's Tom Lee says  ",0,1,1,2,12,15,0.88944507,0.08389024,0.026664646,Pos,0.8055548,super_trades
817,2018-01-19 14:55:05,$GSUM  should be $30-$50’s  compared to $VERI $MARK,1,0,1,2,4,25,0.25025123,0.0944873,0.6552615,Neu,0.15576392,super_trades
866,2018-01-13 19:20:00,$GSUM enterprise AI leader in China purest USA comp $VERI which has 13m ttm revs and cap 375m = 29x ttm sales market cap.  $GSUM would be $92 share price at that valuation just for comparison purposes,0,1,1,0,5,27,0.07246465,0.012070067,0.9154653,Neu,0.060394585,super_trades
876,2018-01-12 04:54:02, And $TRIL can’t get a partner because Nic is the worst CEO ever ??,0,1,1,1,0,2,0.021242423,0.60655373,0.37220386,Neg,-0.5853113,super_trades
893,2018-01-11 00:45:04,   They could be about to get some big respect imo !,0,0,1,0,0,2,0.30944717,0.021626117,0.66892666,Neu,0.28782105,super_trades
919,2018-01-09 16:49:05,If $GSUM is working with Tencent with IIOT and using their AI seems logical they will eventually work on Blockchain with them imo China Pioneer,0,1,1,1,7,20,0.17711253,0.007390182,0.8154973,Neu,0.16972235,super_trades
930,2018-01-08 17:08:00,$GSUM steady buyer all day ...may go green.....someone starting to accumulate for massive run imo  thinking $VERI and $LFIN type of run imo,0,1,1,0,4,10,0.050389502,0.31822124,0.6313892,Neu,-0.26783174,super_trades
934,2018-01-08 16:10:02,$MARK super strong China AI ….. best of breed China AI $GSUM yet to make any kind of move will be massive swing soon imo should be $30-$50+,0,0,1,1,7,11,0.129136,0.017276896,0.85358703,Neu,0.1118591,super_trades
951,2018-01-04 17:15:00,"With the crap stocks with crazy vacations and no substance, imo $GSUM should be $50+ on substance 50% rev growth , 80% margins, profitable this Q. Pioneer and pure play in China BigData AI BLOCKCHAIN CRM IIOT",0,0,1,2,10,22,0.7115982,0.008695313,0.27970648,Pos,0.7029029,super_trades
959,2018-01-04 04:08:04,$RENN an example of how a stock can be dead and double from $9 in two days .,0,0,1,0,1,3,0.043454655,0.34740612,0.6091392,Neu,-0.30395147,super_trades
985,2018-01-01 05:10:04, Welcome and agree can’t wait !!,0,1,1,0,0,0,0.1385559,0.03150412,0.82993996,Neu,0.107051775,super_trades
1030,2017-12-26 21:36:02,$MYO $RIOT $MARK nailed so many monster swings this year !!!  Can’t wait for 2018!!!,1,0,1,2,1,16,0.06733097,0.21837093,0.71429807,Neu,-0.15103996,super_trades
1036,2017-12-26 17:23:05,"$GSUM this has had tax sellers that were down from IPO at $13 ....should be new stock soon imo...pioneer in AI BigData IOT China trades 2x sales comps trade 10x+ , profitable this Q. Everyone has own style and have own trade plan.  I’ve been adding.",1,1,1,2,3,24,0.072430246,0.050863378,0.87670636,Neu,0.021566868,super_trades
1047,2017-12-25 18:16:01,"A cryptocurrency exchange files for bankruptcy after hack, says users will get 75% of assets for now  ",0,1,1,1,3,0,0.084711544,0.01484152,0.90044695,Neu,0.069870025,super_trades
1077,2017-12-21 16:56:04,$GSUM should be $50-$100 in this market environment imo …only real AI Big Data BlockChain IOT company first mover in China …50% rev growth and 80% margins…trades 2X sales compared to 8-10X+ competitors,1,0,1,4,10,31,0.73456335,0.019361533,0.24607508,Pos,0.7152018,super_trades
1081,2017-12-21 15:41:00," $GSUM 50% rev growth 80% margins , will be profitable going forward. AI BlockChain Big Data IIOT  first mover in China , trades 2X sales everything else like them 8-10X   ",0,1,1,0,0,1,0.20491126,0.008476475,0.7866123,Neu,0.19643478,super_trades
1098,2017-12-20 13:51:05,"$GSUM first mover Blockchain AI Big Data in China.  This the real deal.  80% margins , 50% rev growth …should be $50-$100 in this environment only one with big revs and real customers",0,0,1,0,6,12,0.21413252,0.009861802,0.7760057,Neu,0.20427072,super_trades
1202,2017-12-11 19:24:05,China Focus: China must accelerate implementation of big data strategy: Xi - Xinhua |   ,0,0,1,0,1,1,0.7425978,0.010694397,0.24670781,Pos,0.73190343,super_trades
1203,2017-12-11 18:34:02,  once done will lift quickly this is the best story in the market bar none that has not had any kind of run and is severely undervalued imo,1,1,1,1,0,1,0.7519923,0.022933118,0.22507459,Pos,0.72905916,super_trades
1204,2017-12-11 18:07:01,$GSUM when tax seller done will be momentum stock for ages imo…..leader in AI Big Data and more China   ,1,1,1,1,8,19,0.1821247,0.00879591,0.8090794,Neu,0.17332879,super_trades
1220,2017-12-10 17:29:01,$GSUM $30-$50+ stock imo.....China Focus: China must accelerate implementation of big data strategy: Xi - Xinhua |   ,0,0,1,1,2,17,0.4942947,0.01279125,0.4929141,Pos,0.48150346,super_trades
1230,2017-12-08 20:55:03, $GSUM This is tax loss selling IPO funds down from 13 some had to take off books .when done will relief bounce 10-12 and news rocket to 20’s imo,1,1,1,2,0,6,0.013150087,0.94731885,0.039531082,Neg,-0.93416876,super_trades
1248,2017-12-06 23:04:05,What do you think will be the top themes of 2018 ???,0,1,1,8,1,4,0.051739696,0.033725653,0.9145346,Neu,0.018014044,super_trades
1254,2017-12-06 19:11:02,$GSUM the monster momentum stock of December? like $RIOT $XNET movers in November ...except $GSUM a Legit company and could be valued way higher than the November runners imo ..,1,1,1,2,6,17,0.2640589,0.013115003,0.7228261,Neu,0.2509439,super_trades
1263,2017-12-06 14:52:00,$GSUM December holiday momentum play soon imo. should be $30+ when comped to competitors. Cant find sexy tech growth trading only 2X sales like this.  ,1,1,1,0,4,13,0.11755856,0.019421514,0.86301994,Neu,0.09813705,super_trades
1318,2017-11-30 14:08:00,$GSUM being approached on IIOT because they dont want foreign companies to have their data!  This could lead to monopoly over China IIOT data and other digital data.,1,1,1,0,2,4,0.012748418,0.8963925,0.09085908,Neg,-0.8836441,super_trades
1337,2017-11-29 19:37:05,"Everyone was PM’ing me on FB today asking if they should buy bitcoin, should have known correction coming…….",1,1,1,2,1,9,0.09136148,0.039624672,0.86901385,Neu,0.051736806,super_trades
1342,2017-11-29 14:33:05,$GSUM will swing this to $20’s as they  Invested more in R&D this Q for Billion$ IIOT sector with their AI. Profitable next Q. 58% Rev growth 83% margins . leader in Big Data / AI in China. Im a swing trader.  I was long MARK from the 2's it hit 9’s…...,1,0,1,0,1,1,0.86907893,0.019684637,0.11123645,Pos,0.8493943,super_trades
