,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
14,2018-03-23 14:56:02,"DROPBOX now set to open 33% higher than IPO, confirming strong demand for 1st big US stock offer in 2018. IPO was oversubscribed several times; encouraging given nasty stock mkt backdrop. Trading could start anytime from now. Nasdaq flat, but up. $DBX ^KO",1,1,1,0,0,2,0.91745937,0.052389946,0.030150706,Pos,0.86506945,thesquaremile
16,2018-03-23 12:21:00,"DROPBOX: some uncertainty $DBX shares will rise in today's public debut given futures in chosen exchange, Nasdaq, trade a touch down, though well off earlier lows ^KO",1,1,1,0,0,0,0.25049183,0.67771196,0.07179619,Neg,-0.42722014,thesquaremile
17,2018-03-23 12:17:04,"Looks like Dropbox will tough it out and go ahead with debut today, despite stock market mayhem. Passed pt of no return with Thu's oversubscribed pricing at $21, above expected $18-$20 range, for c. $9.18bn valuation. $DBX  ^KO",1,0,1,0,0,0,0.5656503,0.021150902,0.4131989,Pos,0.5444994,thesquaremile
18,2018-03-23 09:12:00,"ADMIN NOTE:  news Feed will be offline for a while.  has prohibited use of RSS effective today. There are alternatives, but I need to set them up. Stand by",1,1,1,0,0,1,0.029137624,0.11886011,0.85200226,Neu,-0.089722484,thesquaremile
19,2018-03-22 16:10:04,"Whilst risk-off move can obviously be linked to trade war fears -  set to announce China tariffs within 20 mins - apart from BOEING and $CAT, big fallers quite detached from the issue. $GOOG $MSFT $AMZN AbbVie ^KO",1,0,1,0,0,0,0.03165683,0.3283421,0.640001,Neu,-0.29668528,thesquaremile
21,2018-03-22 15:47:00,"Dow futures: big bounces since mid-Feb around current levels. Makes sense to assume lots of stops nearby. Whether support works or not, volatility could now rise further ^KO  ",0,0,1,0,0,0,0.42422542,0.09312806,0.48264652,Neu,0.33109736,thesquaremile
28,2018-03-22 11:52:02,STOCK MARKETS: quite a sea of red halfway through Europe's session. Less to do with ambiguous Fed signals last night and more about Tariffs  will announce today - incl. up to $60bn vs. China....which says it will retaliate. Tradewar? ^KO,0,1,1,0,0,0,0.1107622,0.037398454,0.85183936,Neu,0.07336375,thesquaremile
29,2018-03-22 11:41:04,"  It could be argued $IBM paid a high price for such actions, deservedly so.  ",1,0,1,0,0,0,0.5296493,0.10272032,0.3676303,Pos,0.426929,thesquaremile
38,2018-03-22 00:03:05,"FTAlphaville - Fed macro live, 21st March, 2018  ",0,0,1,0,0,0,0.025264122,0.035396237,0.93933964,Neu,-0.010132115,thesquaremile
41,2018-03-21 19:25:04,"U.S. stocks shake off press conference caution and tack on gains (again). Powell was measured but said enough to reassure markets his FOMC will be just as steady, careful as the last - plus - no shocks ahead so far. USD $SPX $DJ ^KO",1,1,1,0,0,0,0.84120315,0.07818566,0.080611154,Pos,0.7630175,thesquaremile
42,2018-03-21 19:12:01,"Fed - Powell - ""surprised"" at lack of wage growth. Takeaway could be that he would ordinarily expect wage growth to be better. Indirectly, that has to be somewhat dovish. ^KO",0,1,1,0,0,0,0.12986238,0.48937342,0.38076425,Neg,-0.35951102,thesquaremile
47,2018-03-21 18:40:04,"Fed Powell - ""we're trying to take the middle ground"". Lack of radicalism confirmed. Stocks should like that , though for whatever reason U.S. indices are giving back a big chunk of day's gains. $DJ $SPX ^KO",1,1,1,0,0,0,0.25257427,0.28082117,0.4666046,Neu,-0.02824691,thesquaremile
49,2018-03-21 18:36:04,"Fed - Powell - interesting assessment of near term inflation outlook: ""may be above or below 2% at times"". In other words, a flexible attitude; so long as CPI is nr to target rate path unlikely to steepen unexpectedly  ^KO",0,1,1,0,0,0,0.34390637,0.08218016,0.57391346,Neu,0.2617262,thesquaremile
52,2018-03-21 18:28:02,Fed: It appears new Fed chair Jerome Powell has entered the venue where the post policy press conference will be held so it's likely to get underway soon. ^KO,1,1,1,0,0,0,0.08635631,0.026202178,0.88744146,Neu,0.060154133,thesquaremile
60,2018-03-21 17:46:00,"Coming up in 15 mins - Fed interest rate decision. Lack of 25 basis point hike would be akin to letting off a stink bomb in markets, though that won't happen. All eyes on the 'dot plot' Fed funds rate forecasts & policy statement ^KO",0,1,1,0,0,0,0.03650068,0.048368786,0.9151305,Neu,-0.011868104,thesquaremile
63,2018-03-21 14:53:03,"GOLD leads commodity complex higher lifting gold mining shrs and giving base metals producers a chance too. Oil also firm after bouncing off lower end of recent range, eyes $70 again, though probably won't get there. $BP, Shell, Exxon higher ^KO",0,1,1,0,0,1,0.9195454,0.036284037,0.044170644,Pos,0.8832614,thesquaremile
