,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
9,2018-03-23 19:52:00, Yeah just trying to highlight things others might find relevant/interesting. Let me know if there’s other things worth drawing attention to.,0,1,1,1,0,0,0.043053363,0.034887586,0.922059,Neu,0.008165777,marketfolly
13,2018-03-16 16:33:02,"Aggregated some interesting hedge fund links you might’ve missed on DE Shaw, Tudor, Coatue, Viking & more  ",1,0,1,0,2,7,0.08592533,0.013891854,0.9001828,Neu,0.07203348,marketfolly
27,2018-02-28 20:02:04,"If you/someone you know launched a l/s fund in recent years, what fee structure was chosen? Would love to aggregate some data. DMs also open",1,1,1,4,0,2,0.03729786,0.014300813,0.94840133,Neu,0.022997048,marketfolly
43,2018-01-26 17:59:01,"Catching up on some hedge fund links you may have missed. Big names like Cohen, Klarman, Man Group, OZ, etc  ",1,1,1,0,2,5,0.08317154,0.02472844,0.8921,Neu,0.0584431,marketfolly
84,2017-10-06 17:44:04," Chicken/egg problem. Just convince enough people to try out one platform and then if everyone likes it, others will migrate.",0,1,1,0,0,0,0.10497111,0.02428139,0.8707475,Neu,0.08068972,marketfolly
116,2017-08-30 21:00:04, What about newly delivered homes? New builds typically come w/ 1yr warranty that could lead to additional exposure?,1,1,1,1,0,0,0.03318181,0.44473135,0.52208686,Neu,-0.41154954,marketfolly
119,2017-08-29 03:36:01," Would make sense, but letter made it sound like they owned through spin-off process.",1,1,1,0,0,0,0.029106732,0.04917525,0.921718,Neu,-0.020068519,marketfolly
152,2017-07-19 21:25:04,Can’t wait for the day when  and  argue over the internet in ALL CAPS.,0,1,1,0,0,7,0.03681387,0.14895527,0.81423086,Neu,-0.1121414,marketfolly
154,2017-07-19 20:51:00," Obligatory mention: “More than you can afford pal, Ferrari.”  ",0,0,1,1,0,1,0.21615209,0.014685024,0.7691629,Neu,0.20146707,marketfolly
168,2017-06-26 23:54:00,  Exactly. Interested to see if Instagram Stories can take time spent share. Many still use both platforms though. Wonder what tipping pt is,1,1,1,0,0,0,0.03247103,0.027331864,0.9401971,Neu,0.0051391665,marketfolly
170,2017-06-22 19:37:02,"Reminded of  quote: “Cars will become luxury items, like horses”  ",1,1,1,0,2,13,0.09627133,0.012744926,0.8909837,Neu,0.0835264,marketfolly
190,2017-05-25 16:26:01,  What’s RACE future look like in autonomous car world? Rich ppl still buy them bc they can? Does speed/engineering matter once all= electric,0,1,1,2,0,0,0.040533703,0.020228125,0.93923813,Neu,0.020305578,marketfolly
191,2017-05-23 22:49:03,It feels like Tiger Global is filing a Form 4 with the SEC every other day re: $APO. Compliance must be getting EDGAR fatigue,0,1,1,0,0,1,0.07549134,0.2606594,0.6638493,Neu,-0.18516806,marketfolly
197,2017-05-22 18:56:05," Is this assuming Rentec Medallion or something like RIEF? Only employees can invest in former, which is the one you want.",0,1,1,1,0,1,0.024115555,0.034701776,0.9411827,Neu,-0.010586221,marketfolly
213,2017-05-09 18:02:00, Thought they came down to $35 to match WMT? Could be now trying to twist knife further.,1,1,1,1,0,0,0.034857646,0.57908094,0.3860615,Neg,-0.5442233,marketfolly
217,2017-04-27 23:25:00,      Not to defend but where would you jackwagons put $ if you had that much AUM? Liquidity constrained & don’t get bonus pts for originality.,1,1,1,1,0,0,0.046680298,0.32669264,0.6266271,Neu,-0.28001234,marketfolly
246,2017-03-31 18:24:04," if that’s just US eCom, then could assume a decent amount of eWallet is actually using a card as underlying payment vs just bank funding.",0,1,1,0,0,0,0.104567885,0.013907767,0.8815244,Neu,0.09066012,marketfolly
249,2017-03-28 17:45:03, Will be interesting to see churn levels on this card after Aug/Sept when 1st renewal fees hit & see if they make retention offers.,0,1,1,0,0,0,0.08249587,0.02653611,0.89096797,Neu,0.055959757,marketfolly
282,2017-02-24 16:41:05, Yes will share if there’s enough data points so it’s not skewed too much.,1,1,1,1,0,0,0.12573685,0.010170475,0.86409265,Neu,0.11556637,marketfolly
293,2017-02-15 18:37:02, Would be interested in your take on which is better biz (FICO vs cred reporting agencies). Seen the latter pitched recently,1,1,1,0,0,1,0.0771098,0.014926887,0.90796334,Neu,0.06218291,marketfolly
303,2017-01-25 03:47:01, 2016 was just too wild!  Will be back in action shortly.,1,0,1,0,0,0,0.058070812,0.015796442,0.9261327,Neu,0.04227437,marketfolly
