,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2018-02-26 10:24:04," Being a self-professed comic book geek, I must point out economics can work properly in sequential-art fiction. Things are always better in the Marvel Universe.",0,1,1,0,0,0,0.13770123,0.046129227,0.8161695,Neu,0.091572,hedgefundinvest
4,2018-02-26 10:08:00,"If the U.S. Constitution was to ever be amended in the future (and that looks very difficult to do), what would Americans want as an amendment? Surely the responses would be varied, and even appear contradictory.",1,1,1,0,1,1,0.0241986,0.52833056,0.44747078,Neg,-0.504132,hedgefundinvest
6,2018-02-24 11:45:03," I've spent countless weeks of time thinking about this. I've come full circle. Meaning, it does educate us. It isn't linear, and it always isn't good. But... it works and will get better.",1,1,1,1,0,2,0.22121944,0.018238524,0.7605421,Neu,0.2029809,hedgefundinvest
7,2018-02-24 11:43:00, How could've this guy... of all people... upset Indians? I've read headlines the visit had ruffled feathers.,1,1,1,1,0,0,0.03204231,0.8464427,0.12151493,Neg,-0.8144004,hedgefundinvest
8,2018-02-24 11:40:04, It's gotten a bit out of hand... these prescriptions without thought to cost nor side-effects. They'll dispense as they please. morescripsplease,1,1,1,0,0,0,0.0486372,0.15692334,0.7944395,Neu,-0.10828614,hedgefundinvest
10,2018-02-11 13:16:02,"  has dropped it's price from $99 to $69. There will be a time where they will pay you for your DNA. You know, like the internet.",1,1,1,1,1,6,0.06977833,0.11824991,0.8119718,Neu,-0.048471577,hedgefundinvest
12,2018-02-10 17:41:00,"Would blockchain be beneficial in a democratic voting system? Ensuring audit trail and anonymity, yet registered? Thinking out loud here...",1,1,1,6,1,5,0.09094437,0.019929463,0.8891261,Neu,0.07101491,hedgefundinvest
23,2017-12-20 13:30:01,"As many others have said, the true ""cool factor"" of cryptocurrency is blockchain, not the speed/anonymity of transactions. This tech will be used for all major transactions. Most useful in things like real estate, shipping, etc. Stuff is locked down with real-time records.",1,1,1,0,1,7,0.031443957,0.029273925,0.93928206,Neu,0.002170032,hedgefundinvest
26,2017-12-13 17:16:04,  Cars and Moody Blues to be inducted as well. These two should be in.,1,0,1,0,0,0,0.09364897,0.012317922,0.8940331,Neu,0.081331044,hedgefundinvest
27,2017-12-13 17:13:00,  I can agree. I probably equate Black Sabbath to Ozzy... but true other greats were part of that gig.,1,1,1,0,0,0,0.08449237,0.04214138,0.8733663,Neu,0.04235099,hedgefundinvest
31,2017-12-13 04:38:02,"    You know I've checked out on this guy a while back. I can't take it. I just laugh and wait for it to be over. But happy about today, for sure.",1,1,1,0,0,2,0.09179442,0.06193044,0.8462751,Neu,0.029863976,hedgefundinvest
33,2017-12-09 13:26:00,"  Excel 1, sadly... but did think Python would/could be 2. It's like silly putty for data analysis.",1,1,1,0,0,1,0.030088272,0.08023933,0.8896724,Neu,-0.05015106,hedgefundinvest
36,2017-12-05 00:21:01,I miss Beanie Babies. 'Tis true they were real and not virtual... limiting their value. Can we get virtual Beanie Babies?  ,1,1,1,0,0,1,0.053823926,0.09376761,0.85240847,Neu,-0.039943688,hedgefundinvest
40,2017-12-02 13:41:02,  Lisa would know better... I cannot decipher anything meaningful from the Fed in this low-rate environment.,0,0,1,0,0,0,0.03506794,0.1081077,0.8568244,Neu,-0.07303976,hedgefundinvest
43,2017-11-30 21:05:04, QE may have had an ever bigger impact outside of US. Tax policy is so... domestic. Like laundry. :-),1,1,1,0,0,0,0.03568148,0.09784213,0.8664764,Neu,-0.06216065,hedgefundinvest
