,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-06 22:36:04," ever done any cluster training? A favorite of mine is: take your ~10 rep max, bang out 7 - rest 30 seconds - bang out 5 - rest 30 seconds - bang out 3. Rest 3 min, repeat for 3 rounds. Increase rounds for volume progression.   That's a fun one.",1,1,0,1,0,1,0.054906633,0.030312087,0.9147812,Neu,0.024594545,sjd10304
1,2018-04-06 22:26:03,"09/28/2011 saw a -2.07% decline with 13 advancers 04/06/2018 saw a -2.19% decline with 12 advancers  If the range is the same, next 19 trading days oscillate between ~2434.90 and ~2846.84.  Sounds like fun.   (while this is interesting, it's nothing more)   ",1,1,0,0,0,4,0.050500743,0.6791319,0.27036738,Neg,-0.6286312,sjd10304
2,2018-04-06 22:21:02, lol - if we get 453 on Monday....,0,1,0,0,0,1,0.09547907,0.02128274,0.8832382,Neu,0.07419633,sjd10304
4,2018-04-06 22:13:03, Thanks Matt! Hope you’re on the up and up.,0,1,0,0,0,1,0.8310842,0.015458886,0.15345697,Pos,0.8156253,sjd10304
5,2018-04-06 22:13:02,Someone tell Carter that generally speaking the best buying opportunities are *positively correlated* with retail *not* wanting to buy.   Please and thank you.,1,1,0,0,0,2,0.21337321,0.015384265,0.7712425,Neu,0.19798894,sjd10304
6,2018-04-06 21:44:04,$TRIN closed at 2.93 $TRINQ closed at 0.65  So $TRIN:$TRINQ closed at 4.51  That's the 3rd largest reading in the dataset to 1978.   Only 3 other weeks closed &gt; 4.   Weeks beginning:  09/06/2011 05/30/2000  And..  10/12/1987.   Gulp. lolz,1,1,0,1,2,11,0.032610442,0.20771092,0.7596786,Neu,-0.17510048,sjd10304
7,2018-04-06 21:19:03,"I'm slightly short to very short the TradeWarTrump.    likes to sell the rumor, and buy the news. spx",0,1,0,0,1,2,0.035576466,0.054519918,0.90990365,Neu,-0.018943451,sjd10304
8,2018-04-06 21:16:03, lol -  be careful thinking correlation is causation. spx,0,1,0,1,0,0,0.041885447,0.029700054,0.92841446,Neu,0.012185393,sjd10304
9,2018-04-06 21:14:03,"A $TRIN weekly close near 3, eh? spx",0,0,0,1,1,2,0.054618377,0.1376528,0.8077288,Neu,-0.083034426,sjd10304
10,2018-04-06 21:13:03,"Down -1.38% on the week and it feels like -10.38%  6th straight week with an absolute return &gt; 1%.   Have we ever heard Trump say ""volatility""?   Does he say it like he says ""industry""? I'm curious. spx",1,1,0,0,0,0,0.012234392,0.88949144,0.09827412,Neg,-0.87725705,sjd10304
