,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-31 03:28:00,Agree with y'all. Google just works. Alexa can't understand what I say a good 30% of the time. And Siri has the least functionality and know how,0,1,1,1,0,11,0.057216335,0.037791908,0.9049918,Neu,0.019424427,firstadopter
3,2021-07-23 04:20:00,Both Sony PlayStation and Microsoft Xbox are running their summer sales right now. It's incredibly insane the amount of gameplay value you can get for some of these $5-15 discounted games,1,1,1,4,1,10,0.04663138,0.15815933,0.7952093,Neu,-0.11152795,firstadopter
9,2021-07-09 22:22:04,"With the minor user interface improvements in Microsoft’s upcoming Windows 11 release, the new OS is unlikely to spur an upgrade cycle. Also, students returning to in-person learning and workers going back to physical offices may take away PC tailwinds    ",1,1,1,1,0,8,0.017623054,0.94637764,0.035999395,Neg,-0.92875457,firstadopter
19,2021-06-30 16:19:04,"Good read “You may have heard about how the govt’s effort to break up Facebook was dealt a death blow by a federal judge on Monday ..according to several antitrust experts I’ve spoken with, overstatement is precisely the way to describe these news reports”  ",1,1,1,1,4,4,0.037593152,0.077181764,0.88522506,Neu,-0.03958861,firstadopter
22,2021-06-30 15:15:00,Latest column: 1 billion iPhone users made a conscious choice to buy into Apple’s locked down platform with its security benefits and limitations. For Congress to unilaterally remove that option from the marketplace would be overreach & unfair to consumers  ,1,0,1,8,2,19,0.015934058,0.84412193,0.13994405,Neg,-0.8281879,firstadopter
25,2021-06-29 03:34:03, You should watch Lina Khan’s nomination hearing testimony. Highly unlikely this is the end of the road for the FTC and Facebook - not even mentioning the agency’s rule making authority,0,1,1,1,0,1,0.04358143,0.02817333,0.92824525,Neu,0.015408101,firstadopter
26,2021-06-29 01:39:04,"FinTwit: There's no way the FTC can find data and metrics that show Facebook has 60%+ market share of the social networking market!  Facebook in 2012: ""Facebook is now 95% of all social media in the US""",0,1,1,3,0,7,0.12728159,0.014035373,0.85868305,Neu,0.11324622,firstadopter
27,2021-06-29 01:28:03,"If FTC can back 60%+ share claim with data, this from judge becomes very imp: FTC ""on firmer ground in scrutinizing the acquisitions of Instagram and WhatsApp, as the Court rejects Facebook’s argument that the FTC lacks authority to seek injunctive relief against those purchases""",1,1,1,2,0,2,0.7109094,0.22702776,0.062062852,Pos,0.48388165,firstadopter
28,2021-06-29 01:20:01,FTC's  may just need to ask Facebook to update this Sheryl Sandberg slide that she presented to the social media giant's big ad clients 🙃    ,1,1,1,2,2,7,0.045771316,0.01650807,0.93772066,Neu,0.029263245,firstadopter
36,2021-06-13 23:19:03,"With Halo likely still having issues and Starfield eons away if I was Microsoft, I’d pivot my entire marketing campaign, focusing it on Forza Horizon 5 - their only near term killer showcase title. Probably won’t happen, but it’s what they should do",1,1,1,4,0,6,0.10471708,0.020938653,0.8743443,Neu,0.083778426,firstadopter
39,2021-06-11 12:29:02,"This is a good primer video that shows how Apple’s newly introduced augmented reality creation tools and LiDAR capabilities found in the latest high end iPhones will soon drive a wave of innovative AR applications for shopping, gaming and social media  ",1,1,1,4,0,4,0.55097127,0.008967191,0.44006148,Pos,0.5420041,firstadopter
44,2021-06-09 18:05:05,Epic CEO Tim Sweeney when cross examined by Apple’s lawyer during the antitrust trial - when citing the AR is about to take off bullet point in the board presentation - admitted Apple would be a major player in the upcoming augmented reality market.,1,1,1,1,0,5,0.44175425,0.015015867,0.5432299,Neu,0.42673838,firstadopter
47,2021-06-08 04:40:05,"FWIW on April 29 I wrote: ""Amazon’s Prime-Day Change Is a Caution Flag .. The internet giant's two main businesses .. face tough comparisons as pandemic trends lose some steam .. Already, there are signs that the surge in e-commerce may be decelerating.""    ",1,1,1,2,2,4,0.02048364,0.9466001,0.03291635,Neg,-0.92611647,firstadopter
48,2021-06-08 03:36:01,Apple executive on putting widgets on your iPad home screen: “This is a huge deal” (Narrator: It’s not). “We took giant steps forward for all of our software platforms” (You didn’t). Let’s be real. Today’s nearly 2 hour WWDC keynote should have been a press release.,1,1,1,1,1,16,0.07985073,0.015213612,0.90493566,Neu,0.064637125,firstadopter
59,2021-05-12 15:39:04,"""Can Amazon Withstand the Wrath of Khan?""    ",0,0,1,4,2,13,0.59050196,0.04192582,0.36757225,Pos,0.5485761,firstadopter
61,2021-05-04 18:29:05,Apple probably can make an ad with Tim Sweeney's admission he prefers iPhone over Google on the back of its privacy and data security superiority.,0,1,1,0,0,6,0.1266631,0.023397768,0.84993905,Neu,0.10326534,firstadopter
62,2021-05-04 14:57:03, Yes. I checked it every single day. Like Google Reader it will be sorely missed.,1,0,1,0,0,2,0.035701253,0.40779984,0.55649894,Neu,-0.3720986,firstadopter
66,2021-04-28 03:02:03,"""Audio is a very inclusive medium ..regardless of what you look like ..everyone's voice can be heard. That's [partly] why I raised my hand to lead audio"" [for Facebook] ""very personal ..certain formats can create forms of exclusion"" [for people with disability] - ",1,1,1,1,0,3,0.049845267,0.02748191,0.9226728,Neu,0.022363357,firstadopter
77,2021-04-20 23:41:02,"""I don't think there will be a second act .. like an AWS and Amazon shopping .. bunch of supporting pools like consumer products .. that's an obvious one"" - Reed Hastings",0,1,1,0,0,1,0.054964945,0.045242604,0.8997925,Neu,0.009722341,firstadopter
78,2021-04-20 01:58:01," Also, perhaps the early investor in Facebook, Zynga, Twitter, Stripe, Spotify, Alibaba, Airbnb and WhatsApp may know a thing or two about investing early in the next big social thing 🤷‍♂️",0,1,1,1,0,2,0.059570756,0.013553116,0.9268761,Neu,0.04601764,firstadopter
79,2021-04-20 00:58:00,"  Editorial curation over algo may be best way to ensure enjoyable first experience. We both know quality when we see it: early Apple/Microsoft execs sharing stories, talks w/famous scientists, small authentic convos. Happens nightly. These rooms need to be elevated to top of feed",1,1,1,0,0,0,0.06732558,0.014073735,0.9186007,Neu,0.05325184,firstadopter
86,2021-04-15 15:49:00,"Last week, I wrote about a key flaw in Intel's foundry plan: ""hard to imagine [AMD and Apple] — both of which do big business with TSMC — would want to reveal their proprietary chip designs and product timelines to one of their chief competitors instead""  ",1,1,1,4,4,15,0.025682649,0.7261423,0.24817502,Neg,-0.70045966,firstadopter
88,2021-04-12 19:16:04,"MSFT EVP Cloud/AI on deal call ""believe we can further scale DAX through Microsoft's global presence as well as further enhance the product through our deep AI capabilities .. DAX in action .. clear that this technology can be applied beyond healthcare and Microsoft can do that.""",1,1,1,1,0,4,0.91039765,0.0076518464,0.081950516,Pos,0.9027458,firstadopter
90,2021-04-11 01:14:00,"Watched “What If” romcom on Amazon. Pretty decent. 8/10. Has an amazing cast: Daniel Radcliffe, Adam Driver and Mackenzie Davis.",1,0,1,1,0,4,0.25540325,0.010968769,0.733628,Neu,0.24443448,firstadopter
