,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-02 20:41:00,Early MOC imbalance 494 mln buy-side.  $SPY,0,0,0,0,1,3,0.11778542,0.20351622,0.67869836,Neu,-0.0857308,incredibletrade
1,2021-07-30 15:31:03,Stay at home theme next .. $ZM $AMZN $DOCU $NFLX $TDOC $FB,0,0,0,1,1,9,0.34129226,0.021457745,0.63724995,Neu,0.31983453,incredibletrade
2,2021-07-30 15:20:02,$FB support at 20 EMA,0,0,0,0,0,1,0.68949485,0.02864391,0.28186122,Pos,0.66085094,incredibletrade
4,2021-07-30 13:39:00,$AMZN Amazon Is Cratering After Its Earnings Beat Estimates. It Usually Does That.  ,0,1,0,0,0,4,0.014536007,0.9556313,0.0298327,Neg,-0.9410953,incredibletrade
5,2021-07-29 21:45:04,They may start buying $AMZN here.,0,1,1,1,0,3,0.26376244,0.020910336,0.7153272,Neu,0.2428521,incredibletrade
6,2021-07-29 20:26:04,$SPY  ,0,0,0,3,4,6,0.1627256,0.036799558,0.8004748,Neu,0.12592605,incredibletrade
8,2021-07-28 22:28:00,$GOOG $SNAP $SPOT $SHOP,0,0,0,0,0,4,0.10473078,0.031357877,0.8639114,Neu,0.0733729,incredibletrade
9,2021-07-27 22:39:01,$AAPL still in an uptrend even if it drops to 137 .. more to squeeze based on monthly setup.  ,1,1,0,2,0,11,0.21782745,0.6885006,0.09367189,Neg,-0.47067314,incredibletrade
10,2021-07-27 13:01:05,"TDA: $OLB news from Dow Jones and Company, Inc.: Press Release: OLB Group Signs Letter of Intent to Acquire Portfolio of CBD Merchants with Annual Transaction Volume Over $300M",0,0,0,0,0,5,0.70397437,0.009964427,0.28606114,Pos,0.69400996,incredibletrade
11,2021-07-26 19:02:00,$OLB ahead of $AMZN in implementing tech ..  OLB Group enables crypto payments for thousands of US merchants    via ,0,1,0,1,0,5,0.54100925,0.0087998025,0.450191,Pos,0.53220946,incredibletrade
