,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
34,2018-03-27 16:55:02,We created an aggregate national manufacturing reading using the 5 regional Fed surveys.  Will be updated regularly in our Closer report (  Learn more here:  ,1,1,1,0,1,4,0.029713959,0.03740486,0.93288124,Neu,-0.007690903,bespokeinvest
40,2018-03-26 20:44:04,Anything above +620 would be a top three one-day point gain for the DJIA.  Top two (936 and 889) were in October 2008.,1,1,1,2,8,11,0.35051996,0.051168293,0.5983118,Neu,0.29935166,bespokeinvest
49,2018-03-26 14:26:01,This will be just the 3rd time since '93 that $SPY traded down 2%+ the prior Friday and gapped up 1%+ the next Monday.,1,0,1,1,4,7,0.014782616,0.96699077,0.018226556,Neg,-0.95220816,bespokeinvest
66,2018-03-23 13:50:00,Could the relative strength charts of Technology and Energy vs the S&P 500 be anymore opposite? $XLE $XLK    ,0,1,1,0,3,6,0.0771195,0.03460028,0.88828015,Neu,0.04251922,bespokeinvest
86,2018-03-21 19:44:04,"Equities can't escape the late-day fade, even on a Fed Day.",0,0,1,2,1,4,0.034308076,0.66603726,0.29965472,Neg,-0.6317292,bespokeinvest
89,2018-03-21 14:28:02,Added 2 new names and removed 2 names from the Bespoke Model Portfolio this morning.  Members can see it here:  ,1,0,1,0,0,0,0.02048464,0.29102346,0.6884919,Neu,-0.27053884,bespokeinvest
97,2018-03-20 16:08:05,"Twitter $TWTR opened at $34.92, straight down minute by minute to $31.60 as of mid-day.  Note that Dorsey's other company Square $SQ, which might have even more data, and lets you buy Bitcoin, is up 3% at new highs.",1,1,1,0,2,7,0.54812455,0.42301258,0.02886289,Pos,0.12511197,bespokeinvest
123,2018-03-14 19:25:01,Unlocking this COTD we did last week so you can see how powerful our new Stock Seasonality Tool is.  Check it out:  ,1,1,1,0,0,2,0.17288512,0.010354074,0.8167608,Neu,0.16253105,bespokeinvest
137,2018-03-13 22:00:00,Lots of love for our new interactive features that you won't find elsewhere.  Stock Seasonality Tool:   Trend Analyzer:   and Earnings Screener:    Even more to come too!,0,0,1,0,0,1,0.13967483,0.016542725,0.8437824,Neu,0.1231321,bespokeinvest
148,2018-03-12 18:33:01,"From 3/1/17-2/28/18, the average stock (10,000+ earnings reports) fell 0.14% on its earnings reaction day.  So far this month the average stock has gained 1.17%.  Can find all of this data in our Earnings Screener.  Read how:  ",1,1,1,0,2,3,0.0152328955,0.9024057,0.082361475,Neg,-0.88717276,bespokeinvest
179,2018-03-08 18:23:01,Who needs boring old FANG when you can have FANG+    ,0,1,1,0,7,10,0.027996425,0.17139576,0.80060774,Neu,-0.14339934,bespokeinvest
264,2018-02-26 21:00:04,The Tech sector couldn't go longer than a month without a new high. $XLK,0,0,1,0,2,4,0.40632236,0.025780717,0.56789696,Neu,0.38054165,bespokeinvest
268,2018-02-26 00:48:02,  You can do 2.6% in your sleep  Right?,0,0,1,1,0,5,0.044135913,0.044840164,0.9110239,Neu,-0.00070425123,bespokeinvest
269,2018-02-25 21:20:03,"Barring a 2.6% gain in the next 3 trading days, the S&P 500 will have its first down month (on a total return basis) since October 2016. 15 Months. $SPY",0,1,1,4,7,27,0.02780735,0.9273821,0.044810493,Neg,-0.89957476,bespokeinvest
284,2018-02-22 16:41:00,"Every time you think jobless claims can't go any lower, they just do.    ",0,1,1,0,11,12,0.015169714,0.9132887,0.07154151,Neg,-0.898119,bespokeinvest
291,2018-02-21 21:36:05,"Our Trend Analyzer lets you build up to 5 ""Bespoke"" (custom) portfolios so you can monitor the stocks and ETFs you follow most closely.  Try it out with a free trial to Premium now!",0,1,1,0,0,4,0.06610183,0.01369292,0.9202053,Neu,0.052408908,bespokeinvest
294,2018-02-21 21:21:04,Roku $ROKU down 20% on earnings.  Gained 55% on its only other earnings report as a public company!  realitybites  From our Earnings Screener (which you can test out here:    ,1,0,1,0,1,2,0.009654034,0.96602696,0.024319068,Neg,-0.9563729,bespokeinvest
