,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2018-04-03 12:07:05,   They can be charged but it is awful hard to extradite them. To successfully serve them in the USA you need to get around 1st amendment protections.  To do that you have to prove that Glaucus was willingly false. I do not think such a proof can be made even if Glaucus is wrong.,1,1,1,1,0,4,0.098743685,0.08889611,0.8123602,Neu,0.009847574,john_hempton
9,2018-04-03 04:06:05, Oh no. We should all join together with  to regulate speech.  We should tighten defamation laws while we are at it.   (When was the last time you heard a journalist argue for speech regulation?),1,1,1,1,0,5,0.038019847,0.059260964,0.90271914,Neu,-0.021241117,john_hempton
10,2018-04-02 23:28:01, That presumes you have leftover wine.  Are you sick or something? Should I be worried?,1,1,1,1,0,2,0.0338926,0.5913667,0.37474063,Neg,-0.55747414,john_hempton
11,2018-04-02 22:55:04,"   I don't even want to point out how absurd Mr Boyd's piece is.  But hey, let's do that.  If a journalist writes a negative piece and a stock goes down should the journalist be regulated?  I know. Let's play regulate speech together.",1,1,1,0,0,13,0.0375437,0.16712634,0.7953299,Neu,-0.12958264,john_hempton
13,2018-04-02 21:51:00,  No. The story is messy in the way of war. My grandmother and her various survivors would not talk.,1,1,1,0,0,1,0.021248652,0.558125,0.42062634,Neg,-0.5368764,john_hempton
14,2018-04-02 21:14:03, I kind of enjoyed being a Jewish girls rebellion.  😎😎😎😎  (Except that I was not rebellious enough. My grandmother ran a safe-house in Poland. The Jewish grandmothers could hardly complain when I dated their granddaughters. I was the acceptable gentile.),1,1,1,1,0,4,0.03993326,0.11995174,0.840115,Neu,-0.080018476,john_hempton
18,2018-04-02 20:46:04,  I read it.  Unless Blue Sky has a decent line-by-line response to Glaucus I will short your stock.  It doe snot matter who states the issue. Or whether they are regulated.  The truth matters. You need to demonstrate.,1,1,1,0,0,18,0.041267313,0.0827434,0.87598926,Neu,-0.041476086,john_hempton
28,2018-04-02 11:29:03, No my problem was you asserted the underlying business at $VRX was better than $HLF.  It is not - and the next five years will demonstrate that.,1,1,1,1,0,0,0.80646706,0.038159106,0.1553738,Pos,0.7683079,john_hempton
33,2018-04-02 10:40:00, Little decisions - are the kind you can take.  Big resolutions are so easy to break.  No coffee after 4pm. Max 4 per day.  Then no coffee after 3pm. Max 3 per day  Even that is hard.,0,1,1,2,0,16,0.028585665,0.11049979,0.8609145,Neu,-0.08191413,john_hempton
34,2018-04-02 10:34:04,    maybe.  is suspended. They have the chance to answer.  I have no position - but depending on the answer I will. Long or short.,1,1,1,0,0,0,0.030719448,0.13507032,0.8342102,Neu,-0.10435088,john_hempton
35,2018-04-02 10:01:02,        Observation. If the  report is more than 50 percent right the result will be the end of your law firm.  It's not survivable if the name partner is the Chairman of the Board of a major fraud.    yet to release the detailed response!   It matters to you,0,1,1,1,0,3,0.023233648,0.28263578,0.69413054,Neu,-0.25940213,john_hempton
36,2018-04-02 07:11:04,   I would not.,0,0,1,1,0,1,0.059024513,0.093891956,0.8470835,Neu,-0.034867443,john_hempton
37,2018-04-02 07:10:00,"   If Glaucus comes out with a detailed report and  is ""trust us"" they are asking to be disbelieved.  Blue Sky must be detailed.",1,1,1,0,0,7,0.033129077,0.09322647,0.8736444,Neu,-0.060097393,john_hempton
38,2018-04-02 07:06:03,   If they do that I will get short and wait for the prison sentences.  Glaucus is a detailed report. A suspension then a non-detailed answer indicates Glaucus is right.  I expect a detailed answer. They have Easter.,0,1,1,1,0,4,0.0390492,0.1683943,0.79255646,Neu,-0.12934509,john_hempton
39,2018-04-02 07:04:03,   They would trade continuously in the USA. I prefer the Australian solution. The company gets a reasonable suspension to come up with the full answer to Glaucus and lives and dies by it.  It makes it harder to argue the short is only self motivated if there is a process to answer.,1,1,1,1,0,8,0.05682136,0.060556974,0.8826217,Neu,-0.003735613,john_hempton
40,2018-04-02 06:05:03,If  release it I they should recommence trading.  If the piece is strong and point-by-point refutes  in a credible manner I will go long.  Otherwise I will probably go short.   looks solid now - but wait till $BLA speaks.  ,0,1,1,7,3,20,0.13100961,0.03942287,0.8295675,Neu,0.09158674,john_hempton
42,2018-04-02 05:38:03," I have far more opinions than positions.  Besides I believe that a fund manager should have strong opinions, weakly held.",1,1,1,0,0,12,0.08985035,0.028342783,0.8818069,Neu,0.061507568,john_hempton
50,2018-04-01 19:46:01, please follow so I can dm.,0,0,1,1,0,0,0.04013273,0.01540501,0.94446224,Neu,0.02472772,john_hempton
56,2018-04-01 11:12:04,  He is just in the BlueSky thing in Australia.  I have no position (but if I could wave a wand I would be short).  I rejected the short becuase it was too crowded.  I think  is fundamentally decent though - but it puzzles me why she is so comfortable in the black box.,1,1,1,0,0,0,0.07412335,0.0997776,0.82609904,Neu,-0.025654249,john_hempton
57,2018-04-01 11:02:01, If they sum zero then on some occasions they are going to sum positive and some they are going to sum negative (just because the world is random).  If you believe that it might be rational for some people to sell themselves into slavery.  [Answer: they sum very negative indeed.],0,1,1,1,0,1,0.037781443,0.22244506,0.73977345,Neu,-0.18466361,john_hempton
64,2018-04-01 09:43:05,   We will know who the scammers are in good time. It may be Glaucus. It may be Blue Sky.  I am waiting for the line-by-line rebuttal.   Blue Sky's current statement is comically inadequate.,0,1,1,0,0,2,0.021152094,0.7057582,0.27308968,Neg,-0.68460613,john_hempton
66,2018-04-01 05:46:03,"   incidentally, can I find a 500 year chat for that stock? Anyone got one?",1,0,1,1,0,0,0.054580986,0.016802426,0.9286166,Neu,0.03777856,john_hempton
68,2018-04-01 05:42:00,   The end can be a very long time. Debenhams was founded in 1778 and zero is not very far away.  ,1,1,1,1,0,5,0.039345726,0.036044247,0.9246101,Neu,0.003301479,john_hempton
83,2018-03-31 11:34:04, please follow me so we can dm.,0,0,1,0,0,0,0.07384859,0.010725383,0.915426,Neu,0.06312321,john_hempton
84,2018-03-31 10:57:03,"  The correct response is to list China as a Taiwanese province. Democratic rule, modelled after Taiwan will be restored when CCP finally fades to irrelevance.",1,1,1,0,0,1,0.057225253,0.029026184,0.9137485,Neu,0.02819907,john_hempton
85,2018-03-31 10:54:01, Steve Smith will  be back. Taking it looks foolish.  The interesting one is Warner. He looks awful. He may not be back but taking it ensures it.  Who knows.,0,1,1,0,0,1,0.035877287,0.23536341,0.7287593,Neu,-0.19948612,john_hempton
