,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
2,2018-04-07 21:53:00, And I’m not even an academic.  But I appreciate the thought.,0,1,1,0,0,10,0.086904414,0.03493402,0.8781615,Neu,0.051970392,ianbremmer
5,2018-04-07 20:38:01,"  But if we colonize Baja, could just make it.",0,1,1,2,0,1,0.1891503,0.008870859,0.8019788,Neu,0.18027945,ianbremmer
8,2018-04-07 20:24:03,"If US troops join hands along the Mexico border, that’s kinda like a Wall.   Plus it will look friendly.",1,1,1,25,53,274,0.22733693,0.021654153,0.751009,Neu,0.20568277,ianbremmer
26,2018-04-06 03:46:00,"Please. It’s Trade War Posturing.   If it was a Trade War, you would know.  ",1,0,1,10,16,78,0.035995338,0.05410995,0.90989476,Neu,-0.018114612,ianbremmer
30,2018-04-05 21:35:02,Black Panther will be the first film shown in Saudi Arabian movie theaters in 35 years.  Not a lot of films can say that. Kudos  ,1,0,1,16,235,481,0.08484724,0.013622653,0.90153015,Neu,0.071224585,ianbremmer
39,2018-04-05 16:45:00,"If there were a trade war, US would lose lots of jobs.   For now, US not losing any because there’s no policy yet. Probably gaining a few in the media from all the coverage.",1,1,1,12,28,80,0.08627384,0.834753,0.07897321,Neg,-0.7484791,ianbremmer
40,2018-04-05 16:24:03,"Among Cabinet officials, Pruitt the most capable in dismantling existing regulatory environment.  You’d think Trump would want to keep him; it’s not like they can’t weather scandals.",0,1,1,7,7,37,0.084696695,0.03382034,0.88148296,Neu,0.050876357,ianbremmer
41,2018-04-05 16:06:01, of users whose Facebook data may have been compromised in    US 71m Philippines 1.2m Indonesia 1.1m UK 1.08m Mexico 790K Canada 622K India 562K Brazil 443K Vietnam 427K Australia 311K    Total (est.) 87m,1,0,1,12,168,152,0.026245382,0.24797401,0.72578055,Neu,-0.22172862,ianbremmer
50,2018-04-04 21:25:03,"Alternate argument: 1 Assad’s already won 2 Moral stain hard to avoid too: civil war already killed 500k and created 5m refugees 3 US abandoning Kurds a longstanding tradition 4 If US wants to hit Assad for chemical attacks, might want those troops clear of Russian retaliation  ",1,1,1,9,34,81,0.07375409,0.2852941,0.6409518,Neu,-0.21154,ianbremmer
53,2018-04-04 21:12:01,"China isn’t going to implement tariffs until they see what the US actually implements.   As everyone should know by now with Trump, announcements are not policy.",0,1,1,8,41,126,0.034534976,0.048838943,0.9166261,Neu,-0.014303967,ianbremmer
58,2018-04-04 17:54:02,São Paulo can be incredible.  Instagram -&gt;    ,0,0,1,15,13,126,0.08368934,0.014177829,0.90213287,Neu,0.06951151,ianbremmer
70,2018-04-03 21:22:04,"Brazil, Feb 2018   % who say Lula should be arrested: 53%  % who say he should be able to run in the election: 47%    Datafolha via Veja",1,1,1,15,25,56,0.04708438,0.053867467,0.8990481,Neu,-0.006783087,ianbremmer
73,2018-04-03 20:56:02,Millennials will soon be the largest generation in the electorate. But that doesn’t necessarily mean they’ll be the largest bloc of voters.  ,0,1,1,10,29,52,0.09361497,0.017589081,0.8887959,Neu,0.07602589,ianbremmer
74,2018-04-03 19:30:00,The Bourne Identity: Amazon  The Bourne Supremacy: E-commerce  The Bourne Ultimatum: Must pay more delivery costs or Trump will continue tweeting  ,0,1,1,27,109,263,0.017084198,0.58066225,0.40225354,Neg,-0.56357807,ianbremmer
76,2018-04-03 15:03:01,The Trumps should really start avoiding bunnies.  ,0,1,1,5,34,182,0.051618017,0.0310252,0.91735685,Neu,0.020592818,ianbremmer
78,2018-04-03 14:31:02,This undermines Trump Admin solidarity with UK. Can’t come up with a good policy reason why President would take this decision.  ,0,0,1,33,106,233,0.021346172,0.8553204,0.123333424,Neg,-0.83397424,ianbremmer
81,2018-04-03 02:57:01,Glad to see the Trump White House invite for Putin.   I can finally say it was Putin. In the Lincoln Bedroom.  With the candlestick.,1,0,1,21,50,284,0.08948001,0.02461186,0.8859081,Neu,0.06486815,ianbremmer
96,2018-04-02 14:16:01,Trump-Xi more important. But the ratings for Trump-Putin will be staggering.,0,1,1,6,18,48,0.13912906,0.09363629,0.7672347,Neu,0.04549277,ianbremmer
98,2018-04-02 13:49:03, Absolutely. Would be better for the country.,0,0,1,0,0,0,0.23761626,0.031002458,0.73138124,Neu,0.2066138,ianbremmer
111,2018-04-01 13:42:02,“I’m mad as hell and I’m not going to take this anymore!” Have a quick watch. Network  ,0,1,1,25,186,384,0.12611523,0.23983108,0.63405365,Neu,-0.11371584,ianbremmer
118,2018-03-31 15:28:00,  Very good question. You would just wonder why no one of color applied...,1,0,1,1,0,2,0.03937607,0.066325404,0.89429855,Neu,-0.026949335,ianbremmer
122,2018-03-30 23:38:03,The Trump White House interns could be the whitest group I’ve ever encountered.   And I’m including the Nantucket Yacht Club.  ,1,1,1,243,784,1799,0.058343153,0.033815008,0.9078418,Neu,0.024528146,ianbremmer
124,2018-03-30 18:41:04,"When Kim shakes Trump’s hand, THE CIRCLE WILL BE COMPLETE! muahahah  ",0,1,1,18,34,90,0.04968512,0.022781242,0.9275337,Neu,0.026903879,ianbremmer
134,2018-03-30 00:31:00, Fair enough. So maybe it’s karmic. But we can be better.,0,1,1,1,0,1,0.27974755,0.038419507,0.6818329,Neu,0.24132803,ianbremmer
145,2018-03-29 23:45:01,Could ferment revolution...,0,0,1,14,4,66,0.08060412,0.034579493,0.8848164,Neu,0.046024628,ianbremmer
148,2018-03-29 22:38:00,"Even if you didn't have mad skillz, you'd win for time and effort. Congrats  you're trolloftheweek!  ",1,1,1,3,0,40,0.29053354,0.016428642,0.6930378,Neu,0.2741049,ianbremmer
149,2018-03-29 22:28:05,"A Kim-Xi summit would have to be spicy, no?",1,0,1,28,23,177,0.03846449,0.0792404,0.88229513,Neu,-0.040775906,ianbremmer
151,2018-03-29 22:24:00,You can tell they’re just itching to drag US diplomats out of the St. Petersburg consulate.  Photo: Anton Vaganov  ,0,1,1,6,24,37,0.03724919,0.15020901,0.8125418,Neu,-0.11295982,ianbremmer
