,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-03-31 18:01:00,"Cryptocurrency Mining: What It Is, How It Works And Who's Making Money Off It  ",0,1,0,0,1,2,0.024838153,0.038830154,0.9363317,Neu,-0.013992,benzinga
1,2018-03-31 17:31:00,"RBC Bullish On Spotify Ahead Of IPO, Sets $220 Price Target   $AAPL $NFLX $SPOT",0,0,0,0,0,0,0.19580698,0.022485714,0.7817073,Neu,0.17332126,benzinga
2,2018-03-31 17:01:00,Allai Applies The Netflix Model To Insurance   BZAwards,0,1,0,0,0,0,0.06335181,0.012902806,0.92374545,Neu,0.050449006,benzinga
3,2018-03-31 16:31:00,"Wash Trading, Bear Raiding, Cornering: The Many Forms Of Market Manipulation  ",0,0,0,0,0,1,0.026578698,0.07696187,0.8964594,Neu,-0.05038317,benzinga
4,2018-03-31 16:01:00,Get Ahead: Start Building Credit In College  ,0,0,0,0,0,0,0.23822278,0.012032373,0.7497448,Neu,0.2261904,benzinga
5,2018-03-31 15:31:00,Leerink's Takeaways From CNBC's 'Healthy Returns' Conference   $AMZN $CI $RDUS,0,0,0,0,0,0,0.08768592,0.01719006,0.895124,Neu,0.07049586,benzinga
6,2018-03-31 15:01:00,'Distinctly Positioned' Las Vegas Sands Is Morgan Stanley's Top Gaming Pick   $LVS $MGM $WYNN,1,1,0,0,0,1,0.22873928,0.010176069,0.7610847,Neu,0.21856321,benzinga
7,2018-03-30 19:37:02,Step 1 Watch this video! Step 2 reserve your spot at the 2018 Fintech Awards:    ,0,0,0,0,0,0,0.09117317,0.013505976,0.89532083,Neu,0.0776672,benzinga
8,2018-03-30 18:01:00,The Low-Key Indicator That The Bitcoin Bubble May Have Burst   $GOOGL $BTC,0,0,0,0,1,4,0.052940615,0.7059159,0.24114345,Neg,-0.6529753,benzinga
9,2018-03-30 17:31:00,"Morgan Stanley: As Refranchising Dies Down, What's Next For Fast Food Restaurants?   $DNKN $DPZ $JACK $QSR $WEN $SONC $YUM",0,1,0,0,0,0,0.054754574,0.027925717,0.9173197,Neu,0.026828857,benzinga
10,2018-03-30 17:01:00,"""Not only do Amazon packages cover their own costs, but they help keep the overall [US Postal Service] alive.""   $AMZN",0,1,0,1,4,2,0.35138792,0.009422031,0.6391901,Neu,0.34196588,benzinga
11,2018-03-30 16:31:00,"Poll: Amazon The Most Trusted Name In Big Tech, Facebook Now The Least   $AABA $AAPL $AMZN $GOOG $FB $MSFT",0,1,0,0,3,0,0.25453582,0.015222241,0.73024195,Neu,0.23931359,benzinga
12,2018-03-30 16:01:00,FidentiaX Is Building A Blockchain-Powered Insurance Policy Trading Marketplace   BZAwards,0,1,0,0,0,0,0.095820956,0.008709448,0.8954696,Neu,0.08711151,benzinga
13,2018-03-30 15:31:00,"Smoking Is Just One Way To Use Marijuana: An Introduction To Vaporizers, Edibles, Oils, Tinctures, Dabs And Other Cannabis Products  ",0,1,0,1,1,2,0.04048053,0.0236297,0.9358897,Neu,0.016850831,benzinga
14,2018-03-30 15:01:00,"The Week Ahead In Biotech: PDUFA Dates, Clinical Trials And Conferences   M$RK $BTAI $CLVS $EDGE $THERF $PCRX $NVS $RIGL $VTVT $IMGN",0,0,0,0,1,3,0.15306218,0.016029583,0.83090824,Neu,0.1370326,benzinga
15,2018-03-29 22:00:00,"Reminder: US markets are closed tomorrow, March 30. See you on Monday!  ",0,1,0,0,0,0,0.028671756,0.38280866,0.5885195,Neu,-0.35413688,benzinga
16,2018-03-29 21:30:00,This Social Data Suggests DeleteFacebook Isn't Really Happening   $FB,0,1,0,1,1,1,0.030614031,0.24539147,0.72399443,Neu,-0.21477744,benzinga
17,2018-03-29 20:59:00,Goldman Sach's Exelon Bear Case Comes To An End   $EXC,0,0,0,0,0,0,0.046855927,0.56509227,0.3880518,Neg,-0.51823634,benzinga
18,2018-03-29 20:40:00,Wall Street Bullish On PVH After Apparel Retailer Beats Q4 Estimates   $PVH,0,0,0,0,1,0,0.64087427,0.21535008,0.14377569,Pos,0.42552418,benzinga
19,2018-03-29 20:20:00,A High Credit Score Can Save You Thousands Per Year  ,0,0,1,0,0,0,0.4266829,0.050748732,0.52256835,Neu,0.37593415,benzinga
20,2018-03-29 20:00:00,Comparing Two Low Volatility Dividend ETFs: 'The Devil Remains In The Details'   $LVHD $SPHD,0,1,0,0,1,0,0.07425128,0.038051557,0.8876972,Neu,0.036199722,benzinga
21,2018-03-29 19:40:00,Lululemon's Q4 Has The Sell Side Saying 'Namaste'   $LULU $NKE,0,1,0,0,0,1,0.04299902,0.040047545,0.9169534,Neu,0.0029514767,benzinga
22,2018-03-29 19:20:00,"ViaSat's Potential Is Already Reflected In Its Valuation, Barclays Says In Downgrade   $VSAT",0,0,0,0,0,0,0.61068535,0.01123114,0.3780835,Pos,0.5994542,benzinga
23,2018-03-29 19:00:00,How Amazon Actually Helps Keep The US Postal Service Alive   $AMZN,0,0,0,0,3,5,0.26197588,0.009218832,0.72880524,Neu,0.25275704,benzinga
24,2018-03-29 18:45:00,JPMorgan Dismisses Buffett-GE Buyout Rumor   $GE,0,1,0,0,1,0,0.09820492,0.23039563,0.6713994,Neu,-0.1321907,benzinga
25,2018-03-29 18:25:00,"BlackBerry Reports 'Strong' Q4, But 2019 Guidance Is Limited, Says BMO   $BB",0,0,0,0,0,0,0.11227605,0.79244435,0.09527961,Neg,-0.6801683,benzinga
26,2018-03-29 18:05:00,"RBC Bullish On Spotify Ahead Of IPO, Sets $220 Price Target   $SPOT $AAPL $NFLX",0,0,0,0,1,3,0.15475391,0.018202798,0.82704335,Neu,0.13655111,benzinga
27,2018-03-29 17:45:00,Stifel Downgrades Secureworks On Gross Margin Doubts   $SCWX,0,0,0,0,0,0,0.015193733,0.9263497,0.05845652,Neg,-0.91115594,benzinga
28,2018-03-29 17:25:00,"Microsoft Will Undergo Big Reorganization, Longtime Windows Chief To Depart   $MSFT",0,0,0,0,0,1,0.016345488,0.6663155,0.31733903,Neg,-0.64997,benzinga
29,2018-03-29 17:05:00,"Benzinga's Top Analyst Calls From March 29, 2018   $AMZN $DXCM $EDGE $GME $NDAQ $LB $FTNT $TSLA",0,0,0,0,0,0,0.06304964,0.020743452,0.9162069,Neu,0.042306185,benzinga
30,2018-03-29 16:55:00,Companies Reporting Earnings After The Bell $SNX $STAF $MBII $SSKN $VJET $FPH $KMPH  ,0,0,0,0,0,0,0.58002025,0.06267153,0.35730824,Pos,0.5173487,benzinga
31,2018-03-29 16:40:00,"Duke Energy: Goldman Sachs Turns Bearish On Valuation, Capital, EPS Worries   $DUK",0,0,0,0,0,0,0.013546548,0.9536088,0.032844584,Neg,-0.9400623,benzinga
32,2018-03-29 16:25:00,Nationwide Adds Emerging Markets Fund To ETF Lineup   $MXDE $EEM,0,0,0,0,0,1,0.15702343,0.011076269,0.8319003,Neu,0.14594716,benzinga
33,2018-03-29 16:04:02,"OTD In Market History: Dow Hits 10,000 For The First Time   $DJIA  ",0,1,0,0,1,1,0.33836123,0.052686084,0.60895264,Neu,0.28567514,benzinga
34,2018-03-29 15:45:00,"Tesla's Cash Burn Could Double With Expected Model 3 Delays, Says Deutsche Bank   $TSLA",0,0,0,0,3,1,0.059118565,0.9184668,0.022414614,Neg,-0.85934824,benzinga
35,2018-03-29 15:25:00,"Bank Of America Turns Bearish On GameStop, Sees Too Many Headwinds   $GME",0,0,0,0,0,0,0.014818887,0.95457286,0.030608179,Neg,-0.93975395,benzinga
36,2018-03-29 15:05:00,Here's Why Amazon Is 'Winning The Right Way' Despite Trump's Concerns   $AMZN $FB,0,1,0,0,0,0,0.67283326,0.013664783,0.31350198,Pos,0.6591685,benzinga
