,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
1,2018-04-05 22:27:00,"Trump says he did not know about a $130,000 hush payment made to Stormy Daniels, his first public acknowledgment of the scandal    ",1,1,0,574,292,706,0.040682204,0.47012603,0.48919174,Neu,-0.42944384,cnnbrk
2,2018-04-05 20:13:02,Sears and Delta Air Lines say some customer credit card information may have been exposed in a data breach last year    ,1,1,1,41,180,162,0.00913567,0.9513126,0.03955163,Neg,-0.94217694,cnnbrk
3,2018-04-05 18:22:04,"The body of missing CDC scientist Timothy Cunningham is found in an Atlanta river. Police called his disappearance in February ""unusual.""    ",1,1,0,84,486,605,0.012408657,0.90686506,0.080726184,Neg,-0.8944564,cnnbrk
4,2018-04-05 18:03:05,"Local official says no casualties reported after a fire breaks out at a hospital in Istanbul, causing a number of patient evacuations    ",1,1,0,17,90,188,0.01850222,0.94733083,0.03416699,Neg,-0.9288286,cnnbrk
5,2018-04-05 18:03:03,US military halts air operations in Djibouti after multiple accidents and at the request of officials there. The East African country is a critical location in the fight against terrorism.    ,0,1,0,23,102,215,0.008257052,0.95404416,0.037698753,Neg,-0.94578713,cnnbrk
6,2018-04-05 16:02:01,"A rare surgeon general's advisory urges more Americans to carry naloxone, a drug also known as Narcan that reverses opioid overdoses    ",1,1,0,143,243,490,0.2438519,0.062332664,0.6938154,Neu,0.18151924,cnnbrk
7,2018-04-05 10:32:01,"Bollywood star Salman Khan has been sentenced to serve five years in prison after being convicted of illegal poaching in a decades-old case, prosecutors say  ",1,1,0,68,262,801,0.07431298,0.73138994,0.19429703,Neg,-0.65707695,cnnbrk
8,2018-04-05 01:32:04,"A sterilization breach at a Denver hospital may have put patients at risk for infection of HIV, hepatitis B or hepatitis C, state warns    ",1,0,1,57,278,243,0.013228178,0.9443328,0.042439107,Neg,-0.9311046,cnnbrk
9,2018-04-05 00:36:02,"The Trump administration is expected to sanction several Russian oligarchs with ties to President Vladimir Putin over 2016 election interference, officials say    ",1,1,0,225,175,491,0.013910509,0.9108669,0.07522249,Neg,-0.8969564,cnnbrk
10,2018-04-04 20:41:04,"President Trump will deploy National Guard troops to the US-Mexico border, Homeland Security secretary says    ",0,1,1,216,183,342,0.123123944,0.048798133,0.8280779,Neu,0.074325815,cnnbrk
11,2018-04-04 20:35:03,"Facebook says Cambridge Analytica may have improperly shared information on up to 87 million users, sharply revising its earlier estimate of 50 million    ",1,1,1,126,392,478,0.00805209,0.96599054,0.025957387,Neg,-0.95793843,cnnbrk
12,2018-04-04 18:44:01,"Britain's Prince Philip underwent a successful hip surgery and is now recovering in the hospital, Buckingham Palace announced    ",1,1,0,45,97,642,0.14795409,0.08313114,0.76891476,Neu,0.06482295,cnnbrk
14,2018-04-04 17:16:00,A new YouTube employee and former aide to Sen. Jeff Flake tweets that shootings have touched his life three times in the last year    ,1,1,0,40,102,231,0.030711079,0.82725126,0.14203763,Neg,-0.7965402,cnnbrk
15,2018-04-04 16:43:03,"Planned Parenthood president says Jared Kushner and Ivanka Trump offered a ""bribe"" of increased funding if they'd stop performing abortions    ",1,1,1,1099,3650,4450,0.6949234,0.06233615,0.24274053,Pos,0.63258725,cnnbrk
16,2018-04-04 15:57:01,A lawyer who prosecuted Nazis and an activist against life sentences for minors will receive the MLK Nonviolent Peace Prize. Follow live updates    ,1,0,1,9,131,641,0.043209955,0.030851347,0.92593867,Neu,0.012358608,cnnbrk
17,2018-04-04 14:26:03,"The White House has decided on whether the US will withdraw from Syria, Trump's intel chief says. He does not give a timeline for an announcement.    ",1,1,1,61,67,120,0.028220477,0.05209527,0.91968423,Neu,-0.023874795,cnnbrk
18,2018-04-04 13:37:00,Facebook CEO Mark Zuckerberg will appear before a Congressional panel regarding the company's use and protection of user data on April 11    ,0,1,1,83,321,823,0.029661583,0.038310826,0.9320276,Neu,-0.008649243,cnnbrk
19,2018-04-04 09:39:00,"China is firing back in the escalating trade tensions with the US, announcing plans for heavy new tariffs on dozens more US goods including aircraft, soybeans and autos.    ",0,1,0,140,296,453,0.07751357,0.8896489,0.032837577,Neg,-0.81213534,cnnbrk
20,2018-04-04 04:37:05,"The woman who shot three people at YouTube headquarters in Northern California has been identified, two law enforcement sources told CNN.    ",1,1,0,90,189,396,0.027459506,0.6865606,0.28597987,Neg,-0.65910107,cnnbrk
21,2018-04-04 02:08:01,"Special counsel Mueller has told Trump's lawyers that the President is not currently a criminal target of the Russia probe, Washington Post reports    ",1,1,0,274,201,540,0.043686513,0.094334595,0.8619789,Neu,-0.050648082,cnnbrk
22,2018-04-03 23:54:05,"The shooter at YouTube HQ is believed to have known at least one of the victims, officials say    ",1,1,0,75,230,357,0.029010952,0.41305315,0.5579359,Neu,-0.3840422,cnnbrk
23,2018-04-03 22:57:03,"The Trump administration proposes tariffs on about 1,300 Chinese goods, targeting industries including aerospace, tech and manufacturing    ",0,1,0,120,160,215,0.34376237,0.014336264,0.6419014,Neu,0.3294261,cnnbrk
24,2018-04-03 22:55:02,"At least four people wounded at YouTube HQ, San Bruno police chief says. Suspected shooter is dead after she apparently shot herself.    ",1,1,0,80,436,529,0.018380295,0.8721149,0.10950485,Neg,-0.8537346,cnnbrk
25,2018-04-03 22:45:02,"The suspected shooter at YouTube headquarters in California was a woman and is dead, officials say.    ",1,1,0,105,561,604,0.02718414,0.6521109,0.320705,Neg,-0.62492675,cnnbrk
26,2018-04-03 22:12:04,"Ambulances are transporting patients to hospitals after a shooting was reported at YouTube headquarters, officials say    ",1,1,0,52,532,486,0.041096516,0.85818946,0.10071401,Neg,-0.81709296,cnnbrk
27,2018-04-03 21:35:02,"Police are responding to reports of a shooting at YouTube headquarters in San Bruno, California    ",0,1,0,114,1315,1107,0.040968023,0.8406985,0.11833343,Neg,-0.7997305,cnnbrk
28,2018-04-03 18:49:02,"The President is taking questions with Baltic leaders. Earlier, he told them, ""nobody has been tougher on Russia"" than himself. Follow live updates    ",1,1,0,166,59,152,0.036380634,0.09233406,0.8712853,Neu,-0.05595343,cnnbrk
29,2018-04-03 18:29:02,President Trump says the US military will be used to guard the border with Mexico until a wall is built    ,1,1,1,536,268,662,0.10956009,0.02034718,0.8700927,Neu,0.08921291,cnnbrk
30,2018-04-03 17:14:03,"A Dutch lawyer is the first person sentenced in the Russia probe, getting 30 days in prison for lying to Mueller's team    ",1,1,0,166,350,1012,0.04204209,0.7493357,0.20862217,Neg,-0.7072936,cnnbrk
31,2018-04-03 16:37:01,"Prince Philip, the 96-year-old husband of the UK's Queen Elizabeth II, is in the hospital today for planned hip surgery    ",1,1,0,54,161,495,0.040636837,0.7668795,0.19248372,Neg,-0.72624266,cnnbrk
32,2018-04-03 16:16:01,"The UN says the ongoing war in Yemen is now the world's worst humanitarian crisis, with more than 22 million people in need of aid    ",0,1,0,46,316,311,0.02123943,0.92529815,0.0534624,Neg,-0.9040587,cnnbrk
33,2018-04-03 15:41:03,"The White House confirmed EPA Administrator Pruitt spoke with the President last night. Trump offered Pruitt encouragement, a source tells CNN    ",1,1,0,107,61,98,0.16466089,0.025415746,0.80992335,Neu,0.13924514,cnnbrk
34,2018-04-03 14:19:05,Train services severely disrupted in France as rail workers strike over proposed labor reforms. Walkouts are planned two days out of every five for the next three months.    ,1,1,0,12,60,156,0.008441949,0.95576024,0.03579791,Neg,-0.9473183,cnnbrk
35,2018-04-03 14:00:03,"General Motors ends its decades-long practice of reporting monthly sales, saying quarterly reports are more useful to investors. US car sales fell last year for the first time since 2009.    ",1,1,0,43,78,169,0.008548498,0.97385794,0.017593587,Neg,-0.96530944,cnnbrk
36,2018-04-03 13:28:01,"The UK's Environment Secretary says the country is set to introduce one of the world's toughest ivory bans, with a penalty of up to five years in prison    ",1,1,0,91,597,2983,0.07425395,0.77274853,0.15299752,Neg,-0.69849455,cnnbrk
37,2018-04-03 10:05:02,"A Kuwaiti court has sentenced a Lebanese man and his wife to death in absentia for the murder of a Filipina maid, the Philippines Foreign Ministry said.    ",1,1,0,27,224,461,0.064236514,0.8086223,0.12714128,Neg,-0.7443858,cnnbrk
38,2018-04-03 04:45:01,Villanova beats Michigan 79-62 to win the US men’s college basketball championship for second time in three years    ,0,1,0,21,186,921,0.82530355,0.029765606,0.14493082,Pos,0.79553795,cnnbrk
39,2018-04-03 02:28:02,Dating app Grindr says it will stop sharing the HIV status of its users with other companies    ,0,1,1,60,125,228,0.020291068,0.393762,0.585947,Neu,-0.37347093,cnnbrk
40,2018-04-02 23:42:05,A Florida middle school teacher who hosted a white supremacist podcast that she called satire has resigned    ,1,1,0,255,348,1487,0.04275,0.6538639,0.30338615,Neg,-0.6111139,cnnbrk
41,2018-04-02 22:32:03,"Democratic Rep. Elizabeth Esty, who is under fire for how she handled the dismissal of her chief of staff, says she will not seek re-election    ",1,1,1,31,52,135,0.012084368,0.9310838,0.056831803,Neg,-0.91899943,cnnbrk
42,2018-04-02 21:36:00,"Fake marijuana is tied to 56 cases of severe bleeding in Illinois, including two deaths. The state's health department warns more deaths could be coming.    ",1,1,1,143,575,530,0.013550734,0.9179989,0.06845034,Neg,-0.90444815,cnnbrk
43,2018-04-02 20:54:00,"A dingy, old painting found in an Iowa art gallery's closet turns out to be the work of a 16th-century Dutch master that could be worth millions  ",1,1,1,23,176,692,0.033520956,0.074535005,0.89194405,Neu,-0.04101405,cnnbrk
44,2018-04-02 20:04:00,"Trump's lawyer begins the process of appealing a judge's decision to allow a defamation case brought by a former ""Apprentice"" contestant to proceed    ",1,1,0,60,90,244,0.05230599,0.61358345,0.33411053,Neg,-0.56127745,cnnbrk
45,2018-04-02 19:13:05,"Asheville, North Carolina, is expected to release videos from nine police body cameras related to the beating and tasing of a man who was suspected of jaywalking last year    ",1,1,0,98,266,443,0.025341015,0.57574767,0.39891127,Neg,-0.55040663,cnnbrk
46,2018-04-02 18:17:00,Trump says the Justice Department and FBI are dragging their feet in handing over documents to Congress related to several controversial investigations    ,1,1,0,94,66,166,0.017561775,0.8227632,0.15967499,Neg,-0.8052014,cnnbrk
47,2018-04-02 17:58:01,"Oklahoma City public schools are cancelled tomorrow due to a teacher walk out. In Kentucky, teachers are protesting inside the Capitol building. Follow updates:    ",1,1,0,33,252,709,0.011655835,0.8686836,0.11966054,Neg,-0.85702777,cnnbrk
48,2018-04-02 16:41:01,"Abiye Ahmed is sworn in as prime minister of Ethiopia after weeks of uncertainty and protest. His appointment is the first from the Oromos, Ethiopia's largest ethnic group    ",1,1,0,14,49,133,0.09196116,0.045904968,0.86213386,Neu,0.046056192,cnnbrk
50,2018-04-02 15:31:01,"Winnie Mandela, anti-apartheid activist and former wife of late South African President Nelson Mandela, has died at age 81    ",1,1,0,118,1030,1530,0.035516266,0.27352583,0.6909579,Neu,-0.23800957,cnnbrk
51,2018-04-02 14:06:05,"President Trump will host Japanese Prime Minster Shinzo Abe at Mar-a-Lago on April 17 and 18, the White House says    ",0,1,1,125,98,262,0.037069753,0.02657779,0.93635243,Neu,0.0104919635,cnnbrk
52,2018-04-02 13:09:01,Ex-Veterans Affairs Secretary David Shulkin says he got a heads up from Trump's chief of staff that he'd be fired in a tweet from the President    ,1,1,1,79,139,287,0.009250749,0.9351122,0.055637024,Neg,-0.9258614,cnnbrk
53,2018-04-02 02:20:02,"China's Tiangong-1 space lab re-entered Earth's atmosphere about 8:15p.m. ET over the South Pacific Ocean, China's space agency says    ",0,1,0,47,360,592,0.06485841,0.025591813,0.90954983,Neu,0.039266594,cnnbrk
54,2018-04-02 01:09:05,"Killings and shootings in Chicago dropped again in March to mark the 13th consecutive month of declining gun violence in the city, police say.    ",1,1,0,182,607,2956,0.011235186,0.9714911,0.017273718,Neg,-0.9602559,cnnbrk
56,2018-04-01 17:55:04,"Secret Service is investigating the vandalism of a sign at the Trump International Golf Club in West Palm Beach, Florida    ",0,1,0,225,117,375,0.025432903,0.81035763,0.16420943,Neg,-0.78492475,cnnbrk
57,2018-04-01 16:03:03,JUST IN: President Trump says there will be no deal with Democrats to legalize thousands of undocumented immigrants brought to the US as children  ,1,1,1,1060,925,1416,0.067306526,0.28970078,0.6429926,Neu,-0.22239426,cnnbrk
58,2018-04-01 15:59:04,Trump: 'NO MORE DACA DEAL': The President said there will be no deal with Democrats to legalize thousands of undocumented immigrants brought to the US as children  ,1,0,1,445,344,546,0.20900859,0.21792579,0.57306564,Neu,-0.008917198,cnnbrk
59,2018-04-01 14:47:00,"The way that some ""political employees have behaved"" has led to a ""difficult environment,"" at the VA, says former Secretary of Veteran Affairs, David Shulkin CNNSOTU    ",1,1,0,40,108,311,0.011173443,0.9588768,0.029949771,Neg,-0.94770336,cnnbrk
60,2018-04-01 14:36:00,"""The President is committed to improving the care for veterans,"" says former Secretary of Veteran Affairs, David Shulkin CNNSOTU    ",1,1,0,106,52,189,0.9128127,0.015946979,0.071240336,Pos,0.8968657,cnnbrk
61,2018-04-01 04:11:00,Villanova cruises and Michigan rallies to advance to the NCAA men’s basketball national championship    ,0,1,0,22,111,490,0.55704135,0.03706077,0.40589786,Pos,0.51998055,cnnbrk
62,2018-04-01 02:01:03,"New York passes law requiring anyone convicted of domestic abuse to turn over all firearms, Gov. Andrew Cuomo say    ",1,1,0,482,2693,13411,0.06327197,0.12839086,0.80833715,Neu,-0.065118894,cnnbrk
63,2018-03-31 22:21:04,"An international student in Florida made no threats, but his behavior alarmed his roommate and he bought two rifles. Police were called, and now he's being deported for an unrelated visa issue.    ",1,1,0,206,291,913,0.024244336,0.8095678,0.16618784,Neg,-0.7853235,cnnbrk
65,2018-03-31 19:18:00,"A Tesla Model X driver had autopilot engaged before a fatal crash in California last week, the company says    ",1,1,0,119,306,479,0.021672094,0.804259,0.1740689,Neg,-0.78258693,cnnbrk
66,2018-03-31 01:58:05,A federal judge has blocked the Trump administration policy of not allowing abortion access to undocumented teens in US detention    ,1,1,0,99,289,1100,0.023112569,0.8755968,0.1012906,Neg,-0.8524842,cnnbrk
67,2018-03-30 23:06:00,"Baton Rouge Police Officer Blane Salamoni, one of two officers involved in the fatal shooting of Alton Sterling, will be fired, sources say    ",1,1,1,131,341,929,0.016679538,0.818797,0.16452336,Neg,-0.80211747,cnnbrk
68,2018-03-30 21:52:00,A Connecticut congresswoman says she won't resign after apologizing for keeping on an aide for several months after learning he was accused of abuse    ,1,1,1,65,52,108,0.028399574,0.85954857,0.11205191,Neg,-0.831149,cnnbrk
69,2018-03-30 20:02:02,"Arnold Schwarzenegger had open-heart surgery to replace an old valve. The surgery was successful and he is in stable condition, his rep says.    ",1,1,0,151,608,2665,0.59577024,0.034837175,0.3693926,Pos,0.56093305,cnnbrk
70,2018-03-30 16:26:00,"At least eight Palestinians killed and 1,100 people injured in confrontations with Israeli security forces during protests at the Gaza border, Palestinian health officials say    ",1,1,0,113,278,300,0.01789015,0.9256771,0.05643279,Neg,-0.90778697,cnnbrk
71,2018-03-30 15:41:03,"Noor Salman, Pulse nightclub gunman's widow, found not guilty of providing material support to a foreign terrorist group and obstructing justice    ",1,1,0,77,122,273,0.06718054,0.7923634,0.14045607,Neg,-0.7251829,cnnbrk
72,2018-03-30 15:13:00,Watch live: Today's SpaceX rocket launch is probably going to include another attempt to catch the $6 million nose cone with a giant net on a passenger ship  ,0,1,0,21,122,393,0.057086926,0.021680066,0.92123306,Neu,0.035406858,cnnbrk
73,2018-03-30 14:50:01,"A verdict has been reached in the trial of Noor Salman, the widow of the Pulse nightclub gunman    ",1,1,0,44,73,157,0.3217362,0.38137522,0.29688862,Neg,-0.059639037,cnnbrk
74,2018-03-30 14:46:02,"Russian hacker Yevgeniy Nikulin is extradited to the US after a protracted diplomatic struggle, Czech officials say. He is suspected of stealing 117 million LinkedIn passwords in 2012.    ",1,1,0,23,192,332,0.02916305,0.6373917,0.33344528,Neg,-0.6082286,cnnbrk
75,2018-03-30 14:41:01,"A US service member was killed in an attack in Syria, a US official with knowledge of the initial reports from the battlefield says    ",1,1,0,17,95,158,0.035015877,0.5502561,0.41472802,Neg,-0.5152402,cnnbrk
76,2018-03-30 13:12:03,"Kremlin spokesman says Russia had no choice other than to retaliate with expulsion of US diplomats, but continues to want good relations    ",1,1,0,45,73,160,0.10086068,0.73331684,0.1658225,Neg,-0.6324562,cnnbrk
77,2018-03-29 22:45:00,Attorney General Jeff Sessions avoids appointing a special counsel to investigate GOP-driven accusations against the FBI.    ,0,1,0,92,116,318,0.029928882,0.6219778,0.34809333,Neg,-0.59204894,cnnbrk
78,2018-03-29 21:53:03,"Jeff Sessions reveals Utah's top federal prosecutor, John Huber, is examining a cluster of GOP-driven accusations against the FBI.    ",0,1,0,145,154,260,0.048070032,0.29903892,0.65289104,Neu,-0.25096887,cnnbrk
79,2018-03-29 18:57:04,Russia to expel US diplomats and close St. Petersburg consulate in retaliation for similar US move    ,0,0,0,121,189,329,0.013536311,0.9321635,0.05430027,Neg,-0.91862714,cnnbrk
80,2018-03-29 18:41:01,"Judge puts temporary stop to efforts by Stormy Daniels' attorney to depose Trump and his lawyer Michael Cohen over $130,000 payout    ",0,1,0,137,113,234,0.017613944,0.8839638,0.09842228,Neg,-0.8663499,cnnbrk
81,2018-03-29 17:24:00,Parkland shooter's brother gets probation for trespassing at school. Police say he has visited the campus at least 3 times since the shooting    ,1,1,0,50,116,258,0.018878961,0.84779257,0.13332845,Neg,-0.8289136,cnnbrk
82,2018-03-29 07:08:01,"The leaders of North and South Korea will meet on April 27 for the first time since 2007, the two countries announced after high-level talks  ",1,0,1,56,287,689,0.10864442,0.018845022,0.87251055,Neu,0.0897994,cnnbrk
83,2018-03-29 03:43:05,North and South Korean officials are meeting Thursday at the Demilitarized Zone between the two countries to discuss the timing of a landmark summit between the two countries' leaders  ,0,1,0,39,185,433,0.12007631,0.063478015,0.8164457,Neu,0.0565983,cnnbrk
