,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-08-05 04:15:02,Deal will allow UK performers to do short tours in 19 EU members states visa-free  ,0,1,1,10,6,36,0.57930475,0.010069582,0.4106257,Pos,0.56923515,skynews
3,2021-08-02 16:55:00,Three stories:  🔴 NHS COVID19 app to ping fewer people to isolate   🔴 Oil tanker attack: Iran must 'face up to consequences' of actions - PM   🔴 Belarusian sprinter gets Polish visa - as husband in Ukraine    ,0,1,1,4,3,24,0.045584947,0.33470187,0.6197132,Neu,-0.28911692,skynews
8,2021-07-29 07:17:05,Facebook was given the thumbs down by Wall Street despite doubling quarterly profits as it warned growth will slow sharply in coming months  ,1,1,1,9,2,16,0.017500665,0.96011364,0.022385657,Neg,-0.942613,skynews
12,2021-07-25 09:35:05,'It's really shameful to this country that this is happening.'  Spokeswoman for Kent Refugee Action Network Bridget Chapman says a 'much better way' of dealing with migrants coming to the UK would be through a 'humanitarian visa' system.  Latest:    ,0,1,1,75,64,181,0.057187185,0.08985789,0.8529549,Neu,-0.032670707,skynews
16,2021-07-21 15:09:02,"You can watch  report at 6:30pm on the DailyClimateShow tonight.  📺 Sky 501 / Freeview 233 📱 Twitter, Facebook and YouTube   ",0,0,1,4,22,83,0.024311583,0.03466427,0.9410241,Neu,-0.010352686,skynews
18,2021-07-20 20:52:04,Three stories to read tonight:   🚀Bezos thanks Amazon customers for paying for his space flight    🚨 Employers will have to apply for isolation exemption for 'pinged' workers    🗳️MPs back new immigration bill    ,1,1,1,9,7,32,0.0771181,0.43965825,0.48322365,Neu,-0.36254016,skynews
19,2021-07-20 18:38:05,"You can catch our Moscow correspondent  report from the Russian Arctic on the threat of melting permafrost tomorrow on the DailyClimateShow at 6:30pm.  Here's what to expect 👇  📺 Sky 501 / Freeview 233 📱 Twitter, Facebook and YouTube",0,1,1,3,7,28,0.02392135,0.040066328,0.9360123,Neu,-0.016144978,skynews
20,2021-07-20 18:13:00,"We'll be looking into how climate change is affecting our temperatures on tonight's DailyClimateShow at 6:30pm.  📺 Sky 501 / Freeview 233 📱 Twitter, Facebook and YouTube  Catch up here 👇  ",0,1,1,6,3,10,0.031867452,0.02549647,0.9426361,Neu,0.006370982,skynews
39,2021-07-16 06:42:05,An 18-year-old Dutch student will become the youngest ever person in space after being confirmed as the first paying passenger aboard Amazon founder Jeff Bezos's rocket when it lifts off next week  ,1,1,1,49,11,112,0.18521193,0.012844658,0.8019434,Neu,0.17236727,skynews
40,2021-07-15 07:35:00,On the latest DailyClimateShow...  🌳 More than a quarter of Amazon basin releasing more carbon than it absorbs 🌑 How a wobble in the moon’s orbit will affect our oceans ☀ Singapore’s new floating solar farm  Watch in full 👇,1,1,1,6,5,16,0.03967782,0.03656076,0.9237614,Neu,0.0031170622,skynews
41,2021-07-15 00:05:00,On the latest DailyClimateShow...  🌳 More than a quarter of Amazon basin releasing more carbon than it absorbs 🌑 How a wobble in the moon’s orbit will affect our oceans ☀ Singapore’s new floating solar farm  Watch in full 👇,1,1,1,11,8,22,0.03967782,0.03656076,0.9237614,Neu,0.0031170622,skynews
43,2021-07-14 21:35:00,On today's DailyClimateShow...  🌳 More than a quarter of Amazon basin releasing more carbon than it absorbs 🌑 How a wobble in the moon’s orbit will affect our oceans ☀ Singapore’s new floating solar farm  Watch in full 👇,1,1,1,7,7,21,0.037962817,0.036811143,0.92522603,Neu,0.0011516735,skynews
44,2021-07-14 19:55:00,On today's DailyClimateShow...  🌳 More than a quarter of Amazon basin releasing more carbon than it absorbs 🌑 How a wobble in the moon’s orbit will affect our oceans ☀ Singapore’s new floating solar farm  Watch in full 👇,1,1,1,6,8,15,0.037962817,0.036811143,0.92522603,Neu,0.0011516735,skynews
45,2021-07-14 19:21:00,"More than a quarter of the Amazon basin is now releasing more carbon than it absorbs, according to a study.   explains why the Amazon rainforest could be nearing a ""major tipping point"".  DailyClimateShow:    ",0,1,1,13,24,44,0.058467068,0.047818515,0.89371437,Neu,0.010648552,skynews
50,2021-07-13 14:32:00,"Providers such as Amazon and Microsoft dominate large swathes of the cloud data market and the Bank of England has suggested that over reliance on the tech ""could pose risks to financial stability"". ",1,1,1,8,18,49,0.023437541,0.8651643,0.11139812,Neg,-0.8417267,skynews
52,2021-07-12 16:20:02,The European Union has paused plans for an online sales tax that would have affected US tech giants such as Amazon  ,1,1,1,8,9,35,0.020132612,0.9281072,0.051760145,Neg,-0.9079746,skynews
54,2021-07-07 19:29:05,"When asked for an update on a possible EU visa waiver for artists and musicians, Boris Johnson says about 17 EU members are ""quite good"" on the issue, with seven ""not so good"".  He adds: ""We are working on it to sort it out and we will.""  Latest:    ",1,1,1,7,8,28,0.54746497,0.06618717,0.3863479,Pos,0.4812778,skynews
56,2021-07-07 16:49:03,"'Is there anything you can do as a UK government to hold global corporates to account for their environmental footprint?'  Philip Dunne grills the PM following reports of Amazon destroying unsold products ""less than an hour away"" from COP26Glasgow     ",0,1,1,13,23,53,0.013253948,0.9234129,0.06333303,Neg,-0.910159,skynews
67,2021-07-02 02:02:01,"Wally Funk will be the Amazon founder's ""honoured guest"" on board a New Shepard rocket which is set for launch in West Texas  ",1,1,1,5,9,44,0.078441076,0.011070612,0.91048825,Neu,0.06737047,skynews
68,2021-07-01 17:28:04,Here's why insects could help reduce deforestation in the Amazon by replacing soy as animal feed 🌲  Catch up with the DailyClimateShow:    ,0,1,1,1,9,33,0.20532955,0.015411378,0.7792591,Neu,0.18991818,skynews
69,2021-06-30 14:33:04,Google UK has announced it will tighten rules on financial services ads in an effort to clamp down on scams - after pressure from the City watchdog   ,1,1,1,4,6,34,0.028618375,0.8560309,0.115350716,Neg,-0.8274125,skynews
81,2021-06-23 12:54:03,"Labour MP Julie Elliot says Boris Johnson should condemn Amazon's ""appalling"" practice of sending computers to landfill.  The PM says he was ""shocked and amazed"" to hear that this is taking place, and called it ""bizarre and unacceptable"".  PMQs:    ",1,1,1,11,11,47,0.018912254,0.77386063,0.20722713,Neg,-0.7549484,skynews
85,2021-06-07 20:39:05,Jeff Bezos - one of the world's richest men and the chief executive of Amazon - has said he will travel into space next month  ,1,1,1,63,24,101,0.05544842,0.015710875,0.92884076,Neu,0.039737545,skynews
90,2021-06-05 10:08:01,"Vladimir Putin has shrugged off criticism from the head of MI6, saying the UK spy boss will 'probably revisit his assessments' of Russia   ",1,1,1,33,29,132,0.022872416,0.8980733,0.079054326,Neg,-0.8752009,skynews
98,2021-06-03 10:40:00,"We'll be covering this story - which could be the worst environmental disaster in Sri Lanka's history - on tonight's DailyClimateShow.  📺 Weekdays, 6:30pm & 9:30pm   📱 Watch on Twitter, Facebook & YouTube   🎧 Weekly podcast & digital edition   ",0,1,1,4,21,43,0.02056197,0.040363576,0.9390744,Neu,-0.019801605,skynews
101,2021-05-28 16:34:05,"You can find out more about ghost nets on tonight's DailyClimateShow.    📺 Weekdays, 6:30pm & 9:30pm   📱 Watch on Twitter, Facebook & YouTube   🎧 Weekly podcast & digital edition  ",0,0,1,3,7,11,0.02156789,0.033221293,0.9452108,Neu,-0.011653403,skynews
110,2021-05-18 12:00:01,"We'll be covering this story on tonight's DailyClimateShow.   📺 Weekdays, 6:30pm & 9:30pm 📱 Watch on Twitter, Facebook & YouTube   📱 Weekly podcast & digital edition  ",0,1,1,1,5,13,0.023395693,0.030085675,0.9465186,Neu,-0.0066899825,skynews
114,2021-05-17 12:51:02," You can find out more about this  report on the UK's plastic waste on tonight's DailyClimateShow.    📺 Weekdays, 6:30pm & 9:30pm 📱 Watch on Twitter, Facebook & YouTube   🎧 Weekly podcast & digital edition  ",0,0,1,3,5,18,0.021543592,0.03402674,0.9444297,Neu,-0.012483146,skynews
121,2021-05-11 19:31:00,"Sky News has learnt that Lyst will announce on Wednesday that it has secured new capital from new investors including Fidelity International and C4 Ventures, a firm set up by former Apple executive Pascal Cagni  ",1,1,1,2,0,13,0.8017005,0.007833546,0.190466,Pos,0.79386693,skynews
123,2021-05-08 03:00:00,Donald Trump tilda su suspensión continuada en Facebook de “absoluta vergüenza” tras el fallo de la junta de supervisión en su contra.  You can now view Sky News videos in Spanish / Ahora puedes ver los videos de Sky News en español 👉  ,0,1,1,2,3,12,0.037622225,0.025472438,0.9369053,Neu,0.012149787,skynews
124,2021-05-07 23:00:00,Donald Trump tilda su suspensión continuada en Facebook de “absoluta vergüenza” tras el fallo de la junta de supervisión en su contra.  You can now view Sky News videos in Spanish / Ahora puedes ver los videos de Sky News en español 👉  ,0,1,1,5,2,15,0.037622225,0.025472438,0.9369053,Neu,0.012149787,skynews
