,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
3,2018-03-31 23:54:02," Yeah, and it would have the benefit of giving $TSLA someone other than the dead father of two to publicly blame in a press release.  ",0,1,1,0,0,3,0.071719445,0.024325615,0.903955,Neu,0.04739383,muddywatersre
4,2018-03-31 23:43:03,Seems like all of the chatter about this $TSLA X crash is about Autopilot. What about the apparent lack of structural integrity? It looks like the entire front was shorn off by a giant can opener.  ,1,1,1,20,48,130,0.010721877,0.91640717,0.072870985,Neg,-0.9056853,muddywatersre
5,2018-03-30 16:33:03,It will also be Amazon Prime  ,0,0,1,6,23,68,0.037331045,0.01313013,0.9495389,Neu,0.024200914,muddywatersre
14,2018-03-15 15:29:04," This is complex. I support engagement and more student visas, but the notion that providing Ivy League MBAs and JDs to China students would inculcate them and China with liberal dem values was massively off base. Corruption funded tuition has become an addiction of Ivies.",1,1,1,2,1,3,0.015808048,0.8274064,0.15678553,Neg,-0.81159836,muddywatersre
18,2018-03-14 21:31:04,"Have never read a more Kool-aid laden piece on Chin: economy totally makes sense, great to have state control, Xi being emperor for life is a win-win, and if you don't agree it's b/c you don't understand China. Prediction: This op-ed will not age well.  ",0,1,1,4,11,42,0.061920807,0.09812953,0.8399497,Neu,-0.036208726,muddywatersre
22,2018-03-11 14:07:04,Informative interview re what really drives China’s political system.  interviews Minxin Pei who made the non-consensus call in 2006 that China would become more oppressive. Agree w/ many of Pei’s assessments in this piece.  ,1,1,1,1,6,12,0.05007854,0.022387968,0.92753345,Neu,0.027690573,muddywatersre
27,2018-03-06 16:41:01,Because what else would you do with your cash when a contract that generated likely over half of EBITDA is drastically cut & could go away in two years? $OSIS announces share buyback  ,1,1,1,2,4,11,0.012269686,0.8840727,0.103657566,Neg,-0.87180305,muddywatersre
29,2018-03-03 13:48:03,"  John, the bigger point regardless is these are only two industries-one of which I can confirm the scale of cheating is enormous. U & I also know that tens of billions in wealth has been transferred scot-free through cap market fraud to China. Where does the cheating really end?",1,1,1,1,0,9,0.043091647,0.10337662,0.8535317,Neu,-0.060284972,muddywatersre
30,2018-03-03 13:37:04,"  Completely disagree it’s impossible in commodities such as steel and aluminum. Processing the ores is capital and labor intensive. The capacity to do this cannot come on overnight in response to rent-seeking by a monopolistic, who will just dump again to destroy the new capacity.",1,1,1,3,2,4,0.024615172,0.6626613,0.31272352,Neg,-0.63804615,muddywatersre
31,2018-03-03 06:34:03,"  To which I would add: Once a dumper nation eviscerates a competitor industry, does the dumper continue to sell at sub-economic prices, or does it then extract rents?",0,1,1,2,1,9,0.030296903,0.09685518,0.8728479,Neu,-0.06655827,muddywatersre
33,2018-03-03 05:54:01," Aluminum is the major input in aircraft. Should America accept the degradation of its capability to produce combat aircraft, which quite possibly would be used in a conflict with China? As an American, I think “no”.",1,1,1,1,1,10,0.1454991,0.06848544,0.7860154,Neu,0.07701366,muddywatersre
35,2018-03-02 15:23:01,The international trade club works really well when members play by the rules. THERE IS ONE MEMBER WHO FLOUTS THOSE RULES. The G7 should get on the same page & inform the PRC that it will be kicked out of the clubhouse unless it stops cheating. 8/8 cc: ,1,1,1,5,12,57,0.021758314,0.5323289,0.44591287,Neg,-0.5105706,muddywatersre
41,2018-03-02 15:19:05,"It is funneling of state resources to non-economic producers whose output threatens western industry. Therefore, you can wholeheartedly believe in free trade and free markets AND support the proposed tariffs on PRC steel and aluminum. 2/8",1,1,1,2,17,49,0.27933815,0.011106778,0.70955503,Neu,0.26823136,muddywatersre
43,2018-03-01 14:01:00,"Good question. I think we often understand corruption risks of EM / FM better than many multinationals. However, some companies’ corruption is authorized at the very top. Those companies therefore have a thorough understanding of corruption, other than how they might get caught.  ",1,1,1,1,5,11,0.06790064,0.025413811,0.9066856,Neu,0.04248683,muddywatersre
51,2018-02-17 14:07:04,"  That’s not fair, great patriot Tom Farley and  spend so much time bettering America that a few dozen abject frauds stealing money from mostly American investors & sending it to China are bound to fall through the cracks. CC:  ",1,1,1,0,0,2,0.049191106,0.26478994,0.68601894,Neu,-0.21559884,muddywatersre
64,2018-02-10 08:33:00," Yeah, I remember hearing that a real estate developer from NY could never become POTUS. Why people advocate for complacency is beyond me - esp when somebody highly motivated and capable is on the other side.",1,1,1,1,0,9,0.045749683,0.036654726,0.9175956,Neu,0.009094957,muddywatersre
66,2018-02-09 02:38:01,"Excerpt from CB declaration in suit against Dupré Analytics (Muddy Waters, LLC) - discussing link to Zhongwang $1333 HK: ""When lenders and shareholders try to recoup their funds, they will find that Zhongwang will have neither the funds nor aluminum to repay them.""  ",0,1,1,1,6,16,0.032209706,0.1012849,0.86650544,Neu,-0.0690752,muddywatersre
70,2018-02-08 23:50:02," To that point, the author writes about Buffett “He protects your experience of the lifestyle he sells in a way that someone living that lifestyle should be incapable of.”",0,1,1,0,0,0,0.05860604,0.057913605,0.88348037,Neu,0.0006924346,muddywatersre
91,2018-01-14 15:23:01,    Neutrality is exchanges having an equal interest in both stocks doing well (eg trading 1 mm shares). Having superior economics in a particular security doing well non-neutral. Particularly when that sec could help distort the market. Thx for feedback :),0,1,1,0,0,1,0.21433388,0.012505754,0.7731604,Neu,0.20182812,muddywatersre
