,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-30 18:25:04,$VRAR starting ?  compare to $VERI in 2017 was also only low float pure play on white hot theme and that squeezed to $74 .... $FB is going ALL IN on the VR AR tech .... so is $AAPL $GOOGL etc etc ... theme me up pal,1,1,0,2,5,20,0.121565126,0.22856435,0.6498705,Neu,-0.106999226,super_trades
1,2021-07-30 15:41:01,$VRAR reversal HOTTEST theme $FB all in and $VRAR pure play low float akin to $VERI for AI in 2017 see chart (not investment advice) $fb,0,1,0,0,5,15,0.058728684,0.055033244,0.8862381,Neu,0.0036954395,super_trades
2,2021-07-29 15:10:00,$VRAR reversal HOTTEST theme $FB all in and $VRAR pure play low float akin to $VERI for AI in 2017 see chart (not investment advice),0,1,0,1,1,9,0.043158848,0.05030072,0.9065405,Neu,-0.0071418732,super_trades
3,2021-07-29 14:49:03,$VRAR HOTTHEME PUREPLAY LOWFLOAT   $FC Mark Zuckerberg wants you to inhabit an alternate universe. Facebook's spending billions on a metaverse where users can interact with each other virtually.,0,1,1,2,1,17,0.053673368,0.016782314,0.9295443,Neu,0.036891054,super_trades
4,2021-07-29 13:28:03,$QUBT gapper Quantum PurePlay $AMZN partner Software that bridges classic computing to quantum.  FIrst mover.  Theme In trials with large companies with initial great feedback,0,1,0,0,3,14,0.57808834,0.008637296,0.4132743,Pos,0.56945103,super_trades
5,2021-07-28 15:43:02,"$QUBT so strong.  Quantum computing software pure play, in trials with large customers and partners with $AMZN Bracket.",0,1,0,0,3,16,0.76301396,0.008524802,0.22846128,Pos,0.7544892,super_trades
6,2021-07-26 19:29:00,"$QUBT $AMZN Richard Moulds, General Manager, Amazon Braket, AWS. ""Services like QCI's Qatalyst are important in making quantum computing accessible to a broader audience and helping customers explore how to combine classical and quantum computation.",0,1,0,1,3,5,0.33504367,0.0075785825,0.6573777,Neu,0.3274651,super_trades
7,2021-07-26 19:05:02,from April  13 $QUBT partners with $AMZN for quantum computing SAAS how hot is that ???  ,0,1,0,0,4,16,0.10749644,0.018286692,0.87421685,Neu,0.08920975,super_trades
8,2021-07-22 16:40:02,OH MY ! $QUTB is a partner with $AMZN ?  Amazon Bracket is part of AWS !  ,0,1,0,2,2,9,0.025968239,0.021925107,0.95210665,Neu,0.004043132,super_trades
9,2021-07-01 20:07:00,Wow $VRAR works with $GOOGL $SNAP Samsung and many others VR/AR hot.sector and low float here :  ,0,1,0,1,16,31,0.060968492,0.015962353,0.9230692,Neu,0.04500614,super_trades
10,2021-06-10 20:02:03, $EGLD could be like the amazon web services of blockchain imo  (Not investment advice as always do own DD and have own trade plan),1,1,1,1,7,8,0.04012817,0.014282949,0.9455888,Neu,0.025845222,super_trades
11,2021-05-30 18:50:03,$GLBE partners $SHOP $FB $IBM $SAP $PYPL $CRM $BIGC  ,0,0,0,1,3,5,0.2038895,0.017062886,0.7790476,Neu,0.18682662,super_trades
12,2021-05-21 15:25:04,Zash is $BBIG + $FB :,0,1,0,0,4,5,0.04205672,0.016281217,0.9416621,Neu,0.025775503,super_trades
13,2021-05-12 20:24:01,"$TDAC -&gt; ""If the vision for the company plays out,   could potentially become the Uber or Amazon of gambling and in the long run could become worth over $100bil. ""   Building A Gambling Conglomerate  ",0,1,1,7,17,39,0.18370765,0.0078088343,0.8084835,Neu,0.17589882,super_trades
14,2021-04-26 16:40:01,$TDAC CEO - they will be “global gaming center”. the $AMZN of games of chance….  very LOW customer acquisition costs,0,0,1,1,4,34,0.116074264,0.008954093,0.8749717,Neu,0.10712017,super_trades
15,2021-04-26 16:27:05,"$TDAC   all games of chance , sports betting , online casino etc… one stop shop for lottery and games of chance the $AMZN of games of chance",0,1,0,0,4,23,0.027320366,0.024552684,0.9481269,Neu,0.002767682,super_trades
16,2021-04-14 02:59:04,   great interview    $TDAC  the $AMZN of games of chance !!!,0,0,0,0,1,18,0.09580629,0.019795602,0.8843981,Neu,0.07601069,super_trades
17,2021-04-13 14:40:00,$TDAC counts  $GOOGL and $AMZN customers as they also sell lottery data ( high margin 75-95% )  ,0,1,0,3,9,30,0.059532233,0.011968373,0.92849946,Neu,0.04756386,super_trades
