,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2018-04-01 22:09:03," These are all fun ideas, but for now I'd just like to see a really stable and responsive version of TweetDeck.",0,1,1,1,0,0,0.15960105,0.010144205,0.83025473,Neu,0.14945684,ivanthek
1,2018-04-01 22:06:05, People have outrage fatigue because of all the abnormalities displayed by this man. Any one of these things in a normal admin would trigger a media conflagration.,1,1,1,1,0,0,0.014545142,0.7937505,0.19170427,Neg,-0.7792054,ivanthek
4,2018-04-01 21:42:04,"You can argue it is purposeful gaslighting, but that would lend credibility to a claim that there is a strategy at work here by POTUS. There is no evidence to support this, IMO. Normalizing this kind of ignorance is dangerous.",0,1,1,4,0,28,0.034251366,0.4740026,0.4917461,Neu,-0.43975124,ivanthek
5,2018-04-01 21:39:00,"Self-evident example of the cognitive deficit in the Oval Office. It's not a subjective debate. He just does not grasp the DACA matter adequately. That, however, will not deter him from boldly making nonsensical pronouncements like this.  ",0,1,1,1,5,22,0.04012835,0.36330745,0.59656423,Neu,-0.3231791,ivanthek
21,2018-03-29 03:04:01, I think he will conclude that he’s in over his head.,0,1,1,1,0,1,0.05009552,0.7189076,0.23099688,Neg,-0.6688121,ivanthek
22,2018-03-29 02:48:00,Prediction: Admiral Ronny Jackson will withdraw his name from consideration before the confirmation vote.,0,0,1,5,2,22,0.01865049,0.5043573,0.47699228,Neg,-0.48570678,ivanthek
27,2018-03-27 01:17:02,“A tall glass of shut up” is a new legal term I learned today. I may need to work this into casual conversation.   inners,1,1,1,36,76,479,0.056174994,0.049977787,0.8938472,Neu,0.0061972067,ivanthek
36,2018-03-24 18:36:01,"REMINDER:  We, the people, can amend the Second Amendment to the Constitution.  MarchForOurLives",0,0,1,5,6,46,0.09991054,0.013014238,0.8870752,Neu,0.0868963,ivanthek
39,2018-03-24 00:30:04, Because now GOP will use it to justify cutting entitlements.,0,1,1,0,0,1,0.16385823,0.081699744,0.75444204,Neu,0.08215849,ivanthek
41,2018-03-23 16:04:05,"Unless China has to stem its own capital outflows, why would they sell their USTs? What would they do with the dollars? Buy Euros? Buy US golf courses? Ask Japan how that worked out.",1,1,1,9,2,23,0.055629447,0.023252856,0.9211177,Neu,0.03237659,ivanthek
44,2018-03-22 20:44:03,Let's say you genuinely wanted to improve asymmetries in trade policies with China. This is not the way you would address the issue—unless you didn't know wtf you were doing.,1,1,1,5,5,22,0.09022858,0.02839919,0.8813722,Neu,0.06182939,ivanthek
54,2018-03-21 11:18:01,"I can picture this clown, sitting on his bed in his bathrobe, repeatedly pausing and rewinding the DVR so he can selectively and illiterately transcribe on his iPhone an opinion expressed on Fox News.",1,1,1,3,9,54,0.024423014,0.27048287,0.7050941,Neu,-0.24605985,ivanthek
59,2018-03-20 19:39:05,"If I pulled this crap, I'd be sleeping on that table.  ",1,1,1,4,6,38,0.03342035,0.2997643,0.66681534,Neu,-0.26634395,ivanthek
63,2018-03-20 18:23:02,"""The spice must flow.""  ",0,0,1,1,0,11,0.18503727,0.019859446,0.79510325,Neu,0.16517782,ivanthek
80,2018-03-20 12:14:00,"""What's all this talk I hear about a Deep Steak Conspiracy? Is this some kind of plot by vegans to take over the world? We can't let these leaf eaters thwart our carnivorous objectives. This must be stopped!""  ",1,1,1,5,2,21,0.032018688,0.47581035,0.49217102,Neu,-0.44379166,ivanthek
82,2018-03-20 11:27:02,Wife and I are traveling to Europe in the spring and plan to spend a couple of days in Florence. Where should we stay? What should we see? Where should we eat? Tyia.,0,1,1,54,0,23,0.035432987,0.04244276,0.92212427,Neu,-0.0070097744,ivanthek
87,2018-03-20 02:53:00,Hard to see how this could be avoided given the overhang of contingent liabilities. Asset deals more likely.  ,1,1,1,0,0,1,0.04466329,0.12794241,0.82739425,Neu,-0.08327912,ivanthek
89,2018-03-20 02:43:01, he'll never testify under oath.,0,0,1,1,0,0,0.028878951,0.055608302,0.91551274,Neu,-0.02672935,ivanthek
90,2018-03-20 02:16:02,This scene will be in the future movie.  ,0,0,1,2,0,4,0.030329714,0.037870876,0.9317994,Neu,-0.007541163,ivanthek
100,2018-03-20 00:42:02,Never would have guessed Nixon would be a Thing 2. inners,1,1,1,0,0,3,0.040075034,0.031353943,0.928571,Neu,0.008721091,ivanthek
105,2018-03-19 23:29:01,This is from a tax software program. I think the owner should get his money back.  ,0,1,1,0,5,10,0.103213444,0.027945682,0.8688409,Neu,0.07526776,ivanthek
107,2018-03-19 22:34:03,How vested is Sandberg in her $FB stock. This could be a good time for a CEO recruiter to make a move.,0,1,1,5,1,15,0.04606628,0.027731858,0.9262018,Neu,0.018334422,ivanthek
111,2018-03-19 22:04:02,Will US news networks show excerpts from the  exposé on Cambridge Analytica?,0,1,1,3,3,4,0.030058281,0.03243882,0.93750286,Neu,-0.0023805369,ivanthek
114,2018-03-19 21:32:04,This is the time of year when President Fiorina's 3-page tax code would have come in handy.,1,1,1,0,2,9,0.16381757,0.016372379,0.81981003,Neu,0.14744519,ivanthek
122,2018-03-19 19:41:04,"  This, I will stream.",0,0,1,1,0,1,0.046881948,0.020728514,0.93238956,Neu,0.026153434,ivanthek
154,2018-03-19 02:53:02,"‘I don't even watch (NCAA Tournament) games. I usually watch ""One Shining Moment."" Being able to see my shot, listening to that music, my parents will probably send me video of it.’  ",0,1,1,0,1,5,0.033591717,0.05105042,0.9153579,Neu,-0.017458703,ivanthek
157,2018-03-19 00:47:00, This could be the tip of the iceberg with respect to this particular infraction.,0,0,1,0,0,0,0.05022192,0.4192373,0.53054076,Neu,-0.36901537,ivanthek
158,2018-03-19 00:42:04,"You should probably trademark a name for this generation,  Tom, if you know what I mean.  ",0,1,1,2,1,9,0.061615113,0.021127444,0.9172574,Neu,0.04048767,ivanthek
161,2018-03-18 23:38:03,"""There must be some kind of way out of here,"" said the joker to the thief.  ",1,0,1,4,3,54,0.060785014,0.108187,0.83102804,Neu,-0.047401983,ivanthek
173,2018-03-18 13:03:01,"So far, it appears that Donald Trump thinks he is in control of events, rather than the other way around. We will know when that changes when he starts to reintroduce ""the system is rigged"" into his rhetoric.  Timestamp",1,1,1,2,2,16,0.032119583,0.03385623,0.9340242,Neu,-0.0017366484,ivanthek
175,2018-03-18 12:47:05,"This will probably fly under the radar, but will probably be more newsworthy than the Stormy Daniels/60 Minutes interview.  ",0,0,1,1,4,26,0.14625499,0.011839082,0.84190595,Neu,0.13441591,ivanthek
177,2018-03-18 12:30:05,"The president of the United States is paving a path for a constitutional crisis. You might also do this, if your past participation in money-laundering and/or tax evasion activities was on the brink of being exposed and prosecuted.",1,1,1,3,15,56,0.044731125,0.25952515,0.69574374,Neu,-0.21479402,ivanthek
179,2018-03-18 12:23:01, Can you please ask any of your guests if they have first-hand knowledge of actual communication between a NORTH Korean official and the Trump Administration regarding plans for a summit meeting?,0,1,1,1,1,6,0.04228131,0.01788532,0.9398334,Neu,0.024395991,ivanthek
180,2018-03-18 12:21:01, Can you please ask any of your guests if they have first-hand knowledge of actual communication between a NORTH Korean official and the Trump Administration regarding plans for a summit meeting?,0,1,1,0,0,0,0.04228131,0.01788532,0.9398334,Neu,0.024395991,ivanthek
