,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
5,2021-08-03 17:15:05,"Microsoft will require vaccinations for U.S. workers, vendors, office visitors $MSFT",0,0,1,3,5,18,0.055062197,0.022828715,0.92210907,Neu,0.032233484,the_real_fly
16,2021-07-28 20:24:01,Google will require COVID-19 vaccine for U.S. employees to step into campuses $GOOGL,0,0,1,10,4,24,0.030683676,0.050818924,0.9184974,Neu,-0.020135248,the_real_fly
18,2021-07-26 21:45:01,"Facebook, Twitter, Microsoft, YouTube, and others will now add content from white supremacist and far-right militias to a key counterterrorism database $FB, $TWTR, $MSFT, $GOOGL",1,0,1,6,5,16,0.04411647,0.020527484,0.9353561,Neu,0.023588987,the_real_fly
22,2021-07-23 15:44:01,"Credit Suisse hikes Alphabet target to a Street high, says stock will rise 30% $GOOGL",0,1,1,2,5,14,0.93800867,0.021666659,0.040324643,Pos,0.916342,the_real_fly
37,2021-07-06 17:15:01,"JPMorgan: Apple usually outperforms from July to September, and it will again $AAPL",0,1,1,2,2,20,0.5054661,0.4215144,0.07301957,Pos,0.08395171,the_real_fly
46,2021-06-29 15:34:02,"$AMZN Inc. is buying exclusive rights to “SmartLess,” the podcast hosted by actors Will Arnett, Jason Bateman and Sean Hayes, hoping the celebrity-interview program can draw more listeners to its subscription-based music service",1,1,1,2,2,4,0.62857556,0.009357972,0.36206648,Pos,0.6192176,the_real_fly
47,2021-06-29 15:31:05,"Microsoft and OpenAI have a new A.I. tool that will give coding suggestions $MSFT, $AI",0,1,1,0,1,3,0.11527029,0.009608386,0.87512136,Neu,0.1056619,the_real_fly
65,2021-06-01 04:08:02,"“A blockchain platform like Ethereum could potentially become a large market for vendors of trusted information, like Amazon is for consumer goods today.” — Goldman",0,1,1,15,22,188,0.4744293,0.009263202,0.5163075,Neu,0.46516612,the_real_fly
71,2021-05-26 15:49:02,Drugstore stocks fall on report that Amazon may open brick-and-mortar pharmacies $AMZN,0,1,1,2,2,13,0.009821042,0.96207875,0.028100258,Neg,-0.9522577,the_real_fly
78,2021-05-20 15:26:01,Google’s first retail store will open in New York this summer $GOOGL,1,0,1,1,2,11,0.08951815,0.010850957,0.89963084,Neu,0.07866719,the_real_fly
83,2021-05-19 19:15:02,Amazon says vaccinated workers can ditch masks starting next week $AMZN  Un-Vaxxed KEEP YOUR MASKS ON,0,1,1,6,3,28,0.03628528,0.11937562,0.844339,Neu,-0.083090335,the_real_fly
90,2021-05-17 19:47:01,"Amazon Inc. investors should vote in favor of an independent racial audit at the world’s largest online retailer, said Institutional Shareholder Services Inc., a proxy firm that previously advised stockholders to vote against similar resolutions at large U.S. banks. $AMZN",1,0,1,1,3,5,0.09884701,0.026886094,0.87426686,Neu,0.07196091,the_real_fly
108,2021-05-03 14:44:00,Facebook oversight board to announce decision on Trump ban on May 5 $FB,0,0,1,2,1,4,0.032488577,0.3246822,0.64282924,Neu,-0.29219362,the_real_fly
109,2021-04-29 16:29:03,Facebook Inc on Thursday said it will give $5 million to pay local journalists in multiyear deals as part of its new publishing platform to help independent writers attract an audience and make money through the social media network. $FB,1,1,1,4,2,7,0.41394565,0.009179943,0.5768744,Neu,0.4047657,the_real_fly
113,2021-04-27 15:41:02,"Spotify launches paid podcasts, creators could make more money than with Apple $SPOT",1,1,1,0,1,9,0.10124881,0.013032709,0.8857185,Neu,0.088216096,the_real_fly
129,2021-04-12 02:58:02,"Microsoft in advanced talks to buy Nuance for about $16 billion, announcement could come Monday  $NUAN",0,0,1,0,5,16,0.06524703,0.01019016,0.92456275,Neu,0.05505687,the_real_fly
132,2021-04-09 06:02:01,"Apple reportedly will adopt LTPO (low-temperature polycrystalline oxide) backplane technology for OLED displays in its premium iPhones to be launched later in 2021, according to industry sources.",1,1,1,2,6,16,0.25897935,0.008666428,0.7323542,Neu,0.25031292,the_real_fly
137,2021-04-06 02:35:05,"Google will stop using Oracle’s finance software and adopt SAP instead $ORCL, $SAP",1,1,1,1,1,11,0.0260087,0.028675757,0.94531554,Neu,-0.0026670583,the_real_fly
139,2021-04-03 21:37:04,"Microsoft could become the ‘Netflix of gaming,’ says Morgan Stanley",0,1,1,8,7,44,0.44665894,0.011949862,0.54139113,Neu,0.43470907,the_real_fly
194,2021-02-17 20:41:04,Facebook will ban Australian users from sharing or viewing news $FB,0,1,1,2,4,17,0.017028362,0.5718423,0.41112927,Neg,-0.554814,the_real_fly
201,2021-02-08 15:56:05,"Apple may be the next big company to buy bitcoin, RBC says $AAPL",0,1,1,5,10,51,0.13416713,0.00913026,0.8567027,Neu,0.12503688,the_real_fly
209,2021-02-02 21:08:01,"Amazon: Founder and CEO Jeff Bezos will transition to role of Executive Chair in Q3, Andy Jassy to become Chief Executive Officer of Amazon at that time ***",0,1,1,2,6,22,0.038452234,0.017158791,0.944389,Neu,0.021293443,the_real_fly
232,2021-01-19 04:30:03,MY PILLOW GUY GETS DROPPED FROM KOHLS AND BED BATH AND BEYOND *  When will google de-index him?,0,0,1,24,19,144,0.022391057,0.42948282,0.5481261,Neu,-0.40709177,the_real_fly
235,2021-01-15 18:57:04,"6,000 Amazon warehouse workers will vote to unionize in Alabama on Feb. 8 $AMZN",0,0,1,3,3,29,0.0408259,0.29012468,0.6690494,Neu,-0.24929878,the_real_fly
239,2021-01-13 13:14:01,"It will also launch the Apple Developer Academy to support coding students in Detroit, and venture capital funding for Black and Brown founders. $AAPL",0,1,1,2,1,3,0.30506194,0.0076450594,0.687293,Neu,0.29741687,the_real_fly
245,2021-01-12 00:49:03,Amazon should cancel prime memberships for Trump voters,0,0,1,47,36,429,0.010654281,0.8766756,0.11267015,Neg,-0.86602134,the_real_fly
249,2021-01-10 18:27:00,"For $AAPL to maintain moral purity, they should refuse to sell phones to convicted felons",1,0,1,13,17,138,0.052741423,0.06702017,0.8802384,Neu,-0.014278747,the_real_fly
256,2021-01-07 16:02:02,Facebook will block Trump from posting for the remainder of his term,0,1,1,6,8,34,0.014161244,0.71867335,0.2671654,Neg,-0.7045121,the_real_fly
347,2020-11-12 20:18:04,"Google breakup should ‘be on the table’ says Sen. Klobuchar, a possible AG pick $GOOGL",0,1,1,6,2,26,0.21531689,0.02597101,0.7587121,Neu,0.18934588,the_real_fly
358,2020-11-09 18:23:03,"JPMorgan says vaccine news could take the S&P 500 as high as 4,500 next year",0,1,1,4,5,27,0.78971994,0.14038745,0.069892615,Pos,0.6493325,the_real_fly
363,2020-10-30 23:10:03,"Apple says some AirPods Pro have sound problems, will fix for free **",1,1,1,4,1,27,0.35942692,0.028855842,0.61171734,Neu,0.3305711,the_real_fly
393,2020-10-22 17:19:05,Facebook will start charging for WhatsApp Business services,0,1,1,0,1,4,0.056329668,0.016302964,0.9273673,Neu,0.040026702,the_real_fly
398,2020-10-21 13:46:00,Amazon will let some employees work from home until mid-2021,0,1,1,1,1,10,0.039451484,0.024468321,0.9360802,Neu,0.014983162,the_real_fly
425,2020-10-14 19:12:00,"Facebook Inc. said it will reduce distribution of a story in the New York Post about Democratic presidential candidate Joe Biden, seeking to slow the pace of its spread before the social network’s fact-checkers have a chance to evaluate its authenticity $FB",1,1,1,3,6,16,0.01027389,0.9124215,0.077304594,Neg,-0.90214765,the_real_fly
432,2020-10-13 17:32:01,Facebook says it will finally ban anti-vaccination ads $FB,0,1,1,2,1,3,0.043106716,0.33511823,0.62177503,Neu,-0.29201153,the_real_fly
439,2020-10-12 17:02:02,"Facebook reverses stance on Holocaust denial, will ban it now $FB **",0,1,1,0,1,5,0.024573773,0.56863374,0.4067925,Neg,-0.54406,the_real_fly
440,2020-10-09 18:19:02,Microsoft will let employees work from home half the time,0,0,1,3,2,4,0.026026305,0.08701945,0.8869542,Neu,-0.060993146,the_real_fly
444,2020-10-08 15:50:00,Morgan Stanley says new iPhone will drive Apple’s stock outperformance,1,1,1,3,2,5,0.7300663,0.23739074,0.032542977,Pos,0.49267554,the_real_fly
498,2020-09-22 22:26:00,Amazon signals Prime Day will start Oct. 13,0,0,1,1,3,23,0.021513237,0.034884095,0.9436027,Neu,-0.0133708585,the_real_fly
512,2020-09-17 20:41:03,"$FB CEO Mark Zuckerberg outlined to employees a new set of principles to guide debates and conversations within Workplace, the company’s internal social network.  Zuck said that Facebook will ensure all employees feel supported at work, especially the company’s Black community.",1,1,1,1,1,0,0.23469426,0.011470804,0.753835,Neu,0.22322345,the_real_fly
528,2020-09-14 14:03:01,"Goldman says this ‘warp speed correction’ will pass, S&P 500 to rebound 8%",0,1,1,9,5,25,0.9235833,0.047367238,0.029049534,Pos,0.8762161,the_real_fly
544,2020-09-10 15:21:03,Amazon hires first head of space policy  Mr. Rumfoord will be a great job,0,0,1,0,1,3,0.6135663,0.013858702,0.37257496,Pos,0.5997076,the_real_fly
581,2020-09-01 17:13:01,"Apple, Google will build coronavirus contact tracing right into your phone",0,1,1,12,4,17,0.028511407,0.027246429,0.9442422,Neu,0.0012649782,the_real_fly
601,2020-08-26 17:30:01,Facebook warns Apple’s iOS 14 could shave more than 50% from Audience Network revenue,1,1,1,6,1,8,0.021426048,0.9467628,0.031811237,Neg,-0.9253368,the_real_fly
607,2020-08-25 15:02:03,"Citigroup raises S&P 500 outlook, says the Fed will do ‘whatever it takes’",0,1,1,1,2,10,0.25138754,0.036839057,0.7117734,Neu,0.21454848,the_real_fly
609,2020-08-25 03:43:01,"Salesforce will replace Exxon Mobil, Amgen will replace Pfizer and Honeywell International will replace Raytheon Technologies  $CRM, $XOM, $AMGN, $HON, $RTN  I'm old enough to remember when $HON got booted from the Dow 30",1,1,1,5,6,25,0.0397229,0.032086246,0.9281908,Neu,0.007636655,the_real_fly
630,2020-08-18 15:29:02,U.S. Treasury's Mnuchin says any deal for TikTok will protect U.S. data  Now do Google,0,1,1,0,6,17,0.24262477,0.015736902,0.7416383,Neu,0.22688787,the_real_fly
649,2020-08-12 19:09:00,Apple’s split will end dominance of Dow Average’s top influencer,1,0,1,0,1,5,0.11599184,0.1381124,0.7458958,Neu,-0.022120558,the_real_fly
659,2020-08-09 21:56:03,"The Sears and J.C. Penney locations could give Amazon more fulfillment center space, closer to customers, where delivery drivers could come unload and pick up packages.",0,0,1,1,1,12,0.64911026,0.016056556,0.33483312,Pos,0.6330537,the_real_fly
677,2020-08-05 16:09:04,Microsoft could buy TikTok for as much as $30 billion  $20b haircut. Thanks ,0,0,1,1,0,9,0.14247741,0.010666035,0.8468566,Neu,0.13181138,the_real_fly
685,2020-08-04 03:59:02,Trump says Microsoft should pay ‘key money’ to Treasury for facilitating TikTok deal,0,1,1,9,2,23,0.3515645,0.02167867,0.62675685,Neu,0.32988584,the_real_fly
724,2020-07-16 14:51:04,Facebook's Instagram will introduce new shopping page,0,0,1,0,2,9,0.17793465,0.010777212,0.8112881,Neu,0.16715744,the_real_fly
730,2020-07-15 04:19:05, Google would never do this,0,0,1,4,4,73,0.024789438,0.16360943,0.81160116,Neu,-0.13881999,the_real_fly
739,2020-07-13 18:49:00,Goldman says Biden tax plan could cut S&P 500 earnings by 12%,0,1,1,2,5,27,0.013059969,0.96975785,0.017182263,Neg,-0.9566979,the_real_fly
744,2020-07-11 02:03:02,I wonder if the next season of Ozark will show Marty Byrd selling cabinets and pillows on Amazon and pillows,0,1,1,3,2,48,0.03977147,0.02657771,0.9336508,Neu,0.013193762,the_real_fly
761,2020-07-08 16:56:05,"'Weaponized' Facebook fails to protect civil rights, audit says  if only we could stop people from saying things",1,1,1,2,3,13,0.030883456,0.37584618,0.59327036,Neu,-0.34496272,the_real_fly
768,2020-07-07 17:40:05,Facebook Folds: Will Now Police Speech After Advertiser Exodus,0,0,1,8,7,20,0.017566452,0.21066852,0.771765,Neu,-0.19310206,the_real_fly
785,2020-06-30 14:30:01,"Will $NKE, $AAPL, $AMZN, $GOOGL and $FB follow $NFLX courageous leadership and earmark cash to black owned banks? And if no, why not?      ",0,1,1,4,5,15,0.06377712,0.015416328,0.9208066,Neu,0.04836079,the_real_fly
794,2020-06-26 21:20:01,Zuckerberg: Facebook will prohibit hate speech in its ads,0,0,1,5,0,11,0.02955578,0.19046433,0.7799799,Neu,-0.16090855,the_real_fly
801,2020-06-25 20:51:00,Apple will re-close 14 stores in Florida because of rising Covid-19 rates,0,1,1,1,6,19,0.009551615,0.9701255,0.02032294,Neg,-0.96057385,the_real_fly
802,2020-06-25 20:50:04,Amazon will name a new stadium in Seattle the Climate Pledge Arena  lol,0,0,1,9,0,46,0.12732464,0.009303054,0.86337227,Neu,0.118021585,the_real_fly
813,2020-06-23 19:09:04,Microsoft said it would double the number of Black-owned businesses on its approved supplier list over the next three years and spend an additional US$500 million with these and existing suppliers.,1,1,1,2,2,5,0.8918204,0.008615816,0.09956381,Pos,0.8832046,the_real_fly
814,2020-06-23 19:09:02,Microsoft will also invest to boost the number of Black-owned companies in its U.S. partner network and expand an existing justice reform initiative with a US$50 million program over five years.,0,1,1,0,0,4,0.9281826,0.009682751,0.06213455,Pos,0.9184998,the_real_fly
815,2020-06-23 19:08:04,Microsoft Corp. said it will add US$150 million to its diversity and inclusion investment while working to double the number of Black employees in senior and leadership positions at the company by 2025. **,1,1,1,3,3,5,0.75859165,0.012580614,0.22882771,Pos,0.746011,the_real_fly
909,2020-06-02 20:57:02,DOW +232 -- god willing inventory drawdowns will occur en masse tonight,1,0,1,7,3,56,0.012163311,0.9250285,0.062808186,Neg,-0.91286516,the_real_fly
952,2020-05-22 21:39:05,"Amazon Prime Air will grow to 200 planes, rival UPS, study says",0,1,1,0,5,9,0.7336074,0.0072625848,0.25912994,Pos,0.7263448,the_real_fly
958,2020-05-21 20:06:04,"Facebook will ramp up remote hiring, Mark Zuckerberg says",0,1,1,1,4,3,0.7322765,0.021941023,0.24578245,Pos,0.7103355,the_real_fly
959,2020-05-21 20:00:00,Zuckerberg: 50% of Facebook employees could be working remotely in 5 to 10 years,0,1,1,0,2,9,0.032451775,0.03655522,0.93099296,Neu,-0.0041034445,the_real_fly
1026,2020-05-07 16:03:00,Cramer: Coronavirus could build Beyond Meat into a giant like Amazon or Facebook  SMOKING CRACK,0,0,1,46,23,424,0.027321996,0.04598669,0.9266913,Neu,-0.018664693,the_real_fly
1057,2020-04-30 22:10:02,"Amazon sees $4 billion in COVID-19-related costs, may not make second-quarter profit $AMZN",0,1,1,1,2,13,0.034740556,0.88206273,0.083196774,Neg,-0.84732217,the_real_fly
1077,2020-04-29 21:20:05,"Microsoft beats by $0.15, beats on revs, will guide on call; COVID had minimal impact on sales   $MSFT",1,0,1,0,1,3,0.63893926,0.027662072,0.33339873,Pos,0.61127716,the_real_fly
1104,2020-04-24 02:37:02,"Amazon Inc. may have misled Congress when a company lawyer testified last year that the online retailer doesn’t use data it collects on sales to favor its own products over third-party sellers, the chairman of the House Judiciary Committee said.",1,1,1,0,1,13,0.02879324,0.7860565,0.18515027,Neg,-0.7572633,the_real_fly
1115,2020-04-23 18:01:02,"DOW +172. We do not need a cure. One day you will wake up and POOF, COVID-19 will be gone.",1,1,1,7,9,66,0.028317632,0.4088827,0.56279963,Neu,-0.38056508,the_real_fly
1159,2020-04-17 02:23:00,If the Fed did not bail everyone out -- where would the Dow be now?,1,0,1,8,6,6,0.026611205,0.31725878,0.65613,Neu,-0.29064757,the_real_fly
1169,2020-04-16 15:35:00,"Credit rating agency S&P Global slashed its global forecasts on Thursday, predicting coronavirus lockdowns would now see the world economy contract 2.4% this year and cause the United States and euro zone to slump 5.2% and 7.3% respectively.",1,1,1,0,2,5,0.0113155665,0.97182906,0.016855426,Neg,-0.9605135,the_real_fly
1183,2020-04-15 14:21:02,Amazon warns it could suspend activities in France after court ruling,0,1,1,0,3,5,0.009929608,0.9053669,0.084703505,Neg,-0.8954373,the_real_fly
1205,2020-04-11 03:53:03,Trump: U.S. could impose visa sanctions on countries not accepting deportees,0,1,1,1,2,8,0.025417015,0.6901475,0.2844354,Neg,-0.6647305,the_real_fly
1225,2020-04-08 02:53:02,Amazon Inc will suspend a delivery service that aims to compete with UPS and FedEx in the United States. ,0,1,1,1,3,16,0.009206321,0.90990305,0.08089072,Neg,-0.90069675,the_real_fly
1288,2020-04-02 00:32:01,"If the government really wanted to give Americans money right away, they could’ve given the money to $AMZN and have us transfer it to our banks from prime.",1,1,1,8,10,63,0.08699961,0.014692077,0.89830834,Neu,0.072307535,the_real_fly
1485,2020-03-16 21:25:00,"$AMZN will hire 100,000 people -- and give U.S. workers a $2 an hour raise in an effort to meet crushing demand from customers placing online orders for household essentials rather than going to crowded stores.",1,1,1,1,6,29,0.84890926,0.018696995,0.13239375,Pos,0.83021224,the_real_fly
1566,2020-03-10 15:47:00,Royal Caribbean may be cut to junk by S&P on virus travel impact $RCL,1,0,1,0,2,4,0.010874153,0.95043856,0.038687225,Neg,-0.9395644,the_real_fly
1570,2020-03-10 14:50:03,A senior official at S&P Global said on Tuesday that Italy's sovereign credit rating would only be at risk if the coronavirus outbreak hurt the country's long-term growth potential.,1,0,1,0,0,0,0.03683448,0.90161985,0.06154576,Neg,-0.8647854,the_real_fly
1577,2020-03-10 02:30:04,"Citizens of the United Kingdom, Denmark, Norway, Finland, Sweden, France, Germany, Spain will temporarily not be able to use the visa-waiver program, Vietnam's Prime Minister Nguyen Xuan Phuc announced at a govt meeting focused on virus prevention and control in Hanoi on Monday",1,0,1,0,1,3,0.034526084,0.74216765,0.22330624,Neg,-0.70764154,the_real_fly
1599,2020-03-09 10:22:00,"Looks like the Dow will open down around 1,500.",0,0,1,4,9,41,0.009200002,0.9469989,0.04380107,Neg,-0.9377989,the_real_fly
1604,2020-03-09 00:50:00,"Market will bottom when the Dow hits 6,666",0,1,1,4,1,50,0.013971392,0.8474599,0.13856873,Neg,-0.8334885,the_real_fly
1677,2020-02-20 17:41:00,"The amount of debt owed by the world’s governments will jump to a record $53 trillion by the end of the year, S&P Global estimated on Thursday, with $8.1 trillion set to borrowed this year alone.",1,0,1,1,0,3,0.60973406,0.055573225,0.33469275,Pos,0.55416083,the_real_fly
1678,2020-02-20 12:54:05,"Using Facebook Inc.’s “like” or “share” button to distribute right-wing or anti-semitic material could be a crime if the information ends up being circulated to a third party, Switzerland’s top court ruled. $FB",1,1,1,0,1,1,0.031088319,0.3551502,0.6137615,Neu,-0.32406187,the_real_fly
1679,2020-02-19 00:39:01,"The European Commission will on Wednesday launch the first of a raft of proposals to help European companies exploit their rich trove of industrial data and at the same time rein in online giants Facebook Inc, Alphabet Inc's Google and Amazon",1,1,1,0,2,2,0.71331644,0.011584696,0.27509883,Pos,0.70173174,the_real_fly
1740,2019-12-11 01:02:00,"Here's why rates can never go up. Nothing to see here, totally normal. $FB, $AMZN, $CRM, $HD, $GOOGL, $DIS, $T. I can do this all day long and show same results.  ",0,1,1,13,18,86,0.079614215,0.027859647,0.89252615,Neu,0.051754568,the_real_fly
1774,2019-10-11 18:11:00, I never had a copper pot that was in disrepair. Should be simple enough. Google is your friend.,1,1,1,1,0,1,0.04097376,0.028636133,0.93039006,Neu,0.012337627,the_real_fly
1776,2019-10-11 00:39:01, Why would I argue opposite? It's always stockFAGS who compare gold to SPX.,1,1,1,2,0,0,0.056469224,0.075442255,0.8680885,Neu,-0.01897303,the_real_fly
1777,2019-10-11 00:32:02, And why would you compare gold to SPX?,0,0,1,1,0,0,0.040746383,0.05866483,0.90058875,Neu,-0.017918445,the_real_fly
1779,2019-10-11 00:26:01,"So let's discuss this FIAT dick suckers. Dollar is down 87% since 1967. But gold, managed by those insects is up 3,900%. The price of gold was $38 then. Your argument is what -- ""should've bought $SPY?"" FUCK OFF.  ",1,1,1,15,14,115,0.028067594,0.82150674,0.15042569,Neg,-0.79343915,the_real_fly
1792,2019-08-20 22:26:04,"RESULTS FROM MY PHONE CONVO WITH TWITTER: Essentially they wanted to know my feelings on fake news on platform and if I thought they should censor and/or add fact checkers into the stream. For my 30min time, they gave me $100 Amazon gift card.",1,0,1,1,0,15,0.04760207,0.030352155,0.92204577,Neu,0.017249914,the_real_fly
1803,2019-07-31 03:16:00,Betting on a Trump second term is like betting on whether $AAPL would get to a trillion in market cap while in the $900 billions. No brainer trader.,0,1,1,2,2,15,0.059519712,0.021493457,0.9189868,Neu,0.038026255,the_real_fly
1806,2019-07-21 18:28:04,"This is actually a smart idea by $FB. Kids get pressured to remove content if it doesn't get enough likes. Without likes, IG will get more content  ",1,1,1,1,3,11,0.02178019,0.64448154,0.33373827,Neg,-0.62270135,the_real_fly
1809,2019-07-18 16:00:05,"  Good luck, bro. And for the record, my fucking gold trade is masterful. You could only wish to trade even 1% as good as me, on one of my really bad days. BTW: Who the fuck are you?",0,1,1,1,0,1,0.083042406,0.1959187,0.7210389,Neu,-0.11287629,the_real_fly
1819,2019-06-26 05:03:04,"If $BTC doesn't break record highs this year, I will saw my fucking arm off live on Facebook, Civil War style",0,1,1,6,8,72,0.0358295,0.44603673,0.5181338,Neu,-0.4102072,the_real_fly
1857,2019-03-20 16:45:02,CHINA TARIFFS CAN STAY ON FOR A LONG LONG TIME BELIEVE ME. (Dow sinks 200). WE'RE VERY CLOSE TO A TRADE DEAL WITH CHINA (Dow rises 200). Rinse and Repeat. Can we stop this already? Fucking juvenile delinquent.,0,1,1,5,5,68,0.0458229,0.51216024,0.44201678,Neg,-0.46633735,the_real_fly
1878,2019-02-14 19:03:00,ROFL Sex-bots could CRUSH human limbs 'and spy on you for the government' as fears grow over rogue robot lovers  ,0,1,1,13,3,23,0.018610612,0.717305,0.2640844,Neg,-0.6986944,the_real_fly
1882,2019-02-14 17:05:00, That's how business is done. $AMZN can go anywhere. Why choose NYC?,1,1,1,0,0,0,0.038794413,0.033294402,0.9279111,Neu,0.005500011,the_real_fly
1897,2019-01-18 19:41:03,$FB will pay for the wall. Now open the government,0,1,1,2,3,25,0.03820781,0.021340648,0.94045156,Neu,0.016867163,the_real_fly
1912,2019-01-02 21:50:04,This $AAPL revision will be the first of a slew of warnings to come,0,0,1,2,3,16,0.03430207,0.64838976,0.31730822,Neg,-0.6140877,the_real_fly
1938,2018-11-26 12:18:04,Happy Cyber Monday -- Santa Claus'd Futures Surge - Dr. Fly $AMZN $QQQ $TNA  ,0,0,1,0,0,1,0.3929018,0.04279214,0.564306,Neu,0.35010967,the_real_fly
1954,2018-10-29 13:21:03, They can work at Amazon factories and Americans can sit home and collect welfare.,0,0,1,0,0,4,0.03883105,0.033384953,0.92778397,Neu,0.0054460987,the_real_fly
2002,2018-08-21 15:36:01,Makes sense for $FB shareholders. Got to ensure those Russian bastards aren't meddling in our news flow. I'm sure people won't mind being graded.  ,1,1,1,2,1,1,0.08459499,0.061034076,0.85437095,Neu,0.023560911,the_real_fly
2003,2018-08-18 19:54:03,SAAS is the Only Sector in Tech You Should Be Focused On - Dr. Fly $CRM $HUBS $ZEN $AMZN $NFLX $MDB  ,1,1,1,0,1,1,0.05138022,0.014623594,0.93399614,Neu,0.036756627,the_real_fly
2008,2018-08-08 02:16:00,"If Sen. Warner's scheme to regulate social media ever gets passed, here's what will happen to shareholders of $TWTR, $FB, and $SNAP. Hard to see how this ""no more anonymous' rule would not apply to $YELP too  ",1,1,1,1,1,3,0.021147477,0.12082876,0.8580237,Neu,-0.09968129,the_real_fly
2009,2018-08-06 17:58:04,"Want a fucking hammed burger Mr. Google, that'll be $300 dollars please",1,0,1,0,1,7,0.03664764,0.0653038,0.8980486,Neu,-0.028656162,the_real_fly
2015,2018-08-02 14:45:05,THERE WILL BE TRADE WARS AND RUMORS OF TRADE WARS - Dr. Fly $AMZN  ,0,0,1,0,0,0,0.048418205,0.051235557,0.9003463,Neu,-0.0028173514,the_real_fly
2037,2018-07-16 14:18:04," Amazon made me do it, else I'd be liquidated back into the matrix",1,0,1,1,0,0,0.048508752,0.05714561,0.89434564,Neu,-0.008636858,the_real_fly
2038,2018-07-13 18:45:04,"In 300 years from now, there will be ZERO stores or mall, only $AMZN fulfillment centers and pods to store humans. There will be no streets. People will transport via teleportation devices. The President will be an AI overlord, invented by $AMZN. ""Alexa, bomb Russia""",1,0,1,4,4,31,0.022996752,0.036151808,0.94085145,Neu,-0.013155056,the_real_fly
2046,2018-06-28 14:03:03,"I think we'd all be much happier if Amazon ran the country, healthcare, defense, consumerism etc. Bezos would make a fine dictator",1,1,1,0,7,30,0.13992688,0.010665195,0.8494079,Neu,0.12926169,the_real_fly
