,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
0,2021-07-25 16:38:05,Good FB ad targeting by $SNAX  Both eater and shareholder  ,0,0,0,0,0,7,0.8875345,0.0101367,0.10232881,Pos,0.8773978,barbariancap
1,2021-07-24 18:10:03,Quoting Dow points change and YTD returns on anything during Q1.,0,1,0,0,0,0,0.066316746,0.06438426,0.86929893,Neu,0.0019324869,barbariancap
2,2021-07-23 23:05:00,Google is advertising search.  Sadly for most people search is Google and Ctrl-F. It should be $ESTC  and  (FD:  I own shares in both)  ,0,1,1,0,0,3,0.031005558,0.017440734,0.9515537,Neu,0.013564823,barbariancap
3,2021-07-23 20:12:01,Lo's claim to fame is actually losing a ton of allocator money in his Capital Decimation Partners fund.  Google it.  ,0,1,0,1,0,4,0.038901526,0.18315691,0.7779416,Neu,-0.14425538,barbariancap
4,2021-07-21 02:41:03,Another thing I like is ppl just straight up entering tickers in Google vs the stock price $GME $AMC here.  Both had Jan/Feb spikes but the AMC search volume is now comparable unlike GME.   ,1,1,0,1,0,5,0.18324445,0.07463051,0.7421251,Neu,0.108613946,barbariancap
5,2021-07-21 02:34:03,You will never guess which CA-based electric car company's stock peaked with the peak in Google searches for gamma squeeze   ,1,0,1,3,0,30,0.1629389,0.022650441,0.8144106,Neu,0.14028846,barbariancap
6,2021-07-20 17:42:05, as a reminder (1) there are no actual allegations of unpaid taxes from Bezos  (2) DUMBLasio wanted to give Amazon billions in secret tax breaks   ,1,1,0,0,0,7,0.08578863,0.19164057,0.72257084,Neu,-0.10585194,barbariancap
7,2021-07-18 18:33:03,Only 6.25% CAGR for 17 yrs.  Imagine sucking so much when you have legal access to MNPI.   SPY is up from $80 to $430 over this time TR (~ 10.5% TR CAGR over 17 yrs),0,1,0,3,3,20,0.8954894,0.009927149,0.094583385,Pos,0.88556224,barbariancap
8,2021-07-17 22:02:00,obvs a lot of that is revenue groath expectations  rev growth estimates $SNAP &gt; $PINS &gt; $TWTR &gt; $FB  ,0,1,0,0,1,0,0.19152716,0.024727752,0.7837451,Neu,0.16679941,barbariancap
9,2021-07-17 21:55:03,"EV/NTM Sales  $FB $TWTR (partial owner and full time tr0ll/content creator) $PINS $SNAP yes, they are color-coded, and, no, my website did see the expansion the other two newer players saw  ",1,1,0,1,1,3,0.21844196,0.011303584,0.7702544,Neu,0.20713837,barbariancap
10,2021-07-17 21:36:05,$TWTR is the most valuable media platform in the world.  It's market cap is ~5% that of $FB,0,1,0,9,5,58,0.19099137,0.011141083,0.79786754,Neu,0.1798503,barbariancap
11,2021-07-14 00:46:02,"SPY expense ratio at 0.095%, VOO expense ratio at 0.03%. Dollar volume is sth like 30x.  SPY traded ~5 mm options contracts today, VOO 613. Prob the clearest pricing of liquidity in the equity mkts.",1,1,0,0,0,11,0.17245257,0.022302438,0.805245,Neu,0.15015014,barbariancap
12,2021-07-08 17:17:05,  or google finance for that matter. A quarter of the fintech industry would not exist cc  (I had ~1000 RSS feeds in Reader).,1,0,1,0,0,6,0.028387927,0.031401224,0.9402108,Neu,-0.003013298,barbariancap
13,2021-07-07 18:46:00,"  ha, looks like y fin and goog fin also have the lower number",0,1,0,1,0,0,0.049699523,0.60250866,0.34779176,Neg,-0.5528091,barbariancap
14,2021-07-05 17:42:02,The Zuck video is so powerful that $FB needs to file it in an 8-K tomorrow.,0,1,0,2,4,48,0.025432885,0.073457375,0.90110976,Neu,-0.04802449,barbariancap
15,2021-06-26 22:41:04,"Google Maps x Zillow  Why is it not a thing,  + ",0,1,0,0,0,0,0.026395312,0.07435587,0.8992489,Neu,-0.047960557,barbariancap
16,2021-06-24 18:14:04," ""everyone"" knew Mitt Romney at $100 mm in 2012, and Thiel was rumored to be at $1 bn for years (first outside investor in FB)... now he's confirmed GOAT status",1,1,0,1,0,4,0.07200657,0.018846506,0.90914696,Neu,0.053160064,barbariancap
17,2021-06-23 14:53:02,"NY State search interest in Andrew Yang peaked very early, Eric Adams and Maya Wiley shot up much closer to the finish line. Kathryn Garcia is not even a Google topic.  ",1,1,0,1,1,1,0.039538242,0.08238782,0.87807393,Neu,-0.042849578,barbariancap
18,2021-06-14 16:47:00,Extremely annoying push by $MSFT.,0,1,0,0,2,5,0.013571905,0.873803,0.11262506,Neg,-0.8602311,barbariancap
19,2021-06-12 16:26:05,Find you someone to push for you the way $MSFT pushes   ,0,0,0,2,1,14,0.0909996,0.011484527,0.8975159,Neu,0.07951508,barbariancap
20,2021-06-10 01:49:04," had to google to make sure this is not yet another ""we are not a bank"" app",1,1,0,1,0,5,0.043298054,0.10972457,0.8469774,Neu,-0.066426516,barbariancap
22,2021-06-01 23:31:03,Got hit with $MCD and $AMZN video ads while browsing Fleets... first time seeing ads there...   my* employees at  doing a great job increasing the ad loads!   (*- partial owner of $TWTR),1,1,0,0,1,6,0.55350465,0.011632705,0.43486264,Pos,0.54187196,barbariancap
23,2021-05-23 13:40:02,"on the positive side, the labor cost in terms of equity for the SPY has never been lower",1,1,0,2,1,12,0.1636341,0.06937191,0.766994,Neu,0.0942622,barbariancap
24,2021-05-22 17:46:03,"SPX &gt; 4,000 headlines",0,0,0,0,1,11,0.026157955,0.026554456,0.9472876,Neu,-0.00039650127,barbariancap
26,2021-05-21 21:26:00,Most  people's names google searches are dominated by that... but this one specifically seems like a very well done SEO op.    ,1,1,0,0,0,0,0.053629667,0.018761436,0.92760885,Neu,0.034868233,barbariancap
27,2021-05-19 19:48:03,The MSCI AWCI Eater Wins Again,0,0,0,0,0,9,0.5128825,0.029669406,0.45744818,Pos,0.48321307,barbariancap
29,2021-05-06 00:49:01,SPY YoY vs Fed Balance Sheet YoY marginally more interesting post GFC  ,0,0,0,0,1,0,0.8733531,0.048774604,0.0778723,Pos,0.8245785,barbariancap
30,2021-05-02 15:45:03,"There was a white paper somewhere that looked at his float funding advantage over the decades, and it was substantial. Now size, industry exposures, and low rates = under-performing SPY over many time frames.",1,1,0,0,0,6,0.018463068,0.89802724,0.08350977,Neg,-0.87956417,barbariancap
