,date,tweet,past_tense,present_tense,future_tense,replies_count,retweets_count,likes_count,pos_score,neg_score,neutral_score,sentiment,Sentiment_Score,user
6,2021-06-20 11:33:00," Okay, apple sherry, two Pinot Noir, a German Riesling and a raw wine Trebianno.   The mix is light on reds for this time of year. In summer it would skew more white - and the Pommeau was drunk with a stilton - and it did not quite match.  But for you Julia I guess it is Champagne",1,1,1,2,0,2,0.060491394,0.027464116,0.9120445,Neu,0.033027276,john_hempton
10,2021-06-04 06:23:01,    Apple/Google/Tidal/Quobuz etc. Two record companies (very consolidated) could easily destroy Spotify by withholding content and unless Spotify have enough content the competition will win.  Spotify has to become a record company (just like Netflix had to become a move studio).,1,1,1,4,0,8,0.023843884,0.5042369,0.47191918,Neg,-0.480393,john_hempton
13,2021-05-19 00:30:01,"  This would necessarily involve putting a backdoor on your phone, meaning anyone with the key (obtained legally or illegally) could hack your phone and without  your knowledge.",1,1,1,1,0,2,0.020011516,0.41882762,0.56116086,Neu,-0.3988161,john_hempton
14,2021-05-19 00:20:00,  Apple can't  break their own phones (by design).  Do you insist that Apple at the US Government request (not backed by a law) put  a  backdoor on their own phones so they later can hack their phones in response to a subpoena?,1,1,1,1,0,2,0.028961288,0.26521468,0.705824,Neu,-0.2362534,john_hempton
15,2021-05-19 00:09:01,  hmmm.  a. do you think that when you do business in China you should not have to follow Chinese laws?  b. do you think that means the US should adopt Chinese law?,0,1,1,1,0,3,0.049187887,0.024921123,0.92589104,Neu,0.024266765,john_hempton
20,2021-03-21 16:16:01,   Almost all of those things ride on Visa rails.  The Visa take is 1bp.  You can't obviously build it for a bp.,0,1,1,1,0,5,0.03194919,0.031364202,0.9366866,Neu,0.00058498606,john_hempton
23,2021-03-21 15:35:02,"    the (almost) certain winner will remain Visa.  But it  is seemingly fully  priced, so almost certain is not good enough.",1,1,1,0,0,0,0.036994383,0.34002662,0.622979,Neu,-0.30303222,john_hempton
25,2021-03-21 14:53:02,"   hmmm. the visa rails cost 1bp.  Visa revenue is 1bp.  I understand that people might want to disintermediate that 1bp, but it is not the highest priorty.",0,1,1,5,0,13,0.046868846,0.040242553,0.9128886,Neu,0.006626293,john_hempton
31,2021-03-21 13:38:01,So  what do you think will be  the result of Justice and Visa.  $V,0,1,1,18,0,32,0.04067189,0.01925148,0.9400766,Neu,0.021420408,john_hempton
33,2021-02-28 02:52:00, The Apple holding is public. So you can see that too.  That covers the four big businesses. The rest is smaller - but you can find the residual.  4/n,0,1,1,1,0,12,0.034137856,0.027685696,0.93817645,Neu,0.00645216,john_hempton
34,2021-02-21 08:37:04,  The own goal is bigger. Conservatives are much better at Facebook advertising and pushing people's buttons. It has been the way conservatives win elections.   This could cost them an election.,1,1,1,0,0,6,0.033653896,0.5744672,0.39187896,Neg,-0.54081327,john_hempton
42,2021-01-15 01:59:00,  The views about how the world would turn out at Janus were right. The stock picks less so.  And even the great stocks went down 80 percent on the way to greatness. (See Amazon.),1,1,1,2,0,2,0.013457185,0.89009994,0.09644291,Neg,-0.87664276,john_hempton
47,2020-11-13 00:12:04,"   I run long short. So relative value matters.   The start of this was someone who was ""short"" Google.   I don't get it. But maybe I could be persuaded otherwise.",1,1,1,1,0,1,0.06385031,0.099691585,0.83645815,Neu,-0.03584127,john_hempton
49,2020-11-13 00:07:04,  It is a software company at heart. Growth should incrementally be at higher margins. The puzzle with Google is not in their revenue line. It is in their cost line.,0,1,1,1,0,1,0.09526822,0.013355084,0.89137673,Neu,0.081913136,john_hempton
56,2020-10-26 22:41:03,"The Google anti-trust case will ultimately depend on the following proposition.  Microsoft Edge is not a browser, it is simply a tool for downloading Google Chrome.  Is this",0,1,1,16,1,13,0.02416518,0.059727285,0.91610754,Neu,-0.035562105,john_hempton
59,2020-10-03 02:31:03,  They are easy to find. I found one on Facebook went there - and it was a big one - and then found a few more.  There were so many customers at 8am that the proprietors would not stop to talk to me.,1,1,1,0,0,0,0.071814395,0.052339543,0.875846,Neu,0.019474853,john_hempton
63,2020-09-01 09:41:01,  I think Facebook saying we just will not take any of it is their right. That is their current position.  It looks to me like they will be sticking with it.  And Facebook will have no news from Australia.  Frankly - I do not mind.,0,1,1,1,0,0,0.067598715,0.090522364,0.84187895,Neu,-0.022923648,john_hempton
64,2020-09-01 09:30:03,  They will find out I guess.  But at the moment we have Facebook arguing it is the weak party. Which is strange.,1,1,1,0,0,0,0.058029167,0.65252286,0.289448,Neg,-0.5944937,john_hempton
68,2020-08-12 14:20:05,   He may have. He sold them soon after.  There are LOTS of people who owned Apple and Amazon for a small amount of their mega-run.  They then sold them and bought losers.,1,1,1,2,0,22,0.032566436,0.04176179,0.92567176,Neu,-0.009195354,john_hempton
71,2020-07-30 23:40:05,"GDP figures were awful. Apple, Google, Facebook, Amazon numbers were all okay. Sure Google was down a little - but not bad.  Gosh other sectors of the economy must be bleeding. Real hard.",1,1,1,21,25,252,0.013330633,0.96156055,0.025108822,Neg,-0.9482299,john_hempton
76,2020-06-27 11:23:01, I google Sideways Bar and got this. Wrong country. Maybe you can find Jan Marsalek there.   ,1,1,1,2,0,1,0.056151412,0.063249886,0.8805987,Neu,-0.0070984736,john_hempton
89,2020-05-15 04:51:00, I don't know. It may be that FB/Google is a pretty good investment (still).  It certainly has been.  We own a ton of Google too. But it got there the right way. And I like it (much) less at this price than the price I bought it.,1,1,1,1,0,7,0.22635446,0.02012494,0.7535206,Neu,0.20622952,john_hempton
96,2020-05-10 06:34:03,      Might be - but I really do not have a clue about the path from here.  And maybe the S&P hits 5000 before 2000 and I will be wrong.,0,1,1,5,1,13,0.053626433,0.19309843,0.7532751,Neu,-0.139472,john_hempton
97,2020-05-07 14:16:01,  It would be battery cheaper just to log the location of your phone (like say Google does for Android devices) upload that to a database and pair.  But that would get rid of the privacy benefit.  3/n,0,1,1,0,0,0,0.03399101,0.049279094,0.91672987,Neu,-0.015288085,john_hempton
98,2020-04-08 08:02:05,On Google Earth you can follow a fraudster anywhere...  ,0,0,1,2,0,11,0.030979088,0.078271605,0.8907493,Neu,-0.047292516,john_hempton
110,2019-12-13 07:48:00,  Apple had appalling defences. But it is pretty clear that the attack that got Jennifer Lawrence was weak password guessing.  Victims of that hack had guessable passwords and no two factor.  I guess 100 guesses should have alerted Apple there was a (big) problem.,1,1,1,0,0,1,0.04574845,0.69663024,0.2576213,Neg,-0.65088177,john_hempton
112,2019-12-12 21:31:02,  I agree that Zuckerberg is poison.  But the issue is not encryption of phones and privacy.  His problem is that Apple makes it hard to get data off phones. He wants the big tech companies to reduce privacy so he can run his police state.,0,1,1,1,0,1,0.033004954,0.2636018,0.7033932,Neu,-0.23059686,john_hempton
113,2019-11-20 12:17:01, google. and that will be a good result.,0,0,1,3,0,21,0.90261805,0.010682627,0.08669944,Pos,0.8919354,john_hempton
121,2019-11-03 14:06:01,  but for what it is worth S&P rates Softbank BB+ which is good junk.  I would rate it B- which is bad junk.  But whatever...,0,1,1,1,0,2,0.08337375,0.027129866,0.8894964,Neu,0.05624388,john_hempton
128,2019-09-25 00:40:01, i think the spy will get &lt;6 percent over the next decade.,0,1,1,2,0,2,0.71274626,0.010455152,0.27679858,Pos,0.70229113,john_hempton
129,2019-09-11 10:08:00,  Why would you risk a business as valuable as Apple or Google by making it collateral for a bank?  Use someone else's balance sheet.  Leverage is for weaklings.,0,1,1,2,0,1,0.025766652,0.26150262,0.7127307,Neu,-0.23573597,john_hempton
130,2019-09-07 15:05:00,"   Google does an odds, 35 percent draw. My guess a bit higher. They will declare late to remove the chance of losing.",0,1,1,0,0,1,0.05615953,0.30693766,0.63690287,Neu,-0.25077814,john_hempton
132,2019-08-24 02:00:03," He is a nutcase, but strangely Overstock has remained solvent in the face of Amazon.  Had you suggested to me that was possible a decade ago I would not have believed you.",1,1,1,1,0,3,0.07554361,0.074626036,0.8498304,Neu,0.00091757625,john_hempton
136,2019-07-16 13:53:01,  That was also true of Microsoft and Oracle.  I don't want to be long this - but I think the short may actually be wrong...,1,1,1,1,0,2,0.05657547,0.46499228,0.4784323,Neu,-0.4084168,john_hempton
142,2019-06-07 15:27:04,"  Google has the right to kick you off. In some jurisdictions they are obliged to kick you off (hate speech laws).  In Germany much Nazi material is banned. There are strict rules about screening ""Triumph of the will"" for instance.",1,1,1,1,0,1,0.020189643,0.4400136,0.5397968,Neu,-0.41982394,john_hempton
143,2019-06-01 15:08:00,   I would seriously doubt it. But you can short Amazon.,0,0,1,0,0,0,0.0333355,0.056449573,0.9102149,Neu,-0.023114074,john_hempton
148,2019-04-30 00:02:00,"Google is a hyper-profitable ""cloud"" company trading at 5.6x revenue.   On a slight miss it is down 7 percent.  But other cloud companies trade at much higher multiple of revenue -   Adobe - 14.5x Workday - 16.1x Xero - 17.6x Zoom - 50x  A miss would be expensive  ",0,1,1,15,16,137,0.007853702,0.9645158,0.02763052,Neg,-0.9566621,john_hempton
149,2019-04-29 09:37:04, Amazon shows race to volume can work kinda-well.  I think it depends on the end scale in the business.,0,1,1,0,0,0,0.06439519,0.019080048,0.9165247,Neu,0.04531514,john_hempton
151,2019-04-03 01:09:05, I do jack shit transactions vs say Visa. I a cost a bundle to run because I am so powerful. My electricity consumption is about the same as Denmark.  And not a single Government anywhere will make me legal tender.  I am not even good for buying drugs online because I am traceable,0,1,1,12,2,87,0.03496839,0.124728635,0.84030294,Neu,-0.089760244,john_hempton
153,2019-02-26 06:41:00,  I do not much like Facebook either.  The big difference is that in a Western democracy the democracy can eventually close them - and it is a control. Not much of one but a control.,0,1,1,2,0,1,0.03470802,0.056082718,0.90920925,Neu,-0.021374699,john_hempton
